"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Kosovo (XK)","Actual Total Load [MW] - Kosovo (XK)"
"01.01.2022 00:00 - 01.01.2022 01:00","945","1081"
"01.01.2022 01:00 - 01.01.2022 02:00","1010","1110"
"01.01.2022 02:00 - 01.01.2022 03:00","1044","1058"
"01.01.2022 03:00 - 01.01.2022 04:00","945","950"
"01.01.2022 04:00 - 01.01.2022 05:00","849","863"
"01.01.2022 05:00 - 01.01.2022 06:00","826","814"
"01.01.2022 06:00 - 01.01.2022 07:00","835","809"
"01.01.2022 07:00 - 01.01.2022 08:00","841","785"
"01.01.2022 08:00 - 01.01.2022 09:00","898","826"
"01.01.2022 09:00 - 01.01.2022 10:00","962","902"
"01.01.2022 10:00 - 01.01.2022 11:00","1035","977"
"01.01.2022 11:00 - 01.01.2022 12:00","1069","1020"
"01.01.2022 12:00 - 01.01.2022 13:00","1084","1023"
"01.01.2022 13:00 - 01.01.2022 14:00","1061","1006"
"01.01.2022 14:00 - 01.01.2022 15:00","1040","994"
"01.01.2022 15:00 - 01.01.2022 16:00","1040","1002"
"01.01.2022 16:00 - 01.01.2022 17:00","1085","1074"
"01.01.2022 17:00 - 01.01.2022 18:00","1158","1099"
"01.01.2022 18:00 - 01.01.2022 19:00","1132","1093"
"01.01.2022 19:00 - 01.01.2022 20:00","1130","1062"
"01.01.2022 20:00 - 01.01.2022 21:00","1103","1040"
"01.01.2022 21:00 - 01.01.2022 22:00","1057","1015"
"01.01.2022 22:00 - 01.01.2022 23:00","1108","1057"
"01.01.2022 23:00 - 02.01.2022 00:00","1091","1072"
"02.01.2022 00:00 - 02.01.2022 01:00","979","1032"
"02.01.2022 01:00 - 02.01.2022 02:00","968","941"
"02.01.2022 02:00 - 02.01.2022 03:00","868","846"
"02.01.2022 03:00 - 02.01.2022 04:00","808","769"
"02.01.2022 04:00 - 02.01.2022 05:00","783","728"
"02.01.2022 05:00 - 02.01.2022 06:00","748","716"
"02.01.2022 06:00 - 02.01.2022 07:00","793","741"
"02.01.2022 07:00 - 02.01.2022 08:00","846","765"
"02.01.2022 08:00 - 02.01.2022 09:00","962","847"
"02.01.2022 09:00 - 02.01.2022 10:00","1015","924"
"02.01.2022 10:00 - 02.01.2022 11:00","1057","967"
"02.01.2022 11:00 - 02.01.2022 12:00","1050","962"
"02.01.2022 12:00 - 02.01.2022 13:00","1018","943"
"02.01.2022 13:00 - 02.01.2022 14:00","1016","904"
"02.01.2022 14:00 - 02.01.2022 15:00","955","873"
"02.01.2022 15:00 - 02.01.2022 16:00","907","900"
"02.01.2022 16:00 - 02.01.2022 17:00","987","1010"
"02.01.2022 17:00 - 02.01.2022 18:00","1024","1071"
"02.01.2022 18:00 - 02.01.2022 19:00","1027","1071"
"02.01.2022 19:00 - 02.01.2022 20:00","1004","1050"
