"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Portugal (PT)","Actual Total Load [MW] - Portugal (PT)"
"01.01.2022 00:00 - 01.01.2022 01:00","5102","4802"
"01.01.2022 01:00 - 01.01.2022 02:00","4746","4556"
"01.01.2022 02:00 - 01.01.2022 03:00","4462","4382"
"01.01.2022 03:00 - 01.01.2022 04:00","4122","4087"
"01.01.2022 04:00 - 01.01.2022 05:00","3868","3851"
"01.01.2022 05:00 - 01.01.2022 06:00","3744","3713"
"01.01.2022 06:00 - 01.01.2022 07:00","3710","3654"
"01.01.2022 07:00 - 01.01.2022 08:00","3719","3662"
"01.01.2022 08:00 - 01.01.2022 09:00","3698","3617"
"01.01.2022 09:00 - 01.01.2022 10:00","3877","3605"
"01.01.2022 10:00 - 01.01.2022 11:00","4352","3904"
"01.01.2022 11:00 - 01.01.2022 12:00","4724","4276"
"01.01.2022 12:00 - 01.01.2022 13:00","5174","4643"
"01.01.2022 13:00 - 01.01.2022 14:00","5484","4871"
"01.01.2022 14:00 - 01.01.2022 15:00","5217","4645"
"01.01.2022 15:00 - 01.01.2022 16:00","4710","4409"
"01.01.2022 16:00 - 01.01.2022 17:00","4619","4319"
"01.01.2022 17:00 - 01.01.2022 18:00","4760","4381"
"01.01.2022 18:00 - 01.01.2022 19:00","5309","4857"
"01.01.2022 19:00 - 01.01.2022 20:00","5738","5316"
"01.01.2022 20:00 - 01.01.2022 21:00","5864","5472"
"01.01.2022 21:00 - 01.01.2022 22:00","5852","5495"
"01.01.2022 22:00 - 01.01.2022 23:00","5705","5275"
"01.01.2022 23:00 - 02.01.2022 00:00","5524","4998"
"02.01.2022 00:00 - 02.01.2022 01:00","5537","4643"
"02.01.2022 01:00 - 02.01.2022 02:00","4420","4272"
"02.01.2022 02:00 - 02.01.2022 03:00","4168","3973"
"02.01.2022 03:00 - 02.01.2022 04:00","3901","3753"
"02.01.2022 04:00 - 02.01.2022 05:00","3844","3644"
"02.01.2022 05:00 - 02.01.2022 06:00","3825","3597"
"02.01.2022 06:00 - 02.01.2022 07:00","3830","3620"
"02.01.2022 07:00 - 02.01.2022 08:00","3875","3732"
"02.01.2022 08:00 - 02.01.2022 09:00","3918","3806"
"02.01.2022 09:00 - 02.01.2022 10:00","4010","3979"
"02.01.2022 10:00 - 02.01.2022 11:00","4242","4388"
"02.01.2022 11:00 - 02.01.2022 12:00","4675","4787"
"02.01.2022 12:00 - 02.01.2022 13:00","5105","5081"
"02.01.2022 13:00 - 02.01.2022 14:00","5342","5374"
"02.01.2022 14:00 - 02.01.2022 15:00","5243","5254"
"02.01.2022 15:00 - 02.01.2022 16:00","4914","5025"
"02.01.2022 16:00 - 02.01.2022 17:00","4767","4895"
"02.01.2022 17:00 - 02.01.2022 18:00","4828","4904"
"02.01.2022 18:00 - 02.01.2022 19:00","5450","5395"
"02.01.2022 19:00 - 02.01.2022 20:00","6016","5956"
"02.01.2022 20:00 - 02.01.2022 21:00","6202","6163"
"02.01.2022 21:00 - 02.01.2022 22:00","6212","6057"
"02.01.2022 22:00 - 02.01.2022 23:00","6075","5721"
"02.01.2022 23:00 - 03.01.2022 00:00","5903","5314"
"03.01.2022 00:00 - 03.01.2022 01:00","4537","4992"
"03.01.2022 01:00 - 03.01.2022 02:00","4025","4607"
"03.01.2022 02:00 - 03.01.2022 03:00","3630","4249"
"03.01.2022 03:00 - 03.01.2022 04:00","3425","4075"
"03.01.2022 04:00 - 03.01.2022 05:00","3353","3972"
"03.01.2022 05:00 - 03.01.2022 06:00","3347","3957"
"03.01.2022 06:00 - 03.01.2022 07:00","3476","4071"
"03.01.2022 07:00 - 03.01.2022 08:00","3903","4472"
"03.01.2022 08:00 - 03.01.2022 09:00","4731","5014"
"03.01.2022 09:00 - 03.01.2022 10:00","5645","5712"
"03.01.2022 10:00 - 03.01.2022 11:00","6178","6228"
"03.01.2022 11:00 - 03.01.2022 12:00","6367","6413"
"03.01.2022 12:00 - 03.01.2022 13:00","6382","6575"
"03.01.2022 13:00 - 03.01.2022 14:00","6002","6593"
"03.01.2022 14:00 - 03.01.2022 15:00","6052","6538"
"03.01.2022 15:00 - 03.01.2022 16:00","6242","6677"
"03.01.2022 16:00 - 03.01.2022 17:00","6214","6650"
"03.01.2022 17:00 - 03.01.2022 18:00","6237","6707"
"03.01.2022 18:00 - 03.01.2022 19:00","6524","7050"
"03.01.2022 19:00 - 03.01.2022 20:00","6827","7373"
"03.01.2022 20:00 - 03.01.2022 21:00","6816","7460"
"03.01.2022 21:00 - 03.01.2022 22:00","6631","7252"
"03.01.2022 22:00 - 03.01.2022 23:00","6391","6788"
"03.01.2022 23:00 - 04.01.2022 00:00","6133","6212"
"04.01.2022 00:00 - 04.01.2022 01:00","5140","5644"
"04.01.2022 01:00 - 04.01.2022 02:00","5305","5193"
"04.01.2022 02:00 - 04.01.2022 03:00","4962","4852"
"04.01.2022 03:00 - 04.01.2022 04:00","4733","4651"
"04.01.2022 04:00 - 04.01.2022 05:00","4629","4524"
"04.01.2022 05:00 - 04.01.2022 06:00","4597","4503"
"04.01.2022 06:00 - 04.01.2022 07:00","4680","4567"
"04.01.2022 07:00 - 04.01.2022 08:00","5041","4930"
"04.01.2022 08:00 - 04.01.2022 09:00","5671","5474"
"04.01.2022 09:00 - 04.01.2022 10:00","6367","6220"
"04.01.2022 10:00 - 04.01.2022 11:00","6790","6765"
"04.01.2022 11:00 - 04.01.2022 12:00","6932","7029"
"04.01.2022 12:00 - 04.01.2022 13:00","7014","7196"
"04.01.2022 13:00 - 04.01.2022 14:00","6917","7117"
"04.01.2022 14:00 - 04.01.2022 15:00","6832","6965"
"04.01.2022 15:00 - 04.01.2022 16:00","6962","7010"
"04.01.2022 16:00 - 04.01.2022 17:00","6956","6929"
"04.01.2022 17:00 - 04.01.2022 18:00","6952","6974"
"04.01.2022 18:00 - 04.01.2022 19:00","7158","7287"
"04.01.2022 19:00 - 04.01.2022 20:00","7549","7647"
"04.01.2022 20:00 - 04.01.2022 21:00","7673","7727"
"04.01.2022 21:00 - 04.01.2022 22:00","7501","7493"
"04.01.2022 22:00 - 04.01.2022 23:00","7124","7054"
"04.01.2022 23:00 - 05.01.2022 00:00","6783","6489"
"05.01.2022 00:00 - 05.01.2022 01:00","5995","5888"
"05.01.2022 01:00 - 05.01.2022 02:00","5391","5385"
"05.01.2022 02:00 - 05.01.2022 03:00","5043","5016"
"05.01.2022 03:00 - 05.01.2022 04:00","4810","4782"
"05.01.2022 04:00 - 05.01.2022 05:00","4705","4653"
"05.01.2022 05:00 - 05.01.2022 06:00","4672","4608"
"05.01.2022 06:00 - 05.01.2022 07:00","4757","4653"
"05.01.2022 07:00 - 05.01.2022 08:00","5123","5027"
"05.01.2022 08:00 - 05.01.2022 09:00","5763","5563"
"05.01.2022 09:00 - 05.01.2022 10:00","6470","6406"
"05.01.2022 10:00 - 05.01.2022 11:00","6900","6897"
"05.01.2022 11:00 - 05.01.2022 12:00","7045","7067"
"05.01.2022 12:00 - 05.01.2022 13:00","7129","7290"
"05.01.2022 13:00 - 05.01.2022 14:00","7029","7327"
"05.01.2022 14:00 - 05.01.2022 15:00","6943","7303"
"05.01.2022 15:00 - 05.01.2022 16:00","7076","7437"
"05.01.2022 16:00 - 05.01.2022 17:00","7069","7366"
"05.01.2022 17:00 - 05.01.2022 18:00","7065","7387"
"05.01.2022 18:00 - 05.01.2022 19:00","7275","7626"
"05.01.2022 19:00 - 05.01.2022 20:00","7672","7941"
"05.01.2022 20:00 - 05.01.2022 21:00","7798","8012"
"05.01.2022 21:00 - 05.01.2022 22:00","7623","7734"
"05.01.2022 22:00 - 05.01.2022 23:00","7239","7267"
"05.01.2022 23:00 - 06.01.2022 00:00","6893","6814"
"06.01.2022 00:00 - 06.01.2022 01:00","5970","6183"
"06.01.2022 01:00 - 06.01.2022 02:00","5349","5630"
"06.01.2022 02:00 - 06.01.2022 03:00","4995","5212"
"06.01.2022 03:00 - 06.01.2022 04:00","4786","4984"
"06.01.2022 04:00 - 06.01.2022 05:00","4693","4852"
"06.01.2022 05:00 - 06.01.2022 06:00","4706","4822"
"06.01.2022 06:00 - 06.01.2022 07:00","4736","4900"
"06.01.2022 07:00 - 06.01.2022 08:00","5023","5221"
"06.01.2022 08:00 - 06.01.2022 09:00","5680","5771"
"06.01.2022 09:00 - 06.01.2022 10:00","6472","6531"
"06.01.2022 10:00 - 06.01.2022 11:00","6899","7079"
"06.01.2022 11:00 - 06.01.2022 12:00","7128","7236"
"06.01.2022 12:00 - 06.01.2022 13:00","7272","7365"
"06.01.2022 13:00 - 06.01.2022 14:00","7237","7296"
"06.01.2022 14:00 - 06.01.2022 15:00","7150","7232"
"06.01.2022 15:00 - 06.01.2022 16:00","7287","7374"
"06.01.2022 16:00 - 06.01.2022 17:00","7279","7267"
"06.01.2022 17:00 - 06.01.2022 18:00","7248","7253"
"06.01.2022 18:00 - 06.01.2022 19:00","7515","7523"
"06.01.2022 19:00 - 06.01.2022 20:00","7926","7913"
"06.01.2022 20:00 - 06.01.2022 21:00","8037","8058"
"06.01.2022 21:00 - 06.01.2022 22:00","7799","7870"
"06.01.2022 22:00 - 06.01.2022 23:00","7281","7431"
"06.01.2022 23:00 - 07.01.2022 00:00","6893","6838"
"07.01.2022 00:00 - 07.01.2022 01:00","5613","6217"
