"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Bulgaria (BG)","Actual Total Load [MW] - Bulgaria (BG)"
"01.01.2023 00:00 - 01.01.2023 01:00","3973","3892"
"01.01.2023 01:00 - 01.01.2023 02:00","3792","3715"
"01.01.2023 02:00 - 01.01.2023 03:00","3646","3563"
"01.01.2023 03:00 - 01.01.2023 04:00","3559","3478"
"01.01.2023 04:00 - 01.01.2023 05:00","3504","3432"
"01.01.2023 05:00 - 01.01.2023 06:00","3500","3443"
"01.01.2023 06:00 - 01.01.2023 07:00","3546","3515"
"01.01.2023 07:00 - 01.01.2023 08:00","3733","3647"
"01.01.2023 08:00 - 01.01.2023 09:00","3998","3675"
"01.01.2023 09:00 - 01.01.2023 10:00","4177","3619"
"01.01.2023 10:00 - 01.01.2023 11:00","4208","3502"
"01.01.2023 11:00 - 01.01.2023 12:00","4190","3382"
"01.01.2023 12:00 - 01.01.2023 13:00","4078","3257"
"01.01.2023 13:00 - 01.01.2023 14:00","4020","3269"
"01.01.2023 14:00 - 01.01.2023 15:00","4037","3448"
"01.01.2023 15:00 - 01.01.2023 16:00","4183","3809"
"01.01.2023 16:00 - 01.01.2023 17:00","4571","4297"
"01.01.2023 17:00 - 01.01.2023 18:00","4700","4609"
"01.01.2023 18:00 - 01.01.2023 19:00","4651","4591"
"01.01.2023 19:00 - 01.01.2023 20:00","4502","4492"
"01.01.2023 20:00 - 01.01.2023 21:00","4330","4373"
"01.01.2023 21:00 - 01.01.2023 22:00","4236","4305"
"01.01.2023 22:00 - 01.01.2023 23:00","4035","4109"
"01.01.2023 23:00 - 02.01.2023 00:00","3825","3865"
"02.01.2023 00:00 - 02.01.2023 01:00","3611","3674"
"02.01.2023 01:00 - 02.01.2023 02:00","3476","3572"
"02.01.2023 02:00 - 02.01.2023 03:00","3413","3530"
"02.01.2023 03:00 - 02.01.2023 04:00","3400","3530"
"02.01.2023 04:00 - 02.01.2023 05:00","3412","3610"
"02.01.2023 05:00 - 02.01.2023 06:00","3522","3747"
"02.01.2023 06:00 - 02.01.2023 07:00","3726","3983"
"02.01.2023 07:00 - 02.01.2023 08:00","4098","4376"
"02.01.2023 08:00 - 02.01.2023 09:00","4314","4627"
"02.01.2023 09:00 - 02.01.2023 10:00","4447","4621"
"02.01.2023 10:00 - 02.01.2023 11:00","4406","4490"
