"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Czech Republic (CZ)","Actual Total Load [MW] - Czech Republic (CZ)"
"01.01.2023 00:00 - 01.01.2023 01:00","5226","5363"
"01.01.2023 01:00 - 01.01.2023 02:00","5110","5299"
"01.01.2023 02:00 - 01.01.2023 03:00","5105","5204"
"01.01.2023 03:00 - 01.01.2023 04:00","5040","5052"
"01.01.2023 04:00 - 01.01.2023 05:00","5082","4980"
"01.01.2023 05:00 - 01.01.2023 06:00","5096","4952"
"01.01.2023 06:00 - 01.01.2023 07:00","5125","4973"
"01.01.2023 07:00 - 01.01.2023 08:00","5148","4986"
"01.01.2023 08:00 - 01.01.2023 09:00","5183","5091"
"01.01.2023 09:00 - 01.01.2023 10:00","5579","5412"
"01.01.2023 10:00 - 01.01.2023 11:00","5940","5696"
"01.01.2023 11:00 - 01.01.2023 12:00","6031","5848"
"01.01.2023 12:00 - 01.01.2023 13:00","6046","5882"
"01.01.2023 13:00 - 01.01.2023 14:00","6049","5922"
"01.01.2023 14:00 - 01.01.2023 15:00","6032","5948"
"01.01.2023 15:00 - 01.01.2023 16:00","6109","6040"
"01.01.2023 16:00 - 01.01.2023 17:00","6300","6286"
"01.01.2023 17:00 - 01.01.2023 18:00","6364","6384"
"01.01.2023 18:00 - 01.01.2023 19:00","6340","6445"
"01.01.2023 19:00 - 01.01.2023 20:00","6284","6354"
"01.01.2023 20:00 - 01.01.2023 21:00","6198","6250"
"01.01.2023 21:00 - 01.01.2023 22:00","5922","5913"
"01.01.2023 22:00 - 01.01.2023 23:00","5801","5804"
"01.01.2023 23:00 - 02.01.2023 00:00","5519","5537"
"02.01.2023 00:00 - 02.01.2023 01:00","5582","5268"
"02.01.2023 01:00 - 02.01.2023 02:00","5620","5252"
"02.01.2023 02:00 - 02.01.2023 03:00","5506","5129"
"02.01.2023 03:00 - 02.01.2023 04:00","5405","5017"
"02.01.2023 04:00 - 02.01.2023 05:00","5520","5191"
"02.01.2023 05:00 - 02.01.2023 06:00","5866","5765"
"02.01.2023 06:00 - 02.01.2023 07:00","6721","6776"
"02.01.2023 07:00 - 02.01.2023 08:00","7229","7400"
"02.01.2023 08:00 - 02.01.2023 09:00","7436","7693"
"02.01.2023 09:00 - 02.01.2023 10:00","7784","7919"
"02.01.2023 10:00 - 02.01.2023 11:00","7840","8000"
"02.01.2023 11:00 - 02.01.2023 12:00","7848","8062"
"02.01.2023 12:00 - 02.01.2023 13:00","7871","8113"
"02.01.2023 13:00 - 02.01.2023 14:00","7841","8143"
"02.01.2023 14:00 - 02.01.2023 15:00","7800","8011"
"02.01.2023 15:00 - 02.01.2023 16:00","7860","8041"
"02.01.2023 16:00 - 02.01.2023 17:00","8014","8158"
"02.01.2023 17:00 - 02.01.2023 18:00","8190","8144"
"02.01.2023 18:00 - 02.01.2023 19:00","7980","8043"
"02.01.2023 19:00 - 02.01.2023 20:00","7909","8016"
"02.01.2023 20:00 - 02.01.2023 21:00","7667","7683"
"02.01.2023 21:00 - 02.01.2023 22:00","7257","7281"
"02.01.2023 22:00 - 02.01.2023 23:00","6880","6850"
"02.01.2023 23:00 - 03.01.2023 00:00","6495","6348"
"03.01.2023 00:00 - 03.01.2023 01:00","6182","6024"
