"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Ireland (IE)","Actual Total Load [MW] - Ireland (IE)"
"01.01.2023 00:00 - 01.01.2023 00:30","3616","3369"
"01.01.2023 00:30 - 01.01.2023 01:00","3585","3405"
"01.01.2023 01:00 - 01.01.2023 01:30","N/A","3322"
"01.01.2023 01:30 - 01.01.2023 02:00","N/A","3286"
"01.01.2023 02:00 - 01.01.2023 02:30","N/A","3204"
"01.01.2023 02:30 - 01.01.2023 03:00","N/A","3130"
"01.01.2023 03:00 - 01.01.2023 03:30","N/A","3036"
"01.01.2023 03:30 - 01.01.2023 04:00","N/A","2978"
"01.01.2023 04:00 - 01.01.2023 04:30","N/A","2930"
"01.01.2023 04:30 - 01.01.2023 05:00","N/A","2888"
"01.01.2023 05:00 - 01.01.2023 05:30","N/A","2842"
"01.01.2023 05:30 - 01.01.2023 06:00","N/A","2839"
"01.01.2023 06:00 - 01.01.2023 06:30","N/A","2787"
"01.01.2023 06:30 - 01.01.2023 07:00","N/A","2805"
"01.01.2023 07:00 - 01.01.2023 07:30","N/A","2836"
"01.01.2023 07:30 - 01.01.2023 08:00","N/A","2839"
"01.01.2023 08:00 - 01.01.2023 08:30","N/A","2871"
"01.01.2023 08:30 - 01.01.2023 09:00","N/A","2906"
"01.01.2023 09:00 - 01.01.2023 09:30","N/A","2936"
"01.01.2023 09:30 - 01.01.2023 10:00","N/A","2946"
"01.01.2023 10:00 - 01.01.2023 10:30","N/A","3022"
"01.01.2023 10:30 - 01.01.2023 11:00","N/A","3109"
"01.01.2023 11:00 - 01.01.2023 11:30","N/A","3222"
"01.01.2023 11:30 - 01.01.2023 12:00","N/A","3350"
"01.01.2023 12:00 - 01.01.2023 12:30","N/A","3467"
"01.01.2023 12:30 - 01.01.2023 13:00","N/A","3578"
"01.01.2023 13:00 - 01.01.2023 13:30","N/A","3687"
"01.01.2023 13:30 - 01.01.2023 14:00","N/A","3792"
"01.01.2023 14:00 - 01.01.2023 14:30","N/A","3860"
"01.01.2023 14:30 - 01.01.2023 15:00","N/A","3876"
"01.01.2023 15:00 - 01.01.2023 15:30","N/A","3846"
"01.01.2023 15:30 - 01.01.2023 16:00","N/A","3819"
"01.01.2023 16:00 - 01.01.2023 16:30","N/A","3798"
"01.01.2023 16:30 - 01.01.2023 17:00","N/A","3793"
"01.01.2023 17:00 - 01.01.2023 17:30","N/A","3800"
"01.01.2023 17:30 - 01.01.2023 18:00","N/A","3905"
"01.01.2023 18:00 - 01.01.2023 18:30","N/A","4086"
"01.01.2023 18:30 - 01.01.2023 19:00","N/A","4148"
"01.01.2023 19:00 - 01.01.2023 19:30","N/A","4102"
"01.01.2023 19:30 - 01.01.2023 20:00","N/A","4042"
"01.01.2023 20:00 - 01.01.2023 20:30","N/A","3968"
"01.01.2023 20:30 - 01.01.2023 21:00","N/A","3895"
"01.01.2023 21:00 - 01.01.2023 21:30","N/A","3825"
"01.01.2023 21:30 - 01.01.2023 22:00","N/A","3755"
"01.01.2023 22:00 - 01.01.2023 22:30","N/A","3690"
"01.01.2023 22:30 - 01.01.2023 23:00","N/A","3629"
"01.01.2023 23:00 - 01.01.2023 23:30","N/A","3537"
"01.01.2023 23:30 - 02.01.2023 00:00","N/A","3452"
"02.01.2023 00:00 - 02.01.2023 00:30","N/A","3420"
"02.01.2023 00:30 - 02.01.2023 01:00","N/A","3405"
"02.01.2023 01:00 - 02.01.2023 01:30","3595","3316"
"02.01.2023 01:30 - 02.01.2023 02:00","3507","3240"
"02.01.2023 02:00 - 02.01.2023 02:30","3380","3149"
"02.01.2023 02:30 - 02.01.2023 03:00","3247","3053"
"02.01.2023 03:00 - 02.01.2023 03:30","3144","2994"
"02.01.2023 03:30 - 02.01.2023 04:00","3041","2965"
"02.01.2023 04:00 - 02.01.2023 04:30","2968","2917"
"02.01.2023 04:30 - 02.01.2023 05:00","2906","2900"
"02.01.2023 05:00 - 02.01.2023 05:30","2877","2879"
"02.01.2023 05:30 - 02.01.2023 06:00","2829","2870"
"02.01.2023 06:00 - 02.01.2023 06:30","2819","2871"
"02.01.2023 06:30 - 02.01.2023 07:00","2817","2899"
"02.01.2023 07:00 - 02.01.2023 07:30","2864","2937"
"02.01.2023 07:30 - 02.01.2023 08:00","2900","3016"
"02.01.2023 08:00 - 02.01.2023 08:30","2935","3084"
"02.01.2023 08:30 - 02.01.2023 09:00","2967","3158"
"02.01.2023 09:00 - 02.01.2023 09:30","2984","3230"
"02.01.2023 09:30 - 02.01.2023 10:00","2990","3267"
"02.01.2023 10:00 - 02.01.2023 10:30","3083","3355"
"02.01.2023 10:30 - 02.01.2023 11:00","3236","3502"
"02.01.2023 11:00 - 02.01.2023 11:30","3415","3611"
"02.01.2023 11:30 - 02.01.2023 12:00","3573","3712"
"02.01.2023 12:00 - 02.01.2023 12:30","3725","3755"
"02.01.2023 12:30 - 02.01.2023 13:00","3843","3802"
"02.01.2023 13:00 - 02.01.2023 13:30","3956","3821"
"02.01.2023 13:30 - 02.01.2023 14:00","4062","3861"
"02.01.2023 14:00 - 02.01.2023 14:30","4101","3876"
"02.01.2023 14:30 - 02.01.2023 15:00","4087","3863"
"02.01.2023 15:00 - 02.01.2023 15:30","4039","3845"
"02.01.2023 15:30 - 02.01.2023 16:00","4007","3821"
"02.01.2023 16:00 - 02.01.2023 16:30","3993","3836"
"02.01.2023 16:30 - 02.01.2023 17:00","4022","3856"
"02.01.2023 17:00 - 02.01.2023 17:30","4116","3960"
"02.01.2023 17:30 - 02.01.2023 18:00","4350","4142"
"02.01.2023 18:00 - 02.01.2023 18:30","4553","4427"
"02.01.2023 18:30 - 02.01.2023 19:00","4619","4561"
"02.01.2023 19:00 - 02.01.2023 19:30","4577","4583"
"02.01.2023 19:30 - 02.01.2023 20:00","4481","4508"
"02.01.2023 20:00 - 02.01.2023 20:30","4380","4409"
"02.01.2023 20:30 - 02.01.2023 21:00","4286","4342"
"02.01.2023 21:00 - 02.01.2023 21:30","4200","4244"
"02.01.2023 21:30 - 02.01.2023 22:00","4096","4135"
"02.01.2023 22:00 - 02.01.2023 22:30","4026","4064"
"02.01.2023 22:30 - 02.01.2023 23:00","3899","3959"
"02.01.2023 23:00 - 02.01.2023 23:30","3770","3781"
"02.01.2023 23:30 - 03.01.2023 00:00","3650","3642"
"03.01.2023 00:00 - 03.01.2023 00:30","3659","3578"
"03.01.2023 00:30 - 03.01.2023 01:00","3599","3545"
"03.01.2023 01:00 - 03.01.2023 01:30","3504","3425"
"03.01.2023 01:30 - 03.01.2023 02:00","3384","3305"
"03.01.2023 02:00 - 03.01.2023 02:30","3266","3182"
"03.01.2023 02:30 - 03.01.2023 03:00","3131","3110"
"03.01.2023 03:00 - 03.01.2023 03:30","3031","3017"
"03.01.2023 03:30 - 03.01.2023 04:00","2955","2948"
"03.01.2023 04:00 - 03.01.2023 04:30","2901","2897"
"03.01.2023 04:30 - 03.01.2023 05:00","2863","2884"
"03.01.2023 05:00 - 03.01.2023 05:30","2842","2822"
"03.01.2023 05:30 - 03.01.2023 06:00","2811","2858"
"03.01.2023 06:00 - 03.01.2023 06:30","2833","2840"
"03.01.2023 06:30 - 03.01.2023 07:00","2873","2907"
"03.01.2023 07:00 - 03.01.2023 07:30","2993","3007"
"03.01.2023 07:30 - 03.01.2023 08:00","3137","3148"
"03.01.2023 08:00 - 03.01.2023 08:30","3317","3332"
"03.01.2023 08:30 - 03.01.2023 09:00","3476","3546"
"03.01.2023 09:00 - 03.01.2023 09:30","3596","3706"
