"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"01.01.2023 00:00 - 01.01.2023 01:00","20762","20555"
"01.01.2023 01:00 - 01.01.2023 02:00","19220","19857"
"01.01.2023 02:00 - 01.01.2023 03:00","18280","18810"
"01.01.2023 03:00 - 01.01.2023 04:00","17553","17892"
"01.01.2023 04:00 - 01.01.2023 05:00","17670","17407"
"01.01.2023 05:00 - 01.01.2023 06:00","17804","17455"
"01.01.2023 06:00 - 01.01.2023 07:00","18440","18089"
"01.01.2023 07:00 - 01.01.2023 08:00","19182","18419"
"01.01.2023 08:00 - 01.01.2023 09:00","19701","18967"
"01.01.2023 09:00 - 01.01.2023 10:00","21181","20504"
"01.01.2023 10:00 - 01.01.2023 11:00","21853","21519"
"01.01.2023 11:00 - 01.01.2023 12:00","22807","22795"
"01.01.2023 12:00 - 01.01.2023 13:00","23169","23187"
"01.01.2023 13:00 - 01.01.2023 14:00","22520","22455"
"01.01.2023 14:00 - 01.01.2023 15:00","21871","21605"
"01.01.2023 15:00 - 01.01.2023 16:00","21917","21812"
"01.01.2023 16:00 - 01.01.2023 17:00","22660","22483"
"01.01.2023 17:00 - 01.01.2023 18:00","25468","24927"
"01.01.2023 18:00 - 01.01.2023 19:00","26458","25770"
"01.01.2023 19:00 - 01.01.2023 20:00","27012","26367"
"01.01.2023 20:00 - 01.01.2023 21:00","26603","25863"
"01.01.2023 21:00 - 01.01.2023 22:00","25646","24617"
"01.01.2023 22:00 - 01.01.2023 23:00","23825","22944"
"01.01.2023 23:00 - 02.01.2023 00:00","21709","20791"
"02.01.2023 00:00 - 02.01.2023 01:00","19654","19198"
"02.01.2023 01:00 - 02.01.2023 02:00","18554","17966"
"02.01.2023 02:00 - 02.01.2023 03:00","17756","17290"
"02.01.2023 03:00 - 02.01.2023 04:00","17468","17003"
"02.01.2023 04:00 - 02.01.2023 05:00","17682","17296"
"02.01.2023 05:00 - 02.01.2023 06:00","18871","18763"
"02.01.2023 06:00 - 02.01.2023 07:00","22668","22130"
"02.01.2023 07:00 - 02.01.2023 08:00","26248","25693"
"02.01.2023 08:00 - 02.01.2023 09:00","30270","28869"
"02.01.2023 09:00 - 02.01.2023 10:00","33052","30962"
"02.01.2023 10:00 - 02.01.2023 11:00","33293","31208"
"02.01.2023 11:00 - 02.01.2023 12:00","33337","31206"
"02.01.2023 12:00 - 02.01.2023 13:00","32360","30554"
"02.01.2023 13:00 - 02.01.2023 14:00","32513","30210"
"02.01.2023 14:00 - 02.01.2023 15:00","33367","30573"
"02.01.2023 15:00 - 02.01.2023 16:00","33742","30719"
"02.01.2023 16:00 - 02.01.2023 17:00","34094","31317"
"02.01.2023 17:00 - 02.01.2023 18:00","35245","33063"
"02.01.2023 18:00 - 02.01.2023 19:00","35334","33043"
"02.01.2023 19:00 - 02.01.2023 20:00","34909","33006"
"02.01.2023 20:00 - 02.01.2023 21:00","33297","31363"
"02.01.2023 21:00 - 02.01.2023 22:00","30764","28981"
"02.01.2023 22:00 - 02.01.2023 23:00","27778","26236"
"02.01.2023 23:00 - 03.01.2023 00:00","24846","23645"
"03.01.2023 00:00 - 03.01.2023 01:00","21933","21133"
"03.01.2023 01:00 - 03.01.2023 02:00","20576","19827"
"03.01.2023 02:00 - 03.01.2023 03:00","19685","19025"
"03.01.2023 03:00 - 03.01.2023 04:00","19345","18755"
"03.01.2023 04:00 - 03.01.2023 05:00","19545","19029"
"03.01.2023 05:00 - 03.01.2023 06:00","21012","20370"
"03.01.2023 06:00 - 03.01.2023 07:00","24138","23651"
"03.01.2023 07:00 - 03.01.2023 08:00","27525","27448"
"03.01.2023 08:00 - 03.01.2023 09:00","30850","31105"
"03.01.2023 09:00 - 03.01.2023 10:00","32847","33069"
"03.01.2023 10:00 - 03.01.2023 11:00","33035","33030"
"03.01.2023 11:00 - 03.01.2023 12:00","32955","32519"
"03.01.2023 12:00 - 03.01.2023 13:00","32193","31746"
"03.01.2023 13:00 - 03.01.2023 14:00","31450","31409"
"03.01.2023 14:00 - 03.01.2023 15:00","31851","32038"
"03.01.2023 15:00 - 03.01.2023 16:00","32446","32353"
"03.01.2023 16:00 - 03.01.2023 17:00","32524","32982"
"03.01.2023 17:00 - 03.01.2023 18:00","34322","34869"
"03.01.2023 18:00 - 03.01.2023 19:00","34563","34839"
"03.01.2023 19:00 - 03.01.2023 20:00","34184","34600"
"03.01.2023 20:00 - 03.01.2023 21:00","32080","32500"
"03.01.2023 21:00 - 03.01.2023 22:00","29430","29933"
"03.01.2023 22:00 - 03.01.2023 23:00","26527","26951"
"03.01.2023 23:00 - 04.01.2023 00:00","23732","24108"
"04.01.2023 00:00 - 04.01.2023 01:00","22358","21516"
"04.01.2023 01:00 - 04.01.2023 02:00","20970","19957"
"04.01.2023 02:00 - 04.01.2023 03:00","20207","19203"
"04.01.2023 03:00 - 04.01.2023 04:00","19919","18948"
"04.01.2023 04:00 - 04.01.2023 05:00","20162","19191"
"04.01.2023 05:00 - 04.01.2023 06:00","21367","20576"
"04.01.2023 06:00 - 04.01.2023 07:00","24658","23986"
"04.01.2023 07:00 - 04.01.2023 08:00","28519","27682"
"04.01.2023 08:00 - 04.01.2023 09:00","31894","31384"
"04.01.2023 09:00 - 04.01.2023 10:00","33433","33040"
"04.01.2023 10:00 - 04.01.2023 11:00","33652","32514"
"04.01.2023 11:00 - 04.01.2023 12:00","33307","31852"
"04.01.2023 12:00 - 04.01.2023 13:00","32228","30754"
"04.01.2023 13:00 - 04.01.2023 14:00","31948","29763"
"04.01.2023 14:00 - 04.01.2023 15:00","32473","30563"
"04.01.2023 15:00 - 04.01.2023 16:00","32602","31185"
"04.01.2023 16:00 - 04.01.2023 17:00","33281","32473"
"04.01.2023 17:00 - 04.01.2023 18:00","34607","34751"
"04.01.2023 18:00 - 04.01.2023 19:00","34817","34914"
"04.01.2023 19:00 - 04.01.2023 20:00","34302","34682"
"04.01.2023 20:00 - 04.01.2023 21:00","32583","32756"
"04.01.2023 21:00 - 04.01.2023 22:00","30119","30013"
"04.01.2023 22:00 - 04.01.2023 23:00","27105","27009"
"04.01.2023 23:00 - 05.01.2023 00:00","24279","24339"
"05.01.2023 00:00 - 05.01.2023 01:00","21775","22448"
"05.01.2023 01:00 - 05.01.2023 02:00","20183","20857"
"05.01.2023 02:00 - 05.01.2023 03:00","19445","20013"
"05.01.2023 03:00 - 05.01.2023 04:00","19306","19646"
"05.01.2023 04:00 - 05.01.2023 05:00","19426","20020"
"05.01.2023 05:00 - 05.01.2023 06:00","20791","21440"
"05.01.2023 06:00 - 05.01.2023 07:00","24235","25098"
"05.01.2023 07:00 - 05.01.2023 08:00","27595","28899"
"05.01.2023 08:00 - 05.01.2023 09:00","31635","32349"
"05.01.2023 09:00 - 05.01.2023 10:00","33026","33903"
"05.01.2023 10:00 - 05.01.2023 11:00","32601","33049"
"05.01.2023 11:00 - 05.01.2023 12:00","31914","32133"
"05.01.2023 12:00 - 05.01.2023 13:00","31438","30904"
"05.01.2023 13:00 - 05.01.2023 14:00","30159","30423"
"05.01.2023 14:00 - 05.01.2023 15:00","30866","31045"
"05.01.2023 15:00 - 05.01.2023 16:00","31414","31744"
"05.01.2023 16:00 - 05.01.2023 17:00","32424","32565"
"05.01.2023 17:00 - 05.01.2023 18:00","34921","34749"
"05.01.2023 18:00 - 05.01.2023 19:00","35053","34926"
"05.01.2023 19:00 - 05.01.2023 20:00","34595","34608"
"05.01.2023 20:00 - 05.01.2023 21:00","32839","32577"
"05.01.2023 21:00 - 05.01.2023 22:00","29993","29900"
"05.01.2023 22:00 - 05.01.2023 23:00","27239","27137"
"05.01.2023 23:00 - 06.01.2023 00:00","24717","24725"
"06.01.2023 00:00 - 06.01.2023 01:00","22528","22405"
"06.01.2023 01:00 - 06.01.2023 02:00","20889","20863"
"06.01.2023 02:00 - 06.01.2023 03:00","20014","19918"
"06.01.2023 03:00 - 06.01.2023 04:00","19324","19469"
"06.01.2023 04:00 - 06.01.2023 05:00","19382","19480"
"06.01.2023 05:00 - 06.01.2023 06:00","20139","20026"
"06.01.2023 06:00 - 06.01.2023 07:00","21516","21520"
"06.01.2023 07:00 - 06.01.2023 08:00","22835","22833"
"06.01.2023 08:00 - 06.01.2023 09:00","23872","24086"
"06.01.2023 09:00 - 06.01.2023 10:00","25572","25583"
"06.01.2023 10:00 - 06.01.2023 11:00","26135","26114"
"06.01.2023 11:00 - 06.01.2023 12:00","26189","26746"
"06.01.2023 12:00 - 06.01.2023 13:00","25890","26762"
"06.01.2023 13:00 - 06.01.2023 14:00","24469","25517"
"06.01.2023 14:00 - 06.01.2023 15:00","23915","25172"
"06.01.2023 15:00 - 06.01.2023 16:00","24317","25641"
"06.01.2023 16:00 - 06.01.2023 17:00","24861","26319"
"06.01.2023 17:00 - 06.01.2023 18:00","27357","28668"
"06.01.2023 18:00 - 06.01.2023 19:00","29087","29660"
"06.01.2023 19:00 - 06.01.2023 20:00","29838","30195"
"06.01.2023 20:00 - 06.01.2023 21:00","29309","29109"
"06.01.2023 21:00 - 06.01.2023 22:00","27559","27529"
"06.01.2023 22:00 - 06.01.2023 23:00","25548","25483"
"06.01.2023 23:00 - 07.01.2023 00:00","23508","23325"
"07.01.2023 00:00 - 07.01.2023 01:00","21479","21268"
"07.01.2023 01:00 - 07.01.2023 02:00","20032","19724"
"07.01.2023 02:00 - 07.01.2023 03:00","19013","18772"
"07.01.2023 03:00 - 07.01.2023 04:00","18690","18221"
"07.01.2023 04:00 - 07.01.2023 05:00","19083","18393"
"07.01.2023 05:00 - 07.01.2023 06:00","20197","19440"
"07.01.2023 06:00 - 07.01.2023 07:00","22488","21720"
"07.01.2023 07:00 - 07.01.2023 08:00","24600","23658"
"07.01.2023 08:00 - 07.01.2023 09:00","26533","25787"
"07.01.2023 09:00 - 07.01.2023 10:00","27952","27523"
"07.01.2023 10:00 - 07.01.2023 11:00","27880","27656"
"07.01.2023 11:00 - 07.01.2023 12:00","27846","27531"
"07.01.2023 12:00 - 07.01.2023 13:00","27637","27443"
"07.01.2023 13:00 - 07.01.2023 14:00","27403","27022"
"07.01.2023 14:00 - 07.01.2023 15:00","27501","27081"
"07.01.2023 15:00 - 07.01.2023 16:00","27866","27371"
"07.01.2023 16:00 - 07.01.2023 17:00","28525","28241"
"07.01.2023 17:00 - 07.01.2023 18:00","31388","30875"
"07.01.2023 18:00 - 07.01.2023 19:00","32373","31855"
"07.01.2023 19:00 - 07.01.2023 20:00","32453","32151"
"07.01.2023 20:00 - 07.01.2023 21:00","31060","30347"
"07.01.2023 21:00 - 07.01.2023 22:00","28746","27867"
"07.01.2023 22:00 - 07.01.2023 23:00","26573","25608"
"07.01.2023 23:00 - 08.01.2023 00:00","24268","23509"
"08.01.2023 00:00 - 08.01.2023 01:00","22221","21733"
"08.01.2023 01:00 - 08.01.2023 02:00","19925","20032"
"08.01.2023 02:00 - 08.01.2023 03:00","18996","18983"
"08.01.2023 03:00 - 08.01.2023 04:00","18455","18514"
"08.01.2023 04:00 - 08.01.2023 05:00","18446","18412"
"08.01.2023 05:00 - 08.01.2023 06:00","19085","18928"
"08.01.2023 06:00 - 08.01.2023 07:00","20444","20355"
"08.01.2023 07:00 - 08.01.2023 08:00","21357","21520"
"08.01.2023 08:00 - 08.01.2023 09:00","23026","23140"
"08.01.2023 09:00 - 08.01.2023 10:00","24887","25632"
"08.01.2023 10:00 - 08.01.2023 11:00","25712","26732"
"08.01.2023 11:00 - 08.01.2023 12:00","26171","27304"
"08.01.2023 12:00 - 08.01.2023 13:00","26853","27717"
"08.01.2023 13:00 - 08.01.2023 14:00","25863","26918"
"08.01.2023 14:00 - 08.01.2023 15:00","26081","26617"
"08.01.2023 15:00 - 08.01.2023 16:00","25980","26449"
"08.01.2023 16:00 - 08.01.2023 17:00","26349","26938"
"08.01.2023 17:00 - 08.01.2023 18:00","28933","29047"
"08.01.2023 18:00 - 08.01.2023 19:00","30173","30189"
"08.01.2023 19:00 - 08.01.2023 20:00","30784","30871"
"08.01.2023 20:00 - 08.01.2023 21:00","29920","29925"
"08.01.2023 21:00 - 08.01.2023 22:00","28343","28269"
"08.01.2023 22:00 - 08.01.2023 23:00","25963","25919"
"08.01.2023 23:00 - 09.01.2023 00:00","23337","23497"
"09.01.2023 00:00 - 09.01.2023 01:00","21199","21309"
"09.01.2023 01:00 - 09.01.2023 02:00","19906","20020"
"09.01.2023 02:00 - 09.01.2023 03:00","19341","19498"
"09.01.2023 03:00 - 09.01.2023 04:00","19054","19353"
"09.01.2023 04:00 - 09.01.2023 05:00","19401","19931"
"09.01.2023 05:00 - 09.01.2023 06:00","21369","22393"
"09.01.2023 06:00 - 09.01.2023 07:00","26719","28210"
"09.01.2023 07:00 - 09.01.2023 08:00","33099","34379"
"09.01.2023 08:00 - 09.01.2023 09:00","37976","38623"
"09.01.2023 09:00 - 09.01.2023 10:00","40258","40508"
"09.01.2023 10:00 - 09.01.2023 11:00","40334","40451"
"09.01.2023 11:00 - 09.01.2023 12:00","40015","40038"
"09.01.2023 12:00 - 09.01.2023 13:00","38661","38940"
"09.01.2023 13:00 - 09.01.2023 14:00","39005","38580"
"09.01.2023 14:00 - 09.01.2023 15:00","39550","38899"
"09.01.2023 15:00 - 09.01.2023 16:00","39890","39389"
"09.01.2023 16:00 - 09.01.2023 17:00","40919","39782"
"09.01.2023 17:00 - 09.01.2023 18:00","41711","40794"
"09.01.2023 18:00 - 09.01.2023 19:00","41592","40089"
"09.01.2023 19:00 - 09.01.2023 20:00","40545","39502"
"09.01.2023 20:00 - 09.01.2023 21:00","37734","37697"
"09.01.2023 21:00 - 09.01.2023 22:00","34391","34591"
"09.01.2023 22:00 - 09.01.2023 23:00","30430","30969"
"09.01.2023 23:00 - 10.01.2023 00:00","27507","27978"
"10.01.2023 00:00 - 10.01.2023 01:00","25966","25325"
"10.01.2023 01:00 - 10.01.2023 02:00","24369","23917"
"10.01.2023 02:00 - 10.01.2023 03:00","23567","23198"
"10.01.2023 03:00 - 10.01.2023 04:00","23287","23109"
"10.01.2023 04:00 - 10.01.2023 05:00","23558","23458"
"10.01.2023 05:00 - 10.01.2023 06:00","25441","25155"
"10.01.2023 06:00 - 10.01.2023 07:00","30599","30699"
"10.01.2023 07:00 - 10.01.2023 08:00","36560","37051"
"10.01.2023 08:00 - 10.01.2023 09:00","40941","40964"
"10.01.2023 09:00 - 10.01.2023 10:00","42271","42015"
"10.01.2023 10:00 - 10.01.2023 11:00","41832","41255"
"10.01.2023 11:00 - 10.01.2023 12:00","41153","40442"
"10.01.2023 12:00 - 10.01.2023 13:00","39363","37987"
"10.01.2023 13:00 - 10.01.2023 14:00","38569","37490"
"10.01.2023 14:00 - 10.01.2023 15:00","39510","38068"
"10.01.2023 15:00 - 10.01.2023 16:00","40366","38714"
"10.01.2023 16:00 - 10.01.2023 17:00","40877","39490"
"10.01.2023 17:00 - 10.01.2023 18:00","42455","41337"
"10.01.2023 18:00 - 10.01.2023 19:00","41968","41071"
"10.01.2023 19:00 - 10.01.2023 20:00","41186","40763"
"10.01.2023 20:00 - 10.01.2023 21:00","38963","38659"
"10.01.2023 21:00 - 10.01.2023 22:00","36395","35606"
"10.01.2023 22:00 - 10.01.2023 23:00","32712","31867"
"10.01.2023 23:00 - 11.01.2023 00:00","29470","28756"
"11.01.2023 00:00 - 11.01.2023 01:00","26297","26137"
"11.01.2023 01:00 - 11.01.2023 02:00","24714","24671"
"11.01.2023 02:00 - 11.01.2023 03:00","23912","24010"
"11.01.2023 03:00 - 11.01.2023 04:00","23773","23735"
"11.01.2023 04:00 - 11.01.2023 05:00","24017","24158"
"11.01.2023 05:00 - 11.01.2023 06:00","25596","25804"
"11.01.2023 06:00 - 11.01.2023 07:00","31085","31191"
"11.01.2023 07:00 - 11.01.2023 08:00","37238","37468"
"11.01.2023 08:00 - 11.01.2023 09:00","41153","41640"
"11.01.2023 09:00 - 11.01.2023 10:00","42093","42573"
"11.01.2023 10:00 - 11.01.2023 11:00","41082","41380"
"11.01.2023 11:00 - 11.01.2023 12:00","40153","40449"
"11.01.2023 12:00 - 11.01.2023 13:00","38398","38139"
"11.01.2023 13:00 - 11.01.2023 14:00","37725","38194"
