"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Kosovo (XK)","Actual Total Load [MW] - Kosovo (XK)"
"01.01.2023 00:00 - 01.01.2023 01:00","1018","964"
"01.01.2023 01:00 - 01.01.2023 02:00","1043","997"
"01.01.2023 02:00 - 01.01.2023 03:00","999","951"
"01.01.2023 03:00 - 01.01.2023 04:00","879","842"
"01.01.2023 04:00 - 01.01.2023 05:00","786","759"
"01.01.2023 05:00 - 01.01.2023 06:00","735","709"
"01.01.2023 06:00 - 01.01.2023 07:00","735","703"
"01.01.2023 07:00 - 01.01.2023 08:00","705","677"
"01.01.2023 08:00 - 01.01.2023 09:00","740","702"
"01.01.2023 09:00 - 01.01.2023 10:00","829","786"
"01.01.2023 10:00 - 01.01.2023 11:00","906","880"
"01.01.2023 11:00 - 01.01.2023 12:00","953","944"
"01.01.2023 12:00 - 01.01.2023 13:00","958","964"
"01.01.2023 13:00 - 01.01.2023 14:00","939","935"
"01.01.2023 14:00 - 01.01.2023 15:00","929","904"
"01.01.2023 15:00 - 01.01.2023 16:00","934","910"
"01.01.2023 16:00 - 01.01.2023 17:00","1003","1004"
"01.01.2023 17:00 - 01.01.2023 18:00","1058","1064"
"01.01.2023 18:00 - 01.01.2023 19:00","1053","1056"
"01.01.2023 19:00 - 01.01.2023 20:00","1013","1041"
"01.01.2023 20:00 - 01.01.2023 21:00","973","1013"
"01.01.2023 21:00 - 01.01.2023 22:00","945","995"
"01.01.2023 22:00 - 01.01.2023 23:00","1003","1054"
"01.01.2023 23:00 - 02.01.2023 00:00","1014","795"
"02.01.2023 00:00 - 02.01.2023 01:00","933","1069"
"02.01.2023 01:00 - 02.01.2023 02:00","877","976"
"02.01.2023 02:00 - 02.01.2023 03:00","783","872"
"02.01.2023 03:00 - 02.01.2023 04:00","722","801"
"02.01.2023 04:00 - 02.01.2023 05:00","700","765"
"02.01.2023 05:00 - 02.01.2023 06:00","701","757"
"02.01.2023 06:00 - 02.01.2023 07:00","692","785"
"02.01.2023 07:00 - 02.01.2023 08:00","777","813"
"02.01.2023 08:00 - 02.01.2023 09:00","876","874"
"02.01.2023 09:00 - 02.01.2023 10:00","951","976"
"02.01.2023 10:00 - 02.01.2023 11:00","980","1041"
"02.01.2023 11:00 - 02.01.2023 12:00","970","1064"
"02.01.2023 12:00 - 02.01.2023 13:00","941","1047"
"02.01.2023 13:00 - 02.01.2023 14:00","913","1010"
"02.01.2023 14:00 - 02.01.2023 15:00","876","974"
"02.01.2023 15:00 - 02.01.2023 16:00","885","988"
"02.01.2023 16:00 - 02.01.2023 17:00","990","1079"
"02.01.2023 17:00 - 02.01.2023 18:00","1050","1129"
"02.01.2023 18:00 - 02.01.2023 19:00","1030","1114"
"02.01.2023 19:00 - 02.01.2023 20:00","1020","1119"
"02.01.2023 20:00 - 02.01.2023 21:00","1011","1103"
"02.01.2023 21:00 - 02.01.2023 22:00","1000","1098"
"02.01.2023 22:00 - 02.01.2023 23:00","1050","1128"
"02.01.2023 23:00 - 03.01.2023 00:00","1054","1149"
"03.01.2023 00:00 - 03.01.2023 01:00","1003","1117"
"03.01.2023 01:00 - 03.01.2023 02:00","889","997"
"03.01.2023 02:00 - 03.01.2023 03:00","807","884"
"03.01.2023 03:00 - 03.01.2023 04:00","766","814"
"03.01.2023 04:00 - 03.01.2023 05:00","735","780"
"03.01.2023 05:00 - 03.01.2023 06:00","725","774"
"03.01.2023 06:00 - 03.01.2023 07:00","748","810"
"03.01.2023 07:00 - 03.01.2023 08:00","743","851"
"03.01.2023 08:00 - 03.01.2023 09:00","804","956"
"03.01.2023 09:00 - 03.01.2023 10:00","886","1044"
"03.01.2023 10:00 - 03.01.2023 11:00","948","1102"
"03.01.2023 11:00 - 03.01.2023 12:00","977","1092"
"03.01.2023 12:00 - 03.01.2023 13:00","966","1053"
"03.01.2023 13:00 - 03.01.2023 14:00","934","1010"
"03.01.2023 14:00 - 03.01.2023 15:00","914","962"
"03.01.2023 15:00 - 03.01.2023 16:00","905","975"
"03.01.2023 16:00 - 03.01.2023 17:00","991","1069"
"03.01.2023 17:00 - 03.01.2023 18:00","1063","1129"
"03.01.2023 18:00 - 03.01.2023 19:00","1053","1120"
"03.01.2023 19:00 - 03.01.2023 20:00","1033","1152"
"03.01.2023 20:00 - 03.01.2023 21:00","1002","1143"
"03.01.2023 21:00 - 03.01.2023 22:00","991","1152"
"03.01.2023 22:00 - 03.01.2023 23:00","1053","1224"
"03.01.2023 23:00 - 04.01.2023 00:00","1084","1213"
"04.01.2023 00:00 - 04.01.2023 01:00","1035","1134"
"04.01.2023 01:00 - 04.01.2023 02:00","939","993"
"04.01.2023 02:00 - 04.01.2023 03:00","837","885"
"04.01.2023 03:00 - 04.01.2023 04:00","769","821"
"04.01.2023 04:00 - 04.01.2023 05:00","736","791"
"04.01.2023 05:00 - 04.01.2023 06:00","727","791"
"04.01.2023 06:00 - 04.01.2023 07:00","769","864"
"04.01.2023 07:00 - 04.01.2023 08:00","804","942"
"04.01.2023 08:00 - 04.01.2023 09:00","888","1019"
"04.01.2023 09:00 - 04.01.2023 10:00","972","1107"
"04.01.2023 10:00 - 04.01.2023 11:00","1011","1134"
"04.01.2023 11:00 - 04.01.2023 12:00","1011","1119"
"04.01.2023 12:00 - 04.01.2023 13:00","991","1092"
"04.01.2023 13:00 - 04.01.2023 14:00","953","1061"
"04.01.2023 14:00 - 04.01.2023 15:00","924","1044"
"04.01.2023 15:00 - 04.01.2023 16:00","933","1053"
