"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Latvia (LV)","Actual Total Load [MW] - Latvia (LV)"
"01.01.2023 00:00 - 01.01.2023 01:00","601","573"
"01.01.2023 01:00 - 01.01.2023 02:00","583","546"
"01.01.2023 02:00 - 01.01.2023 03:00","568","523"
"01.01.2023 03:00 - 01.01.2023 04:00","565","518"
"01.01.2023 04:00 - 01.01.2023 05:00","578","514"
"01.01.2023 05:00 - 01.01.2023 06:00","595","534"
"01.01.2023 06:00 - 01.01.2023 07:00","622","548"
"01.01.2023 07:00 - 01.01.2023 08:00","660","554"
"01.01.2023 08:00 - 01.01.2023 09:00","648","567"
"01.01.2023 09:00 - 01.01.2023 10:00","687","602"
"01.01.2023 10:00 - 01.01.2023 11:00","711","632"
"01.01.2023 11:00 - 01.01.2023 12:00","726","651"
"01.01.2023 12:00 - 01.01.2023 13:00","736","656"
"01.01.2023 13:00 - 01.01.2023 14:00","730","659"
"01.01.2023 14:00 - 01.01.2023 15:00","742","671"
"01.01.2023 15:00 - 01.01.2023 16:00","799","716"
"01.01.2023 16:00 - 01.01.2023 17:00","816","730"
"01.01.2023 17:00 - 01.01.2023 18:00","807","732"
"01.01.2023 18:00 - 01.01.2023 19:00","795","721"
"01.01.2023 19:00 - 01.01.2023 20:00","782","707"
"01.01.2023 20:00 - 01.01.2023 21:00","747","683"
"01.01.2023 21:00 - 01.01.2023 22:00","693","634"
"01.01.2023 22:00 - 01.01.2023 23:00","647","585"
"01.01.2023 23:00 - 02.01.2023 00:00","590","543"
"02.01.2023 00:00 - 02.01.2023 01:00","540","516"
"02.01.2023 01:00 - 02.01.2023 02:00","519","505"
"02.01.2023 02:00 - 02.01.2023 03:00","509","494"
"02.01.2023 03:00 - 02.01.2023 04:00","518","505"
"02.01.2023 04:00 - 02.01.2023 05:00","561","536"
"02.01.2023 05:00 - 02.01.2023 06:00","647","615"
"02.01.2023 06:00 - 02.01.2023 07:00","741","713"
"02.01.2023 07:00 - 02.01.2023 08:00","844","799"
"02.01.2023 08:00 - 02.01.2023 09:00","870","835"
"02.01.2023 09:00 - 02.01.2023 10:00","900","867"
"02.01.2023 10:00 - 02.01.2023 11:00","911","874"
"02.01.2023 11:00 - 02.01.2023 12:00","901","870"
"02.01.2023 12:00 - 02.01.2023 13:00","916","891"
"02.01.2023 13:00 - 02.01.2023 14:00","911","895"
"02.01.2023 14:00 - 02.01.2023 15:00","905","895"
"02.01.2023 15:00 - 02.01.2023 16:00","934","927"
"02.01.2023 16:00 - 02.01.2023 17:00","946","915"
"02.01.2023 17:00 - 02.01.2023 18:00","925","891"
"02.01.2023 18:00 - 02.01.2023 19:00","890","855"
"02.01.2023 19:00 - 02.01.2023 20:00","855","823"
"02.01.2023 20:00 - 02.01.2023 21:00","800","773"
"02.01.2023 21:00 - 02.01.2023 22:00","743","707"
"02.01.2023 22:00 - 02.01.2023 23:00","675","642"
"02.01.2023 23:00 - 03.01.2023 00:00","618","581"
"03.01.2023 00:00 - 03.01.2023 01:00","547","552"
"03.01.2023 01:00 - 03.01.2023 02:00","526","536"
"03.01.2023 02:00 - 03.01.2023 03:00","511","523"
"03.01.2023 03:00 - 03.01.2023 04:00","525","530"
"03.01.2023 04:00 - 03.01.2023 05:00","557","564"
"03.01.2023 05:00 - 03.01.2023 06:00","652","654"
"03.01.2023 06:00 - 03.01.2023 07:00","730","766"
"03.01.2023 07:00 - 03.01.2023 08:00","813","866"
"03.01.2023 08:00 - 03.01.2023 09:00","846","905"
"03.01.2023 09:00 - 03.01.2023 10:00","886","934"
"03.01.2023 10:00 - 03.01.2023 11:00","895","944"
"03.01.2023 11:00 - 03.01.2023 12:00","881","926"
"03.01.2023 12:00 - 03.01.2023 13:00","895","938"
"03.01.2023 13:00 - 03.01.2023 14:00","884","943"
"03.01.2023 14:00 - 03.01.2023 15:00","887","941"
"03.01.2023 15:00 - 03.01.2023 16:00","916","962"
"03.01.2023 16:00 - 03.01.2023 17:00","939","954"
"03.01.2023 17:00 - 03.01.2023 18:00","915","931"
"03.01.2023 18:00 - 03.01.2023 19:00","879","896"
"03.01.2023 19:00 - 03.01.2023 20:00","845","868"
"03.01.2023 20:00 - 03.01.2023 21:00","795","817"
"03.01.2023 21:00 - 03.01.2023 22:00","733","748"
"03.01.2023 22:00 - 03.01.2023 23:00","678","681"
"03.01.2023 23:00 - 04.01.2023 00:00","593","617"
"04.01.2023 00:00 - 04.01.2023 01:00","550","590"
"04.01.2023 01:00 - 04.01.2023 02:00","531","572"
"04.01.2023 02:00 - 04.01.2023 03:00","518","557"
"04.01.2023 03:00 - 04.01.2023 04:00","531","567"
"04.01.2023 04:00 - 04.01.2023 05:00","567","606"
"04.01.2023 05:00 - 04.01.2023 06:00","667","699"
"04.01.2023 06:00 - 04.01.2023 07:00","756","818"
"04.01.2023 07:00 - 04.01.2023 08:00","871","923"
"04.01.2023 08:00 - 04.01.2023 09:00","909","955"
"04.01.2023 09:00 - 04.01.2023 10:00","938","969"
"04.01.2023 10:00 - 04.01.2023 11:00","933","969"
"04.01.2023 11:00 - 04.01.2023 12:00","908","959"
"04.01.2023 12:00 - 04.01.2023 13:00","925","973"
"04.01.2023 13:00 - 04.01.2023 14:00","911","976"
"04.01.2023 14:00 - 04.01.2023 15:00","917","967"
"04.01.2023 15:00 - 04.01.2023 16:00","953","993"
"04.01.2023 16:00 - 04.01.2023 17:00","938","980"
"04.01.2023 17:00 - 04.01.2023 18:00","932","963"
"04.01.2023 18:00 - 04.01.2023 19:00","889","933"
"04.01.2023 19:00 - 04.01.2023 20:00","846","917"
"04.01.2023 20:00 - 04.01.2023 21:00","800","873"
"04.01.2023 21:00 - 04.01.2023 22:00","730","806"
"04.01.2023 22:00 - 04.01.2023 23:00","672","746"
"04.01.2023 23:00 - 05.01.2023 00:00","621","691"
"05.01.2023 00:00 - 05.01.2023 01:00","599","653"
"05.01.2023 01:00 - 05.01.2023 02:00","578","639"
"05.01.2023 02:00 - 05.01.2023 03:00","566","625"
