"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Lithuania (LT)","Actual Total Load [MW] - Lithuania (LT)"
"01.01.2023 00:00 - 01.01.2023 01:00","1026","1030"
"01.01.2023 01:00 - 01.01.2023 02:00","975","979"
"01.01.2023 02:00 - 01.01.2023 03:00","951","948"
"01.01.2023 03:00 - 01.01.2023 04:00","930","937"
"01.01.2023 04:00 - 01.01.2023 05:00","939","934"
"01.01.2023 05:00 - 01.01.2023 06:00","963","962"
"01.01.2023 06:00 - 01.01.2023 07:00","1024","982"
"01.01.2023 07:00 - 01.01.2023 08:00","1101","982"
"01.01.2023 08:00 - 01.01.2023 09:00","1172","1000"
"01.01.2023 09:00 - 01.01.2023 10:00","1222","1046"
"01.01.2023 10:00 - 01.01.2023 11:00","1239","1073"
"01.01.2023 11:00 - 01.01.2023 12:00","1221","1106"
"01.01.2023 12:00 - 01.01.2023 13:00","1215","1124"
"01.01.2023 13:00 - 01.01.2023 14:00","1228","1145"
"01.01.2023 14:00 - 01.01.2023 15:00","1230","1165"
"01.01.2023 15:00 - 01.01.2023 16:00","1309","1229"
"01.01.2023 16:00 - 01.01.2023 17:00","1337","1267"
"01.01.2023 17:00 - 01.01.2023 18:00","1341","1263"
"01.01.2023 18:00 - 01.01.2023 19:00","1301","1251"
"01.01.2023 19:00 - 01.01.2023 20:00","1265","1219"
"01.01.2023 20:00 - 01.01.2023 21:00","1220","1179"
"01.01.2023 21:00 - 01.01.2023 22:00","1157","1106"
"01.01.2023 22:00 - 01.01.2023 23:00","1085","1022"
"01.01.2023 23:00 - 02.01.2023 00:00","1045","972"
"02.01.2023 00:00 - 02.01.2023 01:00","1000","932"
"02.01.2023 01:00 - 02.01.2023 02:00","967","908"
"02.01.2023 02:00 - 02.01.2023 03:00","961","899"
"02.01.2023 03:00 - 02.01.2023 04:00","975","920"
"02.01.2023 04:00 - 02.01.2023 05:00","1032","965"
"02.01.2023 05:00 - 02.01.2023 06:00","1207","1132"
"02.01.2023 06:00 - 02.01.2023 07:00","1342","1300"
"02.01.2023 07:00 - 02.01.2023 08:00","1486","1428"
"02.01.2023 08:00 - 02.01.2023 09:00","1558","1472"
"02.01.2023 09:00 - 02.01.2023 10:00","1599","1498"
"02.01.2023 10:00 - 02.01.2023 11:00","1612","1531"
"02.01.2023 11:00 - 02.01.2023 12:00","1612","1535"
"02.01.2023 12:00 - 02.01.2023 13:00","1622","1566"
"02.01.2023 13:00 - 02.01.2023 14:00","1598","1557"
"02.01.2023 14:00 - 02.01.2023 15:00","1588","1553"
"02.01.2023 15:00 - 02.01.2023 16:00","1629","1575"
"02.01.2023 16:00 - 02.01.2023 17:00","1628","1573"
"02.01.2023 17:00 - 02.01.2023 18:00","1588","1540"
"02.01.2023 18:00 - 02.01.2023 19:00","1529","1491"
"02.01.2023 19:00 - 02.01.2023 20:00","1455","1407"
"02.01.2023 20:00 - 02.01.2023 21:00","1381","1346"
"02.01.2023 21:00 - 02.01.2023 22:00","1261","1236"
"02.01.2023 22:00 - 02.01.2023 23:00","1159","1140"
"02.01.2023 23:00 - 03.01.2023 00:00","1067","1057"
"03.01.2023 00:00 - 03.01.2023 01:00","1024","1019"
"03.01.2023 01:00 - 03.01.2023 02:00","998","1000"
"03.01.2023 02:00 - 03.01.2023 03:00","978","994"
"03.01.2023 03:00 - 03.01.2023 04:00","988","1002"
"03.01.2023 04:00 - 03.01.2023 05:00","1036","1064"
"03.01.2023 05:00 - 03.01.2023 06:00","1209","1228"
"03.01.2023 06:00 - 03.01.2023 07:00","1367","1392"
"03.01.2023 07:00 - 03.01.2023 08:00","1512","1513"
"03.01.2023 08:00 - 03.01.2023 09:00","1569","1559"
"03.01.2023 09:00 - 03.01.2023 10:00","1600","1586"
"03.01.2023 10:00 - 03.01.2023 11:00","1612","1588"
"03.01.2023 11:00 - 03.01.2023 12:00","1614","1603"
"03.01.2023 12:00 - 03.01.2023 13:00","1625","1609"
"03.01.2023 13:00 - 03.01.2023 14:00","1607","1606"
"03.01.2023 14:00 - 03.01.2023 15:00","1606","1577"
"03.01.2023 15:00 - 03.01.2023 16:00","1643","1605"
"03.01.2023 16:00 - 03.01.2023 17:00","1637","1623"
"03.01.2023 17:00 - 03.01.2023 18:00","1618","1592"
"03.01.2023 18:00 - 03.01.2023 19:00","1570","1547"
"03.01.2023 19:00 - 03.01.2023 20:00","1495","1501"
"03.01.2023 20:00 - 03.01.2023 21:00","1432","1416"
"03.01.2023 21:00 - 03.01.2023 22:00","1321","1312"
"03.01.2023 22:00 - 03.01.2023 23:00","1233","1207"
"03.01.2023 23:00 - 04.01.2023 00:00","1131","1136"
"04.01.2023 00:00 - 04.01.2023 01:00","1079","1096"
"04.01.2023 01:00 - 04.01.2023 02:00","1050","1073"
"04.01.2023 02:00 - 04.01.2023 03:00","1041","1043"
"04.01.2023 03:00 - 04.01.2023 04:00","1058","1055"
"04.01.2023 04:00 - 04.01.2023 05:00","1116","1117"
"04.01.2023 05:00 - 04.01.2023 06:00","1274","1294"
"04.01.2023 06:00 - 04.01.2023 07:00","1433","1481"
"04.01.2023 07:00 - 04.01.2023 08:00","1575","1614"
"04.01.2023 08:00 - 04.01.2023 09:00","1640","1686"
"04.01.2023 09:00 - 04.01.2023 10:00","1682","1728"
"04.01.2023 10:00 - 04.01.2023 11:00","1690","1747"
"04.01.2023 11:00 - 04.01.2023 12:00","1682","1732"
"04.01.2023 12:00 - 04.01.2023 13:00","1685","1732"
"04.01.2023 13:00 - 04.01.2023 14:00","1666","1710"
"04.01.2023 14:00 - 04.01.2023 15:00","1659","1702"
"04.01.2023 15:00 - 04.01.2023 16:00","1692","1721"
"04.01.2023 16:00 - 04.01.2023 17:00","1697","1720"
"04.01.2023 17:00 - 04.01.2023 18:00","1668","1681"
"04.01.2023 18:00 - 04.01.2023 19:00","1611","1640"
"04.01.2023 19:00 - 04.01.2023 20:00","1536","1576"
"04.01.2023 20:00 - 04.01.2023 21:00","1463","1495"
"04.01.2023 21:00 - 04.01.2023 22:00","1347","1389"
"04.01.2023 22:00 - 04.01.2023 23:00","1260","1271"
"04.01.2023 23:00 - 05.01.2023 00:00","1195","1207"
"05.01.2023 00:00 - 05.01.2023 01:00","1154","1167"
"05.01.2023 01:00 - 05.01.2023 02:00","1130","1147"
"05.01.2023 02:00 - 05.01.2023 03:00","1118","1136"
"05.01.2023 03:00 - 05.01.2023 04:00","1131","1136"
"05.01.2023 04:00 - 05.01.2023 05:00","1174","1185"
"05.01.2023 05:00 - 05.01.2023 06:00","1323","1354"
"05.01.2023 06:00 - 05.01.2023 07:00","1486","1513"
"05.01.2023 07:00 - 05.01.2023 08:00","1629","1640"
"05.01.2023 08:00 - 05.01.2023 09:00","1700","1665"
"05.01.2023 09:00 - 05.01.2023 10:00","1734","1697"
"05.01.2023 10:00 - 05.01.2023 11:00","1741","1713"
"05.01.2023 11:00 - 05.01.2023 12:00","1737","1711"
"05.01.2023 12:00 - 05.01.2023 13:00","1747","1733"
"05.01.2023 13:00 - 05.01.2023 14:00","1740","1725"
"05.01.2023 14:00 - 05.01.2023 15:00","1738","1739"
"05.01.2023 15:00 - 05.01.2023 16:00","1769","1739"
"05.01.2023 16:00 - 05.01.2023 17:00","1776","1740"
"05.01.2023 17:00 - 05.01.2023 18:00","1730","1700"
"05.01.2023 18:00 - 05.01.2023 19:00","1671","1649"
"05.01.2023 19:00 - 05.01.2023 20:00","1616","1587"
"05.01.2023 20:00 - 05.01.2023 21:00","1558","1521"
"05.01.2023 21:00 - 05.01.2023 22:00","1454","1420"
"05.01.2023 22:00 - 05.01.2023 23:00","1355","1315"
"05.01.2023 23:00 - 06.01.2023 00:00","1274","1250"
"06.01.2023 00:00 - 06.01.2023 01:00","1204","1218"
"06.01.2023 01:00 - 06.01.2023 02:00","1185","1202"
"06.01.2023 02:00 - 06.01.2023 03:00","1180","1178"
"06.01.2023 03:00 - 06.01.2023 04:00","1199","1211"
"06.01.2023 04:00 - 06.01.2023 05:00","1278","1274"
"06.01.2023 05:00 - 06.01.2023 06:00","1470","1441"
"06.01.2023 06:00 - 06.01.2023 07:00","1644","1623"
"06.01.2023 07:00 - 06.01.2023 08:00","1804","1759"
"06.01.2023 08:00 - 06.01.2023 09:00","1887","1858"
"06.01.2023 09:00 - 06.01.2023 10:00","1907","1905"
"06.01.2023 10:00 - 06.01.2023 11:00","1924","1919"
"06.01.2023 11:00 - 06.01.2023 12:00","1911","1934"
"06.01.2023 12:00 - 06.01.2023 13:00","1914","1945"
"06.01.2023 13:00 - 06.01.2023 14:00","1869","1895"
"06.01.2023 14:00 - 06.01.2023 15:00","1868","1832"
"06.01.2023 15:00 - 06.01.2023 16:00","1890","1846"
"06.01.2023 16:00 - 06.01.2023 17:00","1892","1879"
"06.01.2023 17:00 - 06.01.2023 18:00","1867","1831"
"06.01.2023 18:00 - 06.01.2023 19:00","1797","1777"
"06.01.2023 19:00 - 06.01.2023 20:00","1738","1708"
"06.01.2023 20:00 - 06.01.2023 21:00","1662","1620"
"06.01.2023 21:00 - 06.01.2023 22:00","1531","1519"
"06.01.2023 22:00 - 06.01.2023 23:00","1429","1420"
"06.01.2023 23:00 - 07.01.2023 00:00","1338","1353"
"07.01.2023 00:00 - 07.01.2023 01:00","1311","1305"
"07.01.2023 01:00 - 07.01.2023 02:00","1270","1274"
"07.01.2023 02:00 - 07.01.2023 03:00","1253","1261"
"07.01.2023 03:00 - 07.01.2023 04:00","1255","1252"
"07.01.2023 04:00 - 07.01.2023 05:00","1275","1278"
"07.01.2023 05:00 - 07.01.2023 06:00","1330","1349"
"07.01.2023 06:00 - 07.01.2023 07:00","1427","1420"
"07.01.2023 07:00 - 07.01.2023 08:00","1479","1488"
"07.01.2023 08:00 - 07.01.2023 09:00","1570","1570"
"07.01.2023 09:00 - 07.01.2023 10:00","1652","1645"
"07.01.2023 10:00 - 07.01.2023 11:00","1675","1679"
"07.01.2023 11:00 - 07.01.2023 12:00","1682","1682"
"07.01.2023 12:00 - 07.01.2023 13:00","1681","1674"
"07.01.2023 13:00 - 07.01.2023 14:00","1660","1652"
"07.01.2023 14:00 - 07.01.2023 15:00","1651","1636"
"07.01.2023 15:00 - 07.01.2023 16:00","1694","1670"
"07.01.2023 16:00 - 07.01.2023 17:00","1723","1700"
"07.01.2023 17:00 - 07.01.2023 18:00","1682","1670"
"07.01.2023 18:00 - 07.01.2023 19:00","1645","1629"
"07.01.2023 19:00 - 07.01.2023 20:00","1578","1570"
"07.01.2023 20:00 - 07.01.2023 21:00","1524","1494"
"07.01.2023 21:00 - 07.01.2023 22:00","1442","1403"
"07.01.2023 22:00 - 07.01.2023 23:00","1356","1325"
"07.01.2023 23:00 - 08.01.2023 00:00","1287","1263"
"08.01.2023 00:00 - 08.01.2023 01:00","1261","1220"
"08.01.2023 01:00 - 08.01.2023 02:00","1218","1190"
"08.01.2023 02:00 - 08.01.2023 03:00","1202","1165"
"08.01.2023 03:00 - 08.01.2023 04:00","1202","1160"
"08.01.2023 04:00 - 08.01.2023 05:00","1213","1179"
"08.01.2023 05:00 - 08.01.2023 06:00","1247","1244"
"08.01.2023 06:00 - 08.01.2023 07:00","1299","1295"
