"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Bosnia and Herz. (BA)","Actual Total Load [MW] - Bosnia and Herz. (BA)"
"01.01.2022 00:00 - 01.01.2022 01:00","1124","1012"
"01.01.2022 01:00 - 01.01.2022 02:00","1025","981"
"01.01.2022 02:00 - 01.01.2022 03:00","969","887"
"01.01.2022 03:00 - 01.01.2022 04:00","918","876"
"01.01.2022 04:00 - 01.01.2022 05:00","904","886"
"01.01.2022 05:00 - 01.01.2022 06:00","916","886"
"01.01.2022 06:00 - 01.01.2022 07:00","953","880"
"01.01.2022 07:00 - 01.01.2022 08:00","967","889"
"01.01.2022 08:00 - 01.01.2022 09:00","1107","986"
"01.01.2022 09:00 - 01.01.2022 10:00","1251","1104"
"01.01.2022 10:00 - 01.01.2022 11:00","1314","1168"
"01.01.2022 11:00 - 01.01.2022 12:00","1342","1204"
"01.01.2022 12:00 - 01.01.2022 13:00","1342","1424"
"01.01.2022 13:00 - 01.01.2022 14:00","1352","1238"
"01.01.2022 14:00 - 01.01.2022 15:00","1356","1098"
"01.01.2022 15:00 - 01.01.2022 16:00","1356","1293"
"01.01.2022 16:00 - 01.01.2022 17:00","1444","1241"
"01.01.2022 17:00 - 01.01.2022 18:00","1484","1240"
"01.01.2022 18:00 - 01.01.2022 19:00","1460","1237"
"01.01.2022 19:00 - 01.01.2022 20:00","1445","862"
"01.01.2022 20:00 - 01.01.2022 21:00","1402","1421"
"01.01.2022 21:00 - 01.01.2022 22:00","1331","1240"
"01.01.2022 22:00 - 01.01.2022 23:00","1247","1310"
"01.01.2022 23:00 - 02.01.2022 00:00","1140","874"
"02.01.2022 00:00 - 02.01.2022 01:00","1025","1140"
"02.01.2022 01:00 - 02.01.2022 02:00","899","1045"
"02.01.2022 02:00 - 02.01.2022 03:00","864","974"
"02.01.2022 03:00 - 02.01.2022 04:00","842","940"
"02.01.2022 04:00 - 02.01.2022 05:00","833","894"
"02.01.2022 05:00 - 02.01.2022 06:00","873","894"
"02.01.2022 06:00 - 02.01.2022 07:00","992","1020"
"02.01.2022 07:00 - 02.01.2022 08:00","1070","966"
"02.01.2022 08:00 - 02.01.2022 09:00","1255","1128"
"02.01.2022 09:00 - 02.01.2022 10:00","1396","1211"
"02.01.2022 10:00 - 02.01.2022 11:00","1513","1317"
"02.01.2022 11:00 - 02.01.2022 12:00","1560","1312"
"02.01.2022 12:00 - 02.01.2022 13:00","1599","1352"
"02.01.2022 13:00 - 02.01.2022 14:00","1574","1591"
"02.01.2022 14:00 - 02.01.2022 15:00","1507","1160"
"02.01.2022 15:00 - 02.01.2022 16:00","1403","1104"
"02.01.2022 16:00 - 02.01.2022 17:00","1500","1399"
"02.01.2022 17:00 - 02.01.2022 18:00","1575","1149"
"02.01.2022 18:00 - 02.01.2022 19:00","1545","1273"
"02.01.2022 19:00 - 02.01.2022 20:00","1509","1788"
"02.01.2022 20:00 - 02.01.2022 21:00","1482","1394"
"02.01.2022 21:00 - 02.01.2022 22:00","1397","1175"
"02.01.2022 22:00 - 02.01.2022 23:00","1378","1117"
"02.01.2022 23:00 - 03.01.2022 00:00","1183","1549"
"03.01.2022 00:00 - 03.01.2022 01:00","1067","1065"
"03.01.2022 01:00 - 03.01.2022 02:00","932","1112"
"03.01.2022 02:00 - 03.01.2022 03:00","898","1080"
"03.01.2022 03:00 - 03.01.2022 04:00","889","1074"
"03.01.2022 04:00 - 03.01.2022 05:00","903","1070"
"03.01.2022 05:00 - 03.01.2022 06:00","941","1042"
"03.01.2022 06:00 - 03.01.2022 07:00","1128","1094"
"03.01.2022 07:00 - 03.01.2022 08:00","1358","1281"
"03.01.2022 08:00 - 03.01.2022 09:00","1526","1312"
"03.01.2022 09:00 - 03.01.2022 10:00","1614","1301"
"03.01.2022 10:00 - 03.01.2022 11:00","1599","1421"
"03.01.2022 11:00 - 03.01.2022 12:00","1591","1439"
"03.01.2022 12:00 - 03.01.2022 13:00","1601","1534"
"03.01.2022 13:00 - 03.01.2022 14:00","1628","1349"
"03.01.2022 14:00 - 03.01.2022 15:00","1627","1180"
"03.01.2022 15:00 - 03.01.2022 16:00","1612","1607"
"03.01.2022 16:00 - 03.01.2022 17:00","1660","1405"
"03.01.2022 17:00 - 03.01.2022 18:00","1690","1114"
"03.01.2022 18:00 - 03.01.2022 19:00","1740","1439"
"03.01.2022 19:00 - 03.01.2022 20:00","1754","1324"
"03.01.2022 20:00 - 03.01.2022 21:00","1708","1111"
"03.01.2022 21:00 - 03.01.2022 22:00","1601","1552"
"03.01.2022 22:00 - 03.01.2022 23:00","1506","1507"
"03.01.2022 23:00 - 04.01.2022 00:00","1347","1127"
"04.01.2022 00:00 - 04.01.2022 01:00","1108","1145"
"04.01.2022 01:00 - 04.01.2022 02:00","1000","1351"
"04.01.2022 02:00 - 04.01.2022 03:00","937","1256"
"04.01.2022 03:00 - 04.01.2022 04:00","906","1270"
"04.01.2022 04:00 - 04.01.2022 05:00","923","1087"
"04.01.2022 05:00 - 04.01.2022 06:00","991","1135"
"04.01.2022 06:00 - 04.01.2022 07:00","1212","1409"
"04.01.2022 07:00 - 04.01.2022 08:00","1390","1636"
"04.01.2022 08:00 - 04.01.2022 09:00","1555","1809"
"04.01.2022 09:00 - 04.01.2022 10:00","1624","1625"
"04.01.2022 10:00 - 04.01.2022 11:00","1605","1816"
"04.01.2022 11:00 - 04.01.2022 12:00","1598","1413"
"04.01.2022 12:00 - 04.01.2022 13:00","1570","1299"
"04.01.2022 13:00 - 04.01.2022 14:00","1618","1214"
"04.01.2022 14:00 - 04.01.2022 15:00","1611","1310"
"04.01.2022 15:00 - 04.01.2022 16:00","1603","1167"
"04.01.2022 16:00 - 04.01.2022 17:00","1626","1446"
"04.01.2022 17:00 - 04.01.2022 18:00","1672","1362"
"04.01.2022 18:00 - 04.01.2022 19:00","1627","837"
"04.01.2022 19:00 - 04.01.2022 20:00","1573","1551"
"04.01.2022 20:00 - 04.01.2022 21:00","1515","1082"
