"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - North Macedonia (MK)","Actual Total Load [MW] - North Macedonia (MK)"
"01.01.2022 00:00 - 01.01.2022 01:00","1076","954"
"01.01.2022 01:00 - 01.01.2022 02:00","1001","908"
"01.01.2022 02:00 - 01.01.2022 03:00","933","840"
"01.01.2022 03:00 - 01.01.2022 04:00","869","779"
"01.01.2022 04:00 - 01.01.2022 05:00","832","737"
"01.01.2022 05:00 - 01.01.2022 06:00","814","723"
"01.01.2022 06:00 - 01.01.2022 07:00","820","730"
"01.01.2022 07:00 - 01.01.2022 08:00","786","697"
"01.01.2022 08:00 - 01.01.2022 09:00","809","730"
"01.01.2022 09:00 - 01.01.2022 10:00","880","783"
"01.01.2022 10:00 - 01.01.2022 11:00","931","824"
"01.01.2022 11:00 - 01.01.2022 12:00","969","847"
"01.01.2022 12:00 - 01.01.2022 13:00","958","841"
"01.01.2022 13:00 - 01.01.2022 14:00","946","831"
"01.01.2022 14:00 - 01.01.2022 15:00","1044","855"
"01.01.2022 15:00 - 01.01.2022 16:00","1060","869"
"01.01.2022 16:00 - 01.01.2022 17:00","1049","916"
"01.01.2022 17:00 - 01.01.2022 18:00","1066","943"
"01.01.2022 18:00 - 01.01.2022 19:00","1053","926"
"01.01.2022 19:00 - 01.01.2022 20:00","1040","900"
"01.01.2022 20:00 - 01.01.2022 21:00","1026","876"
"01.01.2022 21:00 - 01.01.2022 22:00","1033","857"
"01.01.2022 22:00 - 01.01.2022 23:00","1133","939"
"01.01.2022 23:00 - 02.01.2022 00:00","1138","945"
"02.01.2022 00:00 - 02.01.2022 01:00","1029","890"
"02.01.2022 01:00 - 02.01.2022 02:00","910","791"
"02.01.2022 02:00 - 02.01.2022 03:00","827","710"
"02.01.2022 03:00 - 02.01.2022 04:00","776","666"
"02.01.2022 04:00 - 02.01.2022 05:00","758","645"
"02.01.2022 05:00 - 02.01.2022 06:00","762","651"
"02.01.2022 06:00 - 02.01.2022 07:00","805","683"
"02.01.2022 07:00 - 02.01.2022 08:00","838","697"
"02.01.2022 08:00 - 02.01.2022 09:00","927","779"
"02.01.2022 09:00 - 02.01.2022 10:00","1041","859"
"02.01.2022 10:00 - 02.01.2022 11:00","1105","917"
"02.01.2022 11:00 - 02.01.2022 12:00","1137","924"
"02.01.2022 12:00 - 02.01.2022 13:00","1129","908"
"02.01.2022 13:00 - 02.01.2022 14:00","1112","886"
"02.01.2022 14:00 - 02.01.2022 15:00","1112","886"
"02.01.2022 15:00 - 02.01.2022 16:00","1124","917"
"02.01.2022 16:00 - 02.01.2022 17:00","1185","1000"
