"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Serbia (RS)","Actual Total Load [MW] - Serbia (RS)"
"01.01.2022 00:00 - 01.01.2022 01:00","4733","4159"
"01.01.2022 01:00 - 01.01.2022 02:00","4408","4174"
"01.01.2022 02:00 - 01.01.2022 03:00","4066","3988"
"01.01.2022 03:00 - 01.01.2022 04:00","3844","3724"
"01.01.2022 04:00 - 01.01.2022 05:00","3754","3538"
"01.01.2022 05:00 - 01.01.2022 06:00","3808","3385"
"01.01.2022 06:00 - 01.01.2022 07:00","4086","3333"
"01.01.2022 07:00 - 01.01.2022 08:00","4344","3298"
"01.01.2022 08:00 - 01.01.2022 09:00","4631","3463"
"01.01.2022 09:00 - 01.01.2022 10:00","4789","3740"
"01.01.2022 10:00 - 01.01.2022 11:00","4835","3907"
"01.01.2022 11:00 - 01.01.2022 12:00","4805","3999"
"01.01.2022 12:00 - 01.01.2022 13:00","4767","3991"
"01.01.2022 13:00 - 01.01.2022 14:00","4707","3951"
"01.01.2022 14:00 - 01.01.2022 15:00","4673","3849"
"01.01.2022 15:00 - 01.01.2022 16:00","4701","3801"
"01.01.2022 16:00 - 01.01.2022 17:00","4942","4083"
"01.01.2022 17:00 - 01.01.2022 18:00","5109","4172"
"01.01.2022 18:00 - 01.01.2022 19:00","5072","4156"
"01.01.2022 19:00 - 01.01.2022 20:00","4917","4157"
"01.01.2022 20:00 - 01.01.2022 21:00","4610","4129"
"01.01.2022 21:00 - 01.01.2022 22:00","4234","3994"
"01.01.2022 22:00 - 01.01.2022 23:00","4127","3946"
"01.01.2022 23:00 - 02.01.2022 00:00","4172","3976"
"02.01.2022 00:00 - 02.01.2022 01:00","4298","4154"
"02.01.2022 01:00 - 02.01.2022 02:00","4056","3921"
"02.01.2022 02:00 - 02.01.2022 03:00","3793","3635"
"02.01.2022 03:00 - 02.01.2022 04:00","3608","3396"
"02.01.2022 04:00 - 02.01.2022 05:00","3509","3309"
"02.01.2022 05:00 - 02.01.2022 06:00","3543","3296"
"02.01.2022 06:00 - 02.01.2022 07:00","3631","3379"
"02.01.2022 07:00 - 02.01.2022 08:00","3795","3454"
"02.01.2022 08:00 - 02.01.2022 09:00","4027","3706"
"02.01.2022 09:00 - 02.01.2022 10:00","4334","3886"
"02.01.2022 10:00 - 02.01.2022 11:00","4475","3955"
"02.01.2022 11:00 - 02.01.2022 12:00","4605","3965"
"02.01.2022 12:00 - 02.01.2022 13:00","4446","3900"
"02.01.2022 13:00 - 02.01.2022 14:00","4398","3826"
"02.01.2022 14:00 - 02.01.2022 15:00","4268","3705"
"02.01.2022 15:00 - 02.01.2022 16:00","4217","3726"
"02.01.2022 16:00 - 02.01.2022 17:00","4376","4000"
"02.01.2022 17:00 - 02.01.2022 18:00","4425","4168"
"02.01.2022 18:00 - 02.01.2022 19:00","4421","4146"
"02.01.2022 19:00 - 02.01.2022 20:00","4456","4133"
