"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Albania (AL)","Actual Total Load [MW] - Albania (AL)"
"01.01.2023 00:00 - 01.01.2023 00:15","153","189"
"01.01.2023 00:15 - 01.01.2023 00:30","153","189"
"01.01.2023 00:30 - 01.01.2023 00:45","153","189"
"01.01.2023 00:45 - 01.01.2023 01:00","153","189"
"01.01.2023 01:00 - 01.01.2023 01:15","133","161"
"01.01.2023 01:15 - 01.01.2023 01:30","133","161"
"01.01.2023 01:30 - 01.01.2023 01:45","133","161"
"01.01.2023 01:45 - 01.01.2023 02:00","133","161"
"01.01.2023 02:00 - 01.01.2023 02:15","124","138"
"01.01.2023 02:15 - 01.01.2023 02:30","124","138"
"01.01.2023 02:30 - 01.01.2023 02:45","124","138"
"01.01.2023 02:45 - 01.01.2023 03:00","124","138"
"01.01.2023 03:00 - 01.01.2023 03:15","119","124"
"01.01.2023 03:15 - 01.01.2023 03:30","119","124"
"01.01.2023 03:30 - 01.01.2023 03:45","119","124"
"01.01.2023 03:45 - 01.01.2023 04:00","119","124"
"01.01.2023 04:00 - 01.01.2023 04:15","120","119"
"01.01.2023 04:15 - 01.01.2023 04:30","120","119"
"01.01.2023 04:30 - 01.01.2023 04:45","120","119"
"01.01.2023 04:45 - 01.01.2023 05:00","120","119"
"01.01.2023 05:00 - 01.01.2023 05:15","124","121"
"01.01.2023 05:15 - 01.01.2023 05:30","124","121"
"01.01.2023 05:30 - 01.01.2023 05:45","124","121"
"01.01.2023 05:45 - 01.01.2023 06:00","124","121"
"01.01.2023 06:00 - 01.01.2023 06:15","142","132"
"01.01.2023 06:15 - 01.01.2023 06:30","142","132"
"01.01.2023 06:30 - 01.01.2023 06:45","142","132"
"01.01.2023 06:45 - 01.01.2023 07:00","142","132"
"01.01.2023 07:00 - 01.01.2023 07:15","176","156"
"01.01.2023 07:15 - 01.01.2023 07:30","176","156"
"01.01.2023 07:30 - 01.01.2023 07:45","176","156"
"01.01.2023 07:45 - 01.01.2023 08:00","176","156"
"01.01.2023 08:00 - 01.01.2023 08:15","210","188"
"01.01.2023 08:15 - 01.01.2023 08:30","210","188"
"01.01.2023 08:30 - 01.01.2023 08:45","210","188"
"01.01.2023 08:45 - 01.01.2023 09:00","210","188"
"01.01.2023 09:00 - 01.01.2023 09:15","234","208"
"01.01.2023 09:15 - 01.01.2023 09:30","234","208"
"01.01.2023 09:30 - 01.01.2023 09:45","234","208"
"01.01.2023 09:45 - 01.01.2023 10:00","234","208"
"01.01.2023 10:00 - 01.01.2023 10:15","227","214"
"01.01.2023 10:15 - 01.01.2023 10:30","227","214"
"01.01.2023 10:30 - 01.01.2023 10:45","227","214"
"01.01.2023 10:45 - 01.01.2023 11:00","227","214"
"01.01.2023 11:00 - 01.01.2023 11:15","220","209"
"01.01.2023 11:15 - 01.01.2023 11:30","220","209"
"01.01.2023 11:30 - 01.01.2023 11:45","220","209"
"01.01.2023 11:45 - 01.01.2023 12:00","220","209"
"01.01.2023 12:00 - 01.01.2023 12:15","216","204"
"01.01.2023 12:15 - 01.01.2023 12:30","216","204"
"01.01.2023 12:30 - 01.01.2023 12:45","216","204"
"01.01.2023 12:45 - 01.01.2023 13:00","216","204"
"01.01.2023 13:00 - 01.01.2023 13:15","216","199"
"01.01.2023 13:15 - 01.01.2023 13:30","216","199"
"01.01.2023 13:30 - 01.01.2023 13:45","216","199"
"01.01.2023 13:45 - 01.01.2023 14:00","216","199"
"01.01.2023 14:00 - 01.01.2023 14:15","216","197"
"01.01.2023 14:15 - 01.01.2023 14:30","216","197"
"01.01.2023 14:30 - 01.01.2023 14:45","216","197"
"01.01.2023 14:45 - 01.01.2023 15:00","216","197"
"01.01.2023 15:00 - 01.01.2023 15:15","223","201"
"01.01.2023 15:15 - 01.01.2023 15:30","223","201"
"01.01.2023 15:30 - 01.01.2023 15:45","223","201"
"01.01.2023 15:45 - 01.01.2023 16:00","223","201"
"01.01.2023 16:00 - 01.01.2023 16:15","246","222"
"01.01.2023 16:15 - 01.01.2023 16:30","246","222"
"01.01.2023 16:30 - 01.01.2023 16:45","246","222"
"01.01.2023 16:45 - 01.01.2023 17:00","246","222"
"01.01.2023 17:00 - 01.01.2023 17:15","269","247"
"01.01.2023 17:15 - 01.01.2023 17:30","269","247"
"01.01.2023 17:30 - 01.01.2023 17:45","269","247"
"01.01.2023 17:45 - 01.01.2023 18:00","269","247"
"01.01.2023 18:00 - 01.01.2023 18:15","274","247"
"01.01.2023 18:15 - 01.01.2023 18:30","274","247"
"01.01.2023 18:30 - 01.01.2023 18:45","274","247"
"01.01.2023 18:45 - 01.01.2023 19:00","274","247"
"01.01.2023 19:00 - 01.01.2023 19:15","267","243"
"01.01.2023 19:15 - 01.01.2023 19:30","267","243"
"01.01.2023 19:30 - 01.01.2023 19:45","267","243"
"01.01.2023 19:45 - 01.01.2023 20:00","267","243"
"01.01.2023 20:00 - 01.01.2023 20:15","262","235"
"01.01.2023 20:15 - 01.01.2023 20:30","262","235"
"01.01.2023 20:30 - 01.01.2023 20:45","262","235"
"01.01.2023 20:45 - 01.01.2023 21:00","262","235"
"01.01.2023 21:00 - 01.01.2023 21:15","247","220"
"01.01.2023 21:15 - 01.01.2023 21:30","247","220"
"01.01.2023 21:30 - 01.01.2023 21:45","247","220"
"01.01.2023 21:45 - 01.01.2023 22:00","247","220"
"01.01.2023 22:00 - 01.01.2023 22:15","215","199"
"01.01.2023 22:15 - 01.01.2023 22:30","215","199"
"01.01.2023 22:30 - 01.01.2023 22:45","215","199"
"01.01.2023 22:45 - 01.01.2023 23:00","215","199"
"01.01.2023 23:00 - 01.01.2023 23:15","186","170"
"01.01.2023 23:15 - 01.01.2023 23:30","186","170"
"01.01.2023 23:30 - 01.01.2023 23:45","186","170"
"01.01.2023 23:45 - 02.01.2023 00:00","186","170"
"02.01.2023 00:00 - 02.01.2023 00:15","194","590"
"02.01.2023 00:15 - 02.01.2023 00:30","194","590"
"02.01.2023 00:30 - 02.01.2023 00:45","194","590"
"02.01.2023 00:45 - 02.01.2023 01:00","194","590"
"02.01.2023 01:00 - 02.01.2023 01:15","168","510"
"02.01.2023 01:15 - 02.01.2023 01:30","168","510"
"02.01.2023 01:30 - 02.01.2023 01:45","168","510"
"02.01.2023 01:45 - 02.01.2023 02:00","168","510"
"02.01.2023 02:00 - 02.01.2023 02:15","146","462"
"02.01.2023 02:15 - 02.01.2023 02:30","146","462"
"02.01.2023 02:30 - 02.01.2023 02:45","146","462"
"02.01.2023 02:45 - 02.01.2023 03:00","146","462"
"02.01.2023 03:00 - 02.01.2023 03:15","130","441"
"02.01.2023 03:15 - 02.01.2023 03:30","130","441"
"02.01.2023 03:30 - 02.01.2023 03:45","130","441"
"02.01.2023 03:45 - 02.01.2023 04:00","130","441"
"02.01.2023 04:00 - 02.01.2023 04:15","124","439"
"02.01.2023 04:15 - 02.01.2023 04:30","124","439"
"02.01.2023 04:30 - 02.01.2023 04:45","124","439"
"02.01.2023 04:45 - 02.01.2023 05:00","124","439"
"02.01.2023 05:00 - 02.01.2023 05:15","127","469"
"02.01.2023 05:15 - 02.01.2023 05:30","127","469"
"02.01.2023 05:30 - 02.01.2023 05:45","127","469"
"02.01.2023 05:45 - 02.01.2023 06:00","127","469"
"02.01.2023 06:00 - 02.01.2023 06:15","139","537"
"02.01.2023 06:15 - 02.01.2023 06:30","139","537"
"02.01.2023 06:30 - 02.01.2023 06:45","139","537"
"02.01.2023 06:45 - 02.01.2023 07:00","139","537"
"02.01.2023 07:00 - 02.01.2023 07:15","160","670"
"02.01.2023 07:15 - 02.01.2023 07:30","160","670"
"02.01.2023 07:30 - 02.01.2023 07:45","160","670"
"02.01.2023 07:45 - 02.01.2023 08:00","160","670"
"02.01.2023 08:00 - 02.01.2023 08:15","194","818"
"02.01.2023 08:15 - 02.01.2023 08:30","194","818"
"02.01.2023 08:30 - 02.01.2023 08:45","194","818"
"02.01.2023 08:45 - 02.01.2023 09:00","194","818"
"02.01.2023 09:00 - 02.01.2023 09:15","215","893"
"02.01.2023 09:15 - 02.01.2023 09:30","215","893"
"02.01.2023 09:30 - 02.01.2023 09:45","215","893"
"02.01.2023 09:45 - 02.01.2023 10:00","215","893"
"02.01.2023 10:00 - 02.01.2023 10:15","220","882"
"02.01.2023 10:15 - 02.01.2023 10:30","220","882"
"02.01.2023 10:30 - 02.01.2023 10:45","220","882"
"02.01.2023 10:45 - 02.01.2023 11:00","220","882"
"02.01.2023 11:00 - 02.01.2023 11:15","220","846"
"02.01.2023 11:15 - 02.01.2023 11:30","220","846"
"02.01.2023 11:30 - 02.01.2023 11:45","220","846"
"02.01.2023 11:45 - 02.01.2023 12:00","220","846"
"02.01.2023 12:00 - 02.01.2023 12:15","212","830"
"02.01.2023 12:15 - 02.01.2023 12:30","212","830"
"02.01.2023 12:30 - 02.01.2023 12:45","212","830"
"02.01.2023 12:45 - 02.01.2023 13:00","212","830"
"02.01.2023 13:00 - 02.01.2023 13:15","207","829"
"02.01.2023 13:15 - 02.01.2023 13:30","207","829"
"02.01.2023 13:30 - 02.01.2023 13:45","207","829"
"02.01.2023 13:45 - 02.01.2023 14:00","207","829"
"02.01.2023 14:00 - 02.01.2023 14:15","205","830"
"02.01.2023 14:15 - 02.01.2023 14:30","205","830"
"02.01.2023 14:30 - 02.01.2023 14:45","205","830"
"02.01.2023 14:45 - 02.01.2023 15:00","205","830"
"02.01.2023 15:00 - 02.01.2023 15:15","209","858"
"02.01.2023 15:15 - 02.01.2023 15:30","209","858"
"02.01.2023 15:30 - 02.01.2023 15:45","209","858"
"02.01.2023 15:45 - 02.01.2023 16:00","209","858"
"02.01.2023 16:00 - 02.01.2023 16:15","231","946"
"02.01.2023 16:15 - 02.01.2023 16:30","231","946"
"02.01.2023 16:30 - 02.01.2023 16:45","231","946"
"02.01.2023 16:45 - 02.01.2023 17:00","231","946"
"02.01.2023 17:00 - 02.01.2023 17:15","259","1042"
"02.01.2023 17:15 - 02.01.2023 17:30","259","1042"
"02.01.2023 17:30 - 02.01.2023 17:45","259","1042"
"02.01.2023 17:45 - 02.01.2023 18:00","259","1042"
"02.01.2023 18:00 - 02.01.2023 18:15","255","1046"
"02.01.2023 18:15 - 02.01.2023 18:30","255","1046"
"02.01.2023 18:30 - 02.01.2023 18:45","255","1046"
"02.01.2023 18:45 - 02.01.2023 19:00","255","1046"
"02.01.2023 19:00 - 02.01.2023 19:15","253","1036"
"02.01.2023 19:15 - 02.01.2023 19:30","253","1036"
"02.01.2023 19:30 - 02.01.2023 19:45","253","1036"
"02.01.2023 19:45 - 02.01.2023 20:00","253","1036"
"02.01.2023 20:00 - 02.01.2023 20:15","244","1011"
"02.01.2023 20:15 - 02.01.2023 20:30","244","1011"
"02.01.2023 20:30 - 02.01.2023 20:45","244","1011"
"02.01.2023 20:45 - 02.01.2023 21:00","244","1011"
"02.01.2023 21:00 - 02.01.2023 21:15","230","944"
"02.01.2023 21:15 - 02.01.2023 21:30","230","944"
"02.01.2023 21:30 - 02.01.2023 21:45","230","944"
"02.01.2023 21:45 - 02.01.2023 22:00","230","944"
"02.01.2023 22:00 - 02.01.2023 22:15","207","826"
"02.01.2023 22:15 - 02.01.2023 22:30","207","826"
"02.01.2023 22:30 - 02.01.2023 22:45","207","826"
"02.01.2023 22:45 - 02.01.2023 23:00","207","826"
"02.01.2023 23:00 - 02.01.2023 23:15","178","702"
"02.01.2023 23:15 - 02.01.2023 23:30","178","702"
"02.01.2023 23:30 - 02.01.2023 23:45","178","702"
"02.01.2023 23:45 - 03.01.2023 00:00","178","702"
"03.01.2023 00:00 - 03.01.2023 00:15","153","154"
"03.01.2023 00:15 - 03.01.2023 00:30","153","154"
"03.01.2023 00:30 - 03.01.2023 00:45","153","154"
"03.01.2023 00:45 - 03.01.2023 01:00","153","154"
"03.01.2023 01:00 - 03.01.2023 01:15","135","137"
"03.01.2023 01:15 - 03.01.2023 01:30","135","137"
"03.01.2023 01:30 - 03.01.2023 01:45","135","137"
"03.01.2023 01:45 - 03.01.2023 02:00","135","137"
"03.01.2023 02:00 - 03.01.2023 02:15","127","130"
"03.01.2023 02:15 - 03.01.2023 02:30","127","130"
"03.01.2023 02:30 - 03.01.2023 02:45","127","130"
"03.01.2023 02:45 - 03.01.2023 03:00","127","130"
"03.01.2023 03:00 - 03.01.2023 03:15","122","126"
"03.01.2023 03:15 - 03.01.2023 03:30","122","126"
"03.01.2023 03:30 - 03.01.2023 03:45","122","126"
"03.01.2023 03:45 - 03.01.2023 04:00","122","126"
"03.01.2023 04:00 - 03.01.2023 04:15","123","126"
"03.01.2023 04:15 - 03.01.2023 04:30","123","126"
"03.01.2023 04:30 - 03.01.2023 04:45","123","126"
"03.01.2023 04:45 - 03.01.2023 05:00","123","126"
"03.01.2023 05:00 - 03.01.2023 05:15","130","136"
"03.01.2023 05:15 - 03.01.2023 05:30","130","136"
"03.01.2023 05:30 - 03.01.2023 05:45","130","136"
"03.01.2023 05:45 - 03.01.2023 06:00","130","136"
"03.01.2023 06:00 - 03.01.2023 06:15","151","160"
"03.01.2023 06:15 - 03.01.2023 06:30","151","160"
"03.01.2023 06:30 - 03.01.2023 06:45","151","160"
"03.01.2023 06:45 - 03.01.2023 07:00","151","160"
"03.01.2023 07:00 - 03.01.2023 07:15","188","200"
"03.01.2023 07:15 - 03.01.2023 07:30","188","200"
"03.01.2023 07:30 - 03.01.2023 07:45","188","200"
"03.01.2023 07:45 - 03.01.2023 08:00","188","200"
"03.01.2023 08:00 - 03.01.2023 08:15","225","240"
"03.01.2023 08:15 - 03.01.2023 08:30","225","240"
"03.01.2023 08:30 - 03.01.2023 08:45","225","240"
"03.01.2023 08:45 - 03.01.2023 09:00","225","240"
"03.01.2023 09:00 - 03.01.2023 09:15","244","255"
"03.01.2023 09:15 - 03.01.2023 09:30","244","255"
"03.01.2023 09:30 - 03.01.2023 09:45","244","255"
"03.01.2023 09:45 - 03.01.2023 10:00","244","255"
"03.01.2023 10:00 - 03.01.2023 10:15","240","253"
"03.01.2023 10:15 - 03.01.2023 10:30","240","253"
"03.01.2023 10:30 - 03.01.2023 10:45","240","253"
"03.01.2023 10:45 - 03.01.2023 11:00","240","253"
"03.01.2023 11:00 - 03.01.2023 11:15","234","248"
"03.01.2023 11:15 - 03.01.2023 11:30","234","248"
"03.01.2023 11:30 - 03.01.2023 11:45","234","248"
"03.01.2023 11:45 - 03.01.2023 12:00","234","248"
"03.01.2023 12:00 - 03.01.2023 12:15","230","245"
"03.01.2023 12:15 - 03.01.2023 12:30","230","245"
"03.01.2023 12:30 - 03.01.2023 12:45","230","245"
"03.01.2023 12:45 - 03.01.2023 13:00","230","245"
"03.01.2023 13:00 - 03.01.2023 13:15","232","249"
"03.01.2023 13:15 - 03.01.2023 13:30","232","249"
"03.01.2023 13:30 - 03.01.2023 13:45","232","249"
"03.01.2023 13:45 - 03.01.2023 14:00","232","249"
"03.01.2023 14:00 - 03.01.2023 14:15","232","248"
"03.01.2023 14:15 - 03.01.2023 14:30","232","248"
"03.01.2023 14:30 - 03.01.2023 14:45","232","248"
"03.01.2023 14:45 - 03.01.2023 15:00","232","248"
"03.01.2023 15:00 - 03.01.2023 15:15","240","257"
"03.01.2023 15:15 - 03.01.2023 15:30","240","257"
"03.01.2023 15:30 - 03.01.2023 15:45","240","257"
"03.01.2023 15:45 - 03.01.2023 16:00","240","257"
