"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Croatia (HR)","Actual Total Load [MW] - Croatia (HR)"
"01.01.2023 00:00 - 01.01.2023 00:15","1608","1618"
"01.01.2023 00:15 - 01.01.2023 00:30","1608","1598"
"01.01.2023 00:30 - 01.01.2023 00:45","1608","1580"
"01.01.2023 00:45 - 01.01.2023 01:00","1608","1566"
"01.01.2023 01:00 - 01.01.2023 01:15","1594","1548"
"01.01.2023 01:15 - 01.01.2023 01:30","1594","1535"
"01.01.2023 01:30 - 01.01.2023 01:45","1594","1508"
"01.01.2023 01:45 - 01.01.2023 02:00","1594","1494"
"01.01.2023 02:00 - 01.01.2023 02:15","1504","1470"
"01.01.2023 02:15 - 01.01.2023 02:30","1504","1447"
"01.01.2023 02:30 - 01.01.2023 02:45","1504","1423"
"01.01.2023 02:45 - 01.01.2023 03:00","1504","1410"
"01.01.2023 03:00 - 01.01.2023 03:15","1466","1384"
"01.01.2023 03:15 - 01.01.2023 03:30","1466","1368"
"01.01.2023 03:30 - 01.01.2023 03:45","1466","1355"
"01.01.2023 03:45 - 01.01.2023 04:00","1466","1341"
"01.01.2023 04:00 - 01.01.2023 04:15","1465","1330"
"01.01.2023 04:15 - 01.01.2023 04:30","1465","1321"
"01.01.2023 04:30 - 01.01.2023 04:45","1465","1324"
"01.01.2023 04:45 - 01.01.2023 05:00","1465","1324"
"01.01.2023 05:00 - 01.01.2023 05:15","1467","1316"
"01.01.2023 05:15 - 01.01.2023 05:30","1467","1320"
"01.01.2023 05:30 - 01.01.2023 05:45","1467","1324"
"01.01.2023 05:45 - 01.01.2023 06:00","1467","1322"
"01.01.2023 06:00 - 01.01.2023 06:15","1549","1351"
"01.01.2023 06:15 - 01.01.2023 06:30","1549","1355"
"01.01.2023 06:30 - 01.01.2023 06:45","1549","1367"
"01.01.2023 06:45 - 01.01.2023 07:00","1549","1362"
"01.01.2023 07:00 - 01.01.2023 07:15","1569","1361"
"01.01.2023 07:15 - 01.01.2023 07:30","1569","1345"
"01.01.2023 07:30 - 01.01.2023 07:45","1569","1330"
"01.01.2023 07:45 - 01.01.2023 08:00","1569","1349"
"01.01.2023 08:00 - 01.01.2023 08:15","1657","1390"
"01.01.2023 08:15 - 01.01.2023 08:30","1657","1416"
"01.01.2023 08:30 - 01.01.2023 08:45","1657","1446"
"01.01.2023 08:45 - 01.01.2023 09:00","1657","1481"
"01.01.2023 09:00 - 01.01.2023 09:15","1666","1518"
"01.01.2023 09:15 - 01.01.2023 09:30","1666","1556"
"01.01.2023 09:30 - 01.01.2023 09:45","1666","1597"
"01.01.2023 09:45 - 01.01.2023 10:00","1666","1627"
"01.01.2023 10:00 - 01.01.2023 10:15","1779","1665"
"01.01.2023 10:15 - 01.01.2023 10:30","1779","1697"
"01.01.2023 10:30 - 01.01.2023 10:45","1779","1722"
"01.01.2023 10:45 - 01.01.2023 11:00","1779","1738"
"01.01.2023 11:00 - 01.01.2023 11:15","1850","1759"
"01.01.2023 11:15 - 01.01.2023 11:30","1850","1771"
"01.01.2023 11:30 - 01.01.2023 11:45","1850","1779"
"01.01.2023 11:45 - 01.01.2023 12:00","1850","1780"
"01.01.2023 12:00 - 01.01.2023 12:15","1822","1779"
"01.01.2023 12:15 - 01.01.2023 12:30","1822","1771"
"01.01.2023 12:30 - 01.01.2023 12:45","1822","1745"
"01.01.2023 12:45 - 01.01.2023 13:00","1822","1723"
"01.01.2023 13:00 - 01.01.2023 13:15","1728","1698"
"01.01.2023 13:15 - 01.01.2023 13:30","1728","1673"
"01.01.2023 13:30 - 01.01.2023 13:45","1728","1645"
"01.01.2023 13:45 - 01.01.2023 14:00","1728","1623"
"01.01.2023 14:00 - 01.01.2023 14:15","1672","1602"
"01.01.2023 14:15 - 01.01.2023 14:30","1672","1591"
"01.01.2023 14:30 - 01.01.2023 14:45","1672","1584"
"01.01.2023 14:45 - 01.01.2023 15:00","1672","1579"
"01.01.2023 15:00 - 01.01.2023 15:15","1638","1574"
"01.01.2023 15:15 - 01.01.2023 15:30","1638","1573"
"01.01.2023 15:30 - 01.01.2023 15:45","1638","1583"
"01.01.2023 15:45 - 01.01.2023 16:00","1638","1596"
"01.01.2023 16:00 - 01.01.2023 16:15","1858","1616"
"01.01.2023 16:15 - 01.01.2023 16:30","1858","1650"
"01.01.2023 16:30 - 01.01.2023 16:45","1858","1719"
"01.01.2023 16:45 - 01.01.2023 17:00","1858","1808"
"01.01.2023 17:00 - 01.01.2023 17:15","1987","1838"
"01.01.2023 17:15 - 01.01.2023 17:30","1987","1861"
"01.01.2023 17:30 - 01.01.2023 17:45","1987","1867"
"01.01.2023 17:45 - 01.01.2023 18:00","1987","1870"
"01.01.2023 18:00 - 01.01.2023 18:15","2000","1878"
"01.01.2023 18:15 - 01.01.2023 18:30","2000","1883"
"01.01.2023 18:30 - 01.01.2023 18:45","2000","1888"
"01.01.2023 18:45 - 01.01.2023 19:00","2000","1889"
"01.01.2023 19:00 - 01.01.2023 19:15","2037","1896"
"01.01.2023 19:15 - 01.01.2023 19:30","2037","1905"
"01.01.2023 19:30 - 01.01.2023 19:45","2037","1912"
"01.01.2023 19:45 - 01.01.2023 20:00","2037","1919"
"01.01.2023 20:00 - 01.01.2023 20:15","2038","1921"
"01.01.2023 20:15 - 01.01.2023 20:30","2038","1918"
"01.01.2023 20:30 - 01.01.2023 20:45","2038","1915"
"01.01.2023 20:45 - 01.01.2023 21:00","2038","1902"
"01.01.2023 21:00 - 01.01.2023 21:15","1970","1921"
"01.01.2023 21:15 - 01.01.2023 21:30","1970","1945"
"01.01.2023 21:30 - 01.01.2023 21:45","1970","1935"
"01.01.2023 21:45 - 01.01.2023 22:00","1970","1913"
"01.01.2023 22:00 - 01.01.2023 22:15","1933","1871"
"01.01.2023 22:15 - 01.01.2023 22:30","1933","1851"
"01.01.2023 22:30 - 01.01.2023 22:45","1933","1819"
"01.01.2023 22:45 - 01.01.2023 23:00","1933","1770"
"01.01.2023 23:00 - 01.01.2023 23:15","1753","1721"
"01.01.2023 23:15 - 01.01.2023 23:30","1753","1668"
"01.01.2023 23:30 - 01.01.2023 23:45","1753","1626"
"01.01.2023 23:45 - 02.01.2023 00:00","1753","1580"
"02.01.2023 00:00 - 02.01.2023 00:15","1566","1548"
"02.01.2023 00:15 - 02.01.2023 00:30","1566","1505"
"02.01.2023 00:30 - 02.01.2023 00:45","1566","1473"
"02.01.2023 00:45 - 02.01.2023 01:00","1566","1432"
"02.01.2023 01:00 - 02.01.2023 01:15","1385","1402"
"02.01.2023 01:15 - 02.01.2023 01:30","1385","1377"
"02.01.2023 01:30 - 02.01.2023 01:45","1385","1353"
"02.01.2023 01:45 - 02.01.2023 02:00","1385","1330"
"02.01.2023 02:00 - 02.01.2023 02:15","1297","1318"
"02.01.2023 02:15 - 02.01.2023 02:30","1297","1297"
"02.01.2023 02:30 - 02.01.2023 02:45","1297","1290"
"02.01.2023 02:45 - 02.01.2023 03:00","1297","1281"
"02.01.2023 03:00 - 02.01.2023 03:15","1258","1274"
"02.01.2023 03:15 - 02.01.2023 03:30","1258","1270"
"02.01.2023 03:30 - 02.01.2023 03:45","1258","1271"
"02.01.2023 03:45 - 02.01.2023 04:00","1258","1271"
"02.01.2023 04:00 - 02.01.2023 04:15","1281","1282"
"02.01.2023 04:15 - 02.01.2023 04:30","1281","1290"
"02.01.2023 04:30 - 02.01.2023 04:45","1281","1303"
"02.01.2023 04:45 - 02.01.2023 05:00","1281","1319"
"02.01.2023 05:00 - 02.01.2023 05:15","1435","1363"
"02.01.2023 05:15 - 02.01.2023 05:30","1435","1393"
"02.01.2023 05:30 - 02.01.2023 05:45","1435","1432"
"02.01.2023 05:45 - 02.01.2023 06:00","1435","1494"
"02.01.2023 06:00 - 02.01.2023 06:15","1684","1592"
"02.01.2023 06:15 - 02.01.2023 06:30","1684","1653"
"02.01.2023 06:30 - 02.01.2023 06:45","1684","1703"
"02.01.2023 06:45 - 02.01.2023 07:00","1684","1748"
"02.01.2023 07:00 - 02.01.2023 07:15","1910","1804"
"02.01.2023 07:15 - 02.01.2023 07:30","1910","1808"
"02.01.2023 07:30 - 02.01.2023 07:45","1910","1835"
"02.01.2023 07:45 - 02.01.2023 08:00","1910","1883"
"02.01.2023 08:00 - 02.01.2023 08:15","2049","1924"
"02.01.2023 08:15 - 02.01.2023 08:30","2049","1965"
"02.01.2023 08:30 - 02.01.2023 08:45","2049","1989"
"02.01.2023 08:45 - 02.01.2023 09:00","2049","2019"
"02.01.2023 09:00 - 02.01.2023 09:15","2120","2039"
"02.01.2023 09:15 - 02.01.2023 09:30","2120","2050"
"02.01.2023 09:30 - 02.01.2023 09:45","2120","2066"
"02.01.2023 09:45 - 02.01.2023 10:00","2120","2059"
"02.01.2023 10:00 - 02.01.2023 10:15","2102","2057"
"02.01.2023 10:15 - 02.01.2023 10:30","2102","2049"
"02.01.2023 10:30 - 02.01.2023 10:45","2102","2054"
"02.01.2023 10:45 - 02.01.2023 11:00","2102","2051"
"02.01.2023 11:00 - 02.01.2023 11:15","2139","2059"
"02.01.2023 11:15 - 02.01.2023 11:30","2139","2054"
"02.01.2023 11:30 - 02.01.2023 11:45","2139","2059"
"02.01.2023 11:45 - 02.01.2023 12:00","2139","2047"
