"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Denmark (DK)","Actual Total Load [MW] - Denmark (DK)"
"01.01.2023 00:00 - 01.01.2023 01:00","3414","3440"
"01.01.2023 01:00 - 01.01.2023 02:00","3327","3389"
"01.01.2023 02:00 - 01.01.2023 03:00","3289","3342"
"01.01.2023 03:00 - 01.01.2023 04:00","3173","3192"
"01.01.2023 04:00 - 01.01.2023 05:00","3095","3107"
"01.01.2023 05:00 - 01.01.2023 06:00","3087","3073"
"01.01.2023 06:00 - 01.01.2023 07:00","3133","3088"
"01.01.2023 07:00 - 01.01.2023 08:00","3148","3118"
"01.01.2023 08:00 - 01.01.2023 09:00","3256","3295"
"01.01.2023 09:00 - 01.01.2023 10:00","3458","3498"
"01.01.2023 10:00 - 01.01.2023 11:00","3670","3684"
"01.01.2023 11:00 - 01.01.2023 12:00","3803","3756"
"01.01.2023 12:00 - 01.01.2023 13:00","3819","3816"
"01.01.2023 13:00 - 01.01.2023 14:00","3828","3866"
"01.01.2023 14:00 - 01.01.2023 15:00","3874","3866"
"01.01.2023 15:00 - 01.01.2023 16:00","3850","3781"
"01.01.2023 16:00 - 01.01.2023 17:00","4047","4003"
"01.01.2023 17:00 - 01.01.2023 18:00","4273","4263"
"01.01.2023 18:00 - 01.01.2023 19:00","4164","4112"
"01.01.2023 19:00 - 01.01.2023 20:00","3883","3840"
"01.01.2023 20:00 - 01.01.2023 21:00","3686","3687"
"01.01.2023 21:00 - 01.01.2023 22:00","3536","3507"
"01.01.2023 22:00 - 01.01.2023 23:00","3432","3354"
"01.01.2023 23:00 - 02.01.2023 00:00","3365","3229"
"02.01.2023 00:00 - 02.01.2023 01:00","3125","3055"
"02.01.2023 01:00 - 02.01.2023 02:00","3008","2992"
"02.01.2023 02:00 - 02.01.2023 03:00","3006","2984"
"02.01.2023 03:00 - 02.01.2023 04:00","3058","2983"
"02.01.2023 04:00 - 02.01.2023 05:00","3056","3011"
"02.01.2023 05:00 - 02.01.2023 06:00","3248","3234"
"02.01.2023 06:00 - 02.01.2023 07:00","3722","3684"
"02.01.2023 07:00 - 02.01.2023 08:00","4252","4192"
"02.01.2023 08:00 - 02.01.2023 09:00","4524","4454"
"02.01.2023 09:00 - 02.01.2023 10:00","4518","4562"
"02.01.2023 10:00 - 02.01.2023 11:00","4634","4673"
"02.01.2023 11:00 - 02.01.2023 12:00","4724","4717"
"02.01.2023 12:00 - 02.01.2023 13:00","4632","4651"
"02.01.2023 13:00 - 02.01.2023 14:00","4625","4654"
"02.01.2023 14:00 - 02.01.2023 15:00","4609","4594"
"02.01.2023 15:00 - 02.01.2023 16:00","4651","4541"
"02.01.2023 16:00 - 02.01.2023 17:00","4701","4694"
"02.01.2023 17:00 - 02.01.2023 18:00","5030","4952"
"02.01.2023 18:00 - 02.01.2023 19:00","4784","4680"
"02.01.2023 19:00 - 02.01.2023 20:00","4452","4410"
"02.01.2023 20:00 - 02.01.2023 21:00","4082","4118"
"02.01.2023 21:00 - 02.01.2023 22:00","3836","3896"
"02.01.2023 22:00 - 02.01.2023 23:00","3650","3706"
"02.01.2023 23:00 - 03.01.2023 00:00","3418","3521"
"03.01.2023 00:00 - 03.01.2023 01:00","3349","3461"
"03.01.2023 01:00 - 03.01.2023 02:00","3354","3478"
"03.01.2023 02:00 - 03.01.2023 03:00","3443","3446"
