"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Estonia (EE)","Actual Total Load [MW] - Estonia (EE)"
"01.01.2023 00:00 - 01.01.2023 01:00","799","793"
"01.01.2023 01:00 - 01.01.2023 02:00","788","777"
"01.01.2023 02:00 - 01.01.2023 03:00","794","757"
"01.01.2023 03:00 - 01.01.2023 04:00","809","744"
"01.01.2023 04:00 - 01.01.2023 05:00","820","738"
"01.01.2023 05:00 - 01.01.2023 06:00","855","749"
"01.01.2023 06:00 - 01.01.2023 07:00","889","764"
"01.01.2023 07:00 - 01.01.2023 08:00","929","783"
"01.01.2023 08:00 - 01.01.2023 09:00","974","797"
"01.01.2023 09:00 - 01.01.2023 10:00","1019","841"
"01.01.2023 10:00 - 01.01.2023 11:00","1017","885"
"01.01.2023 11:00 - 01.01.2023 12:00","1013","906"
"01.01.2023 12:00 - 01.01.2023 13:00","1014","915"
"01.01.2023 13:00 - 01.01.2023 14:00","1006","912"
"01.01.2023 14:00 - 01.01.2023 15:00","1020","928"
"01.01.2023 15:00 - 01.01.2023 16:00","1051","985"
"01.01.2023 16:00 - 01.01.2023 17:00","1051","989"
"01.01.2023 17:00 - 01.01.2023 18:00","1039","984"
"01.01.2023 18:00 - 01.01.2023 19:00","1007","959"
"01.01.2023 19:00 - 01.01.2023 20:00","987","933"
"01.01.2023 20:00 - 01.01.2023 21:00","963","906"
"01.01.2023 21:00 - 01.01.2023 22:00","913","860"
"01.01.2023 22:00 - 01.01.2023 23:00","855","822"
"01.01.2023 23:00 - 02.01.2023 00:00","895","791"
"02.01.2023 00:00 - 02.01.2023 01:00","845","771"
"02.01.2023 01:00 - 02.01.2023 02:00","827","762"
"02.01.2023 02:00 - 02.01.2023 03:00","822","760"
"02.01.2023 03:00 - 02.01.2023 04:00","820","766"
"02.01.2023 04:00 - 02.01.2023 05:00","840","791"
"02.01.2023 05:00 - 02.01.2023 06:00","900","875"
"02.01.2023 06:00 - 02.01.2023 07:00","985","972"
"02.01.2023 07:00 - 02.01.2023 08:00","1065","1067"
"02.01.2023 08:00 - 02.01.2023 09:00","1102","1129"
"02.01.2023 09:00 - 02.01.2023 10:00","1106","1146"
"02.01.2023 10:00 - 02.01.2023 11:00","1092","1154"
"02.01.2023 11:00 - 02.01.2023 12:00","1084","1156"
"02.01.2023 12:00 - 02.01.2023 13:00","1091","1161"
"02.01.2023 13:00 - 02.01.2023 14:00","1076","1158"
"02.01.2023 14:00 - 02.01.2023 15:00","1095","1175"
"02.01.2023 15:00 - 02.01.2023 16:00","1099","1199"
"02.01.2023 16:00 - 02.01.2023 17:00","1089","1179"
"02.01.2023 17:00 - 02.01.2023 18:00","1067","1123"
"02.01.2023 18:00 - 02.01.2023 19:00","1033","1085"
"02.01.2023 19:00 - 02.01.2023 20:00","996","1056"
"02.01.2023 20:00 - 02.01.2023 21:00","967","1012"
"02.01.2023 21:00 - 02.01.2023 22:00","928","945"
"02.01.2023 22:00 - 02.01.2023 23:00","873","888"
"02.01.2023 23:00 - 03.01.2023 00:00","830","876"
"03.01.2023 00:00 - 03.01.2023 01:00","856","854"
"03.01.2023 01:00 - 03.01.2023 02:00","844","831"
"03.01.2023 02:00 - 03.01.2023 03:00","830","826"
"03.01.2023 03:00 - 03.01.2023 04:00","838","827"
"03.01.2023 04:00 - 03.01.2023 05:00","862","845"
"03.01.2023 05:00 - 03.01.2023 06:00","921","931"
"03.01.2023 06:00 - 03.01.2023 07:00","1004","1026"
"03.01.2023 07:00 - 03.01.2023 08:00","1075","1112"
"03.01.2023 08:00 - 03.01.2023 09:00","1112","1138"
"03.01.2023 09:00 - 03.01.2023 10:00","1130","1144"
"03.01.2023 10:00 - 03.01.2023 11:00","1131","1165"
"03.01.2023 11:00 - 03.01.2023 12:00","1119","1164"
"03.01.2023 12:00 - 03.01.2023 13:00","1132","1170"
"03.01.2023 13:00 - 03.01.2023 14:00","1132","1159"
"03.01.2023 14:00 - 03.01.2023 15:00","1134","1163"
"03.01.2023 15:00 - 03.01.2023 16:00","1155","1187"
"03.01.2023 16:00 - 03.01.2023 17:00","1156","1177"
"03.01.2023 17:00 - 03.01.2023 18:00","1132","1161"
"03.01.2023 18:00 - 03.01.2023 19:00","1109","1120"
"03.01.2023 19:00 - 03.01.2023 20:00","1080","1088"
"03.01.2023 20:00 - 03.01.2023 21:00","1049","1047"
"03.01.2023 21:00 - 03.01.2023 22:00","993","1008"
"03.01.2023 22:00 - 03.01.2023 23:00","938","922"
"03.01.2023 23:00 - 04.01.2023 00:00","916","876"
"04.01.2023 00:00 - 04.01.2023 01:00","846","852"
"04.01.2023 01:00 - 04.01.2023 02:00","827","843"
"04.01.2023 02:00 - 04.01.2023 03:00","835","828"
"04.01.2023 03:00 - 04.01.2023 04:00","842","849"
"04.01.2023 04:00 - 04.01.2023 05:00","873","891"
"04.01.2023 05:00 - 04.01.2023 06:00","942","978"
"04.01.2023 06:00 - 04.01.2023 07:00","1039","1080"
"04.01.2023 07:00 - 04.01.2023 08:00","1130","1179"
"04.01.2023 08:00 - 04.01.2023 09:00","1172","1208"
"04.01.2023 09:00 - 04.01.2023 10:00","1205","1250"
"04.01.2023 10:00 - 04.01.2023 11:00","1196","1241"
"04.01.2023 11:00 - 04.01.2023 12:00","1169","1232"
"04.01.2023 12:00 - 04.01.2023 13:00","1182","1244"
"04.01.2023 13:00 - 04.01.2023 14:00","1172","1227"
"04.01.2023 14:00 - 04.01.2023 15:00","1170","1233"
"04.01.2023 15:00 - 04.01.2023 16:00","1171","1249"
"04.01.2023 16:00 - 04.01.2023 17:00","1163","1238"
"04.01.2023 17:00 - 04.01.2023 18:00","1144","1219"
"04.01.2023 18:00 - 04.01.2023 19:00","1108","1192"
"04.01.2023 19:00 - 04.01.2023 20:00","1079","1153"
"04.01.2023 20:00 - 04.01.2023 21:00","1033","1114"
"04.01.2023 21:00 - 04.01.2023 22:00","970","1051"
"04.01.2023 22:00 - 04.01.2023 23:00","908","982"
"04.01.2023 23:00 - 05.01.2023 00:00","1079","939"
"05.01.2023 00:00 - 05.01.2023 01:00","851","914"
"05.01.2023 01:00 - 05.01.2023 02:00","839","904"
"05.01.2023 02:00 - 05.01.2023 03:00","837","905"
"05.01.2023 03:00 - 05.01.2023 04:00","853","910"
"05.01.2023 04:00 - 05.01.2023 05:00","889","941"
"05.01.2023 05:00 - 05.01.2023 06:00","957","1042"
"05.01.2023 06:00 - 05.01.2023 07:00","1038","1147"
"05.01.2023 07:00 - 05.01.2023 08:00","1119","1258"
"05.01.2023 08:00 - 05.01.2023 09:00","1149","1291"
"05.01.2023 09:00 - 05.01.2023 10:00","1164","1295"
"05.01.2023 10:00 - 05.01.2023 11:00","1167","1289"
"05.01.2023 11:00 - 05.01.2023 12:00","1159","1282"
"05.01.2023 12:00 - 05.01.2023 13:00","1172","1292"
"05.01.2023 13:00 - 05.01.2023 14:00","1171","1300"
"05.01.2023 14:00 - 05.01.2023 15:00","1180","1313"
"05.01.2023 15:00 - 05.01.2023 16:00","1202","1334"
"05.01.2023 16:00 - 05.01.2023 17:00","1195","1334"
"05.01.2023 17:00 - 05.01.2023 18:00","1181","1310"
"05.01.2023 18:00 - 05.01.2023 19:00","1160","1291"
"05.01.2023 19:00 - 05.01.2023 20:00","1145","1249"
"05.01.2023 20:00 - 05.01.2023 21:00","1099","1217"
"05.01.2023 21:00 - 05.01.2023 22:00","1050","1144"
