"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"01.01.2023 00:00 - 01.01.2023 01:00","8921","9002"
"01.01.2023 01:00 - 01.01.2023 02:00","8790","8809"
"01.01.2023 02:00 - 01.01.2023 03:00","8721","8632"
"01.01.2023 03:00 - 01.01.2023 04:00","8715","8587"
"01.01.2023 04:00 - 01.01.2023 05:00","8784","8628"
"01.01.2023 05:00 - 01.01.2023 06:00","8953","8825"
"01.01.2023 06:00 - 01.01.2023 07:00","8982","8868"
"01.01.2023 07:00 - 01.01.2023 08:00","9188","9056"
"01.01.2023 08:00 - 01.01.2023 09:00","9297","9157"
"01.01.2023 09:00 - 01.01.2023 10:00","9336","9296"
"01.01.2023 10:00 - 01.01.2023 11:00","9440","9450"
"01.01.2023 11:00 - 01.01.2023 12:00","9510","9499"
"01.01.2023 12:00 - 01.01.2023 13:00","9545","9528"
"01.01.2023 13:00 - 01.01.2023 14:00","9638","9551"
"01.01.2023 14:00 - 01.01.2023 15:00","9896","9746"
"01.01.2023 15:00 - 01.01.2023 16:00","10150","10126"
"01.01.2023 16:00 - 01.01.2023 17:00","10243","10055"
"01.01.2023 17:00 - 01.01.2023 18:00","10287","10118"
"01.01.2023 18:00 - 01.01.2023 19:00","10307","10122"
"01.01.2023 19:00 - 01.01.2023 20:00","10164","9984"
"01.01.2023 20:00 - 01.01.2023 21:00","9896","9724"
"01.01.2023 21:00 - 01.01.2023 22:00","10032","10051"
"01.01.2023 22:00 - 01.01.2023 23:00","9937","9990"
"01.01.2023 23:00 - 02.01.2023 00:00","9576","9696"
"02.01.2023 00:00 - 02.01.2023 01:00","9022","9394"
"02.01.2023 01:00 - 02.01.2023 02:00","8946","9195"
"02.01.2023 02:00 - 02.01.2023 03:00","8890","9234"
"02.01.2023 03:00 - 02.01.2023 04:00","8912","9306"
"02.01.2023 04:00 - 02.01.2023 05:00","9234","9568"
"02.01.2023 05:00 - 02.01.2023 06:00","9857","10235"
"02.01.2023 06:00 - 02.01.2023 07:00","10158","10710"
"02.01.2023 07:00 - 02.01.2023 08:00","10492","11039"
"02.01.2023 08:00 - 02.01.2023 09:00","10532","11101"
"02.01.2023 09:00 - 02.01.2023 10:00","10556","10923"
"02.01.2023 10:00 - 02.01.2023 11:00","10609","10617"
"02.01.2023 11:00 - 02.01.2023 12:00","10654","10837"
"02.01.2023 12:00 - 02.01.2023 13:00","10645","10847"
"02.01.2023 13:00 - 02.01.2023 14:00","10668","10872"
"02.01.2023 14:00 - 02.01.2023 15:00","10825","11022"
"02.01.2023 15:00 - 02.01.2023 16:00","10972","11115"
"02.01.2023 16:00 - 02.01.2023 17:00","10969","11194"
"02.01.2023 17:00 - 02.01.2023 18:00","10918","11115"
"02.01.2023 18:00 - 02.01.2023 19:00","10904","11085"
"02.01.2023 19:00 - 02.01.2023 20:00","10745","10896"
"02.01.2023 20:00 - 02.01.2023 21:00","10361","10654"
"02.01.2023 21:00 - 02.01.2023 22:00","10443","10742"
"02.01.2023 22:00 - 02.01.2023 23:00","10279","10594"
"02.01.2023 23:00 - 03.01.2023 00:00","9738","10209"
"03.01.2023 00:00 - 03.01.2023 01:00","9571","9889"
"03.01.2023 01:00 - 03.01.2023 02:00","9456","9712"
"03.01.2023 02:00 - 03.01.2023 03:00","9387","9637"
"03.01.2023 03:00 - 03.01.2023 04:00","9453","9718"
