"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Greece (GR)","Actual Total Load [MW] - Greece (GR)"
"01.01.2023 00:00 - 01.01.2023 01:00","4008","4156"
"01.01.2023 01:00 - 01.01.2023 02:00","3888","3987"
"01.01.2023 02:00 - 01.01.2023 03:00","3760","3776"
"01.01.2023 03:00 - 01.01.2023 04:00","3703","3632"
"01.01.2023 04:00 - 01.01.2023 05:00","3743","3621"
"01.01.2023 05:00 - 01.01.2023 06:00","3852","3684"
"01.01.2023 06:00 - 01.01.2023 07:00","3995","3796"
"01.01.2023 07:00 - 01.01.2023 08:00","4259","3916"
"01.01.2023 08:00 - 01.01.2023 09:00","4538","4319"
"01.01.2023 09:00 - 01.01.2023 10:00","4871","4669"
"01.01.2023 10:00 - 01.01.2023 11:00","5058","4946"
"01.01.2023 11:00 - 01.01.2023 12:00","5143","4986"
"01.01.2023 12:00 - 01.01.2023 13:00","4875","4704"
"01.01.2023 13:00 - 01.01.2023 14:00","4579","4216"
"01.01.2023 14:00 - 01.01.2023 15:00","4632","4167"
"01.01.2023 15:00 - 01.01.2023 16:00","4809","4219"
"01.01.2023 16:00 - 01.01.2023 17:00","5240","4512"
"01.01.2023 17:00 - 01.01.2023 18:00","5838","4969"
"01.01.2023 18:00 - 01.01.2023 19:00","5935","5079"
"01.01.2023 19:00 - 01.01.2023 20:00","5734","5064"
"01.01.2023 20:00 - 01.01.2023 21:00","5503","4992"
"01.01.2023 21:00 - 01.01.2023 22:00","5080","4719"
"01.01.2023 22:00 - 01.01.2023 23:00","4677","4468"
"01.01.2023 23:00 - 02.01.2023 00:00","3990","4121"
"02.01.2023 00:00 - 02.01.2023 01:00","3665","3808"
"02.01.2023 01:00 - 02.01.2023 02:00","3562","3733"
"02.01.2023 02:00 - 02.01.2023 03:00","3442","3635"
"02.01.2023 03:00 - 02.01.2023 04:00","3412","3589"
"02.01.2023 04:00 - 02.01.2023 05:00","3539","3659"
"02.01.2023 05:00 - 02.01.2023 06:00","3857","3947"
"02.01.2023 06:00 - 02.01.2023 07:00","4278","4376"
"02.01.2023 07:00 - 02.01.2023 08:00","4589","4861"
"02.01.2023 08:00 - 02.01.2023 09:00","4792","5265"
"02.01.2023 09:00 - 02.01.2023 10:00","4820","5457"
"02.01.2023 10:00 - 02.01.2023 11:00","4828","5503"
"02.01.2023 11:00 - 02.01.2023 12:00","5177","5504"
"02.01.2023 12:00 - 02.01.2023 13:00","5180","5488"
"02.01.2023 13:00 - 02.01.2023 14:00","5111","5325"
"02.01.2023 14:00 - 02.01.2023 15:00","5307","5240"
"02.01.2023 15:00 - 02.01.2023 16:00","5471","5253"
"02.01.2023 16:00 - 02.01.2023 17:00","5900","5614"
"02.01.2023 17:00 - 02.01.2023 18:00","6388","6131"
"02.01.2023 18:00 - 02.01.2023 19:00","6376","6181"
"02.01.2023 19:00 - 02.01.2023 20:00","6277","6130"
"02.01.2023 20:00 - 02.01.2023 21:00","5987","5879"
"02.01.2023 21:00 - 02.01.2023 22:00","5486","5492"
"02.01.2023 22:00 - 02.01.2023 23:00","5166","5093"
"02.01.2023 23:00 - 03.01.2023 00:00","4551","4640"
"03.01.2023 00:00 - 03.01.2023 01:00","4207","4291"
"03.01.2023 01:00 - 03.01.2023 02:00","4107","4171"
"03.01.2023 02:00 - 03.01.2023 03:00","4018","4054"
