"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Hungary (HU)","Actual Total Load [MW] - Hungary (HU)"
"01.01.2023 00:00 - 01.01.2023 00:15","4036","3961"
"01.01.2023 00:15 - 01.01.2023 00:30","3996","3938"
"01.01.2023 00:30 - 01.01.2023 00:45","3937","3929"
"01.01.2023 00:45 - 01.01.2023 01:00","3836","3887"
"01.01.2023 01:00 - 01.01.2023 01:15","3786","3874"
"01.01.2023 01:15 - 01.01.2023 01:30","3739","3838"
"01.01.2023 01:30 - 01.01.2023 01:45","3684","3794"
"01.01.2023 01:45 - 01.01.2023 02:00","3688","3724"
"01.01.2023 02:00 - 01.01.2023 02:15","3628","3657"
"01.01.2023 02:15 - 01.01.2023 02:30","3560","3616"
"01.01.2023 02:30 - 01.01.2023 02:45","3485","3554"
"01.01.2023 02:45 - 01.01.2023 03:00","3439","3515"
"01.01.2023 03:00 - 01.01.2023 03:15","3384","3496"
"01.01.2023 03:15 - 01.01.2023 03:30","3321","3442"
"01.01.2023 03:30 - 01.01.2023 03:45","3291","3427"
"01.01.2023 03:45 - 01.01.2023 04:00","3276","3402"
"01.01.2023 04:00 - 01.01.2023 04:15","3264","3388"
"01.01.2023 04:15 - 01.01.2023 04:30","3266","3369"
"01.01.2023 04:30 - 01.01.2023 04:45","3257","3380"
"01.01.2023 04:45 - 01.01.2023 05:00","3230","3403"
"01.01.2023 05:00 - 01.01.2023 05:15","3221","3409"
"01.01.2023 05:15 - 01.01.2023 05:30","3232","3408"
"01.01.2023 05:30 - 01.01.2023 05:45","3259","3420"
"01.01.2023 05:45 - 01.01.2023 06:00","3268","3431"
"01.01.2023 06:00 - 01.01.2023 06:15","3309","3496"
"01.01.2023 06:15 - 01.01.2023 06:30","3324","3510"
"01.01.2023 06:30 - 01.01.2023 06:45","3350","3527"
"01.01.2023 06:45 - 01.01.2023 07:00","3372","3534"
"01.01.2023 07:00 - 01.01.2023 07:15","3399","3559"
"01.01.2023 07:15 - 01.01.2023 07:30","3471","3522"
"01.01.2023 07:30 - 01.01.2023 07:45","3508","3524"
"01.01.2023 07:45 - 01.01.2023 08:00","3535","3524"
"01.01.2023 08:00 - 01.01.2023 08:15","3587","3530"
"01.01.2023 08:15 - 01.01.2023 08:30","3604","3521"
"01.01.2023 08:30 - 01.01.2023 08:45","3601","3533"
"01.01.2023 08:45 - 01.01.2023 09:00","3636","3554"
"01.01.2023 09:00 - 01.01.2023 09:15","3639","3574"
"01.01.2023 09:15 - 01.01.2023 09:30","3645","3555"
"01.01.2023 09:30 - 01.01.2023 09:45","3685","3561"
"01.01.2023 09:45 - 01.01.2023 10:00","3694","3604"
"01.01.2023 10:00 - 01.01.2023 10:15","3710","3607"
"01.01.2023 10:15 - 01.01.2023 10:30","3766","3576"
"01.01.2023 10:30 - 01.01.2023 10:45","3783","3597"
"01.01.2023 10:45 - 01.01.2023 11:00","3803","3591"
"01.01.2023 11:00 - 01.01.2023 11:15","3827","3595"
"01.01.2023 11:15 - 01.01.2023 11:30","3837","3614"
"01.01.2023 11:30 - 01.01.2023 11:45","3858","3634"
"01.01.2023 11:45 - 01.01.2023 12:00","3895","3667"
"01.01.2023 12:00 - 01.01.2023 12:15","3972","3695"
"01.01.2023 12:15 - 01.01.2023 12:30","3988","3679"
"01.01.2023 12:30 - 01.01.2023 12:45","3991","3691"
"01.01.2023 12:45 - 01.01.2023 13:00","3973","3699"
"01.01.2023 13:00 - 01.01.2023 13:15","3985","3711"
"01.01.2023 13:15 - 01.01.2023 13:30","4010","3703"
"01.01.2023 13:30 - 01.01.2023 13:45","3993","3700"
"01.01.2023 13:45 - 01.01.2023 14:00","3986","3724"
"01.01.2023 14:00 - 01.01.2023 14:15","4030","3823"
"01.01.2023 14:15 - 01.01.2023 14:30","4023","3848"
"01.01.2023 14:30 - 01.01.2023 14:45","4042","3917"
"01.01.2023 14:45 - 01.01.2023 15:00","4019","3983"
"01.01.2023 15:00 - 01.01.2023 15:15","4035","4056"
"01.01.2023 15:15 - 01.01.2023 15:30","4077","4100"
"01.01.2023 15:30 - 01.01.2023 15:45","4105","4165"
"01.01.2023 15:45 - 01.01.2023 16:00","4161","4222"
"01.01.2023 16:00 - 01.01.2023 16:15","4257","4344"
"01.01.2023 16:15 - 01.01.2023 16:30","4365","4462"
"01.01.2023 16:30 - 01.01.2023 16:45","4395","4546"
"01.01.2023 16:45 - 01.01.2023 17:00","4390","4561"
"01.01.2023 17:00 - 01.01.2023 17:15","4387","4585"
"01.01.2023 17:15 - 01.01.2023 17:30","4379","4575"
"01.01.2023 17:30 - 01.01.2023 17:45","4366","4570"
"01.01.2023 17:45 - 01.01.2023 18:00","4350","4560"
"01.01.2023 18:00 - 01.01.2023 18:15","4350","4568"
"01.01.2023 18:15 - 01.01.2023 18:30","4338","4562"
"01.01.2023 18:30 - 01.01.2023 18:45","4348","4556"
