"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - North Macedonia (MK)","Actual Total Load [MW] - North Macedonia (MK)"
"01.01.2023 00:00 - 01.01.2023 01:00","920","883"
"01.01.2023 01:00 - 01.01.2023 02:00","865","838"
"01.01.2023 02:00 - 01.01.2023 03:00","793","765"
"01.01.2023 03:00 - 01.01.2023 04:00","733","702"
"01.01.2023 04:00 - 01.01.2023 05:00","697","664"
"01.01.2023 05:00 - 01.01.2023 06:00","683","655"
"01.01.2023 06:00 - 01.01.2023 07:00","684","660"
"01.01.2023 07:00 - 01.01.2023 08:00","667","659"
"01.01.2023 08:00 - 01.01.2023 09:00","702","710"
"01.01.2023 09:00 - 01.01.2023 10:00","746","784"
"01.01.2023 10:00 - 01.01.2023 11:00","792","859"
"01.01.2023 11:00 - 01.01.2023 12:00","820","903"
"01.01.2023 12:00 - 01.01.2023 13:00","826","929"
"01.01.2023 13:00 - 01.01.2023 14:00","836","930"
"01.01.2023 14:00 - 01.01.2023 15:00","850","925"
"01.01.2023 15:00 - 01.01.2023 16:00","882","938"
"01.01.2023 16:00 - 01.01.2023 17:00","947","980"
"01.01.2023 17:00 - 01.01.2023 18:00","972","996"
"01.01.2023 18:00 - 01.01.2023 19:00","966","977"
"01.01.2023 19:00 - 01.01.2023 20:00","953","955"
"01.01.2023 20:00 - 01.01.2023 21:00","937","934"
"01.01.2023 21:00 - 01.01.2023 22:00","927","922"
"01.01.2023 22:00 - 01.01.2023 23:00","924","927"
"01.01.2023 23:00 - 02.01.2023 00:00","889","905"
"02.01.2023 00:00 - 02.01.2023 01:00","827","845"
"02.01.2023 01:00 - 02.01.2023 02:00","748","756"
"02.01.2023 02:00 - 02.01.2023 03:00","688","686"
"02.01.2023 03:00 - 02.01.2023 04:00","650","640"
"02.01.2023 04:00 - 02.01.2023 05:00","638","629"
"02.01.2023 05:00 - 02.01.2023 06:00","645","642"
"02.01.2023 06:00 - 02.01.2023 07:00","664","659"
"02.01.2023 07:00 - 02.01.2023 08:00","670","650"
"02.01.2023 08:00 - 02.01.2023 09:00","706","703"
"02.01.2023 09:00 - 02.01.2023 10:00","753","776"
"02.01.2023 10:00 - 02.01.2023 11:00","788","838"
"02.01.2023 11:00 - 02.01.2023 12:00","796","859"
"02.01.2023 12:00 - 02.01.2023 13:00","793","865"
"02.01.2023 13:00 - 02.01.2023 14:00","790","867"
"02.01.2023 14:00 - 02.01.2023 15:00","809","874"
"02.01.2023 15:00 - 02.01.2023 16:00","838","902"
"02.01.2023 16:00 - 02.01.2023 17:00","905","951"
"02.01.2023 17:00 - 02.01.2023 18:00","940","968"
"02.01.2023 18:00 - 02.01.2023 19:00","936","950"
"02.01.2023 19:00 - 02.01.2023 20:00","925","927"
"02.01.2023 20:00 - 02.01.2023 21:00","897","906"
"02.01.2023 21:00 - 02.01.2023 22:00","884","901"
