"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Sweden (SE)","Actual Total Load [MW] - Sweden (SE)"
"01.01.2023 00:00 - 01.01.2023 01:00","14336","13772"
"01.01.2023 01:00 - 01.01.2023 02:00","14178","13595"
"01.01.2023 02:00 - 01.01.2023 03:00","14073","13802"
"01.01.2023 03:00 - 01.01.2023 04:00","13969","13819"
"01.01.2023 04:00 - 01.01.2023 05:00","13997","13890"
"01.01.2023 05:00 - 01.01.2023 06:00","14199","13441"
"01.01.2023 06:00 - 01.01.2023 07:00","14535","13488"
"01.01.2023 07:00 - 01.01.2023 08:00","14896","13904"
"01.01.2023 08:00 - 01.01.2023 09:00","15193","14255"
"01.01.2023 09:00 - 01.01.2023 10:00","15453","14338"
"01.01.2023 10:00 - 01.01.2023 11:00","15827","14623"
"01.01.2023 11:00 - 01.01.2023 12:00","16135","14895"
"01.01.2023 12:00 - 01.01.2023 13:00","16331","15275"
"01.01.2023 13:00 - 01.01.2023 14:00","16478","15431"
"01.01.2023 14:00 - 01.01.2023 15:00","16722","15729"
"01.01.2023 15:00 - 01.01.2023 16:00","17153","16421"
"01.01.2023 16:00 - 01.01.2023 17:00","17471","17173"
"01.01.2023 17:00 - 01.01.2023 18:00","17562","17502"
"01.01.2023 18:00 - 01.01.2023 19:00","17417","17565"
"01.01.2023 19:00 - 01.01.2023 20:00","17125","17047"
"01.01.2023 20:00 - 01.01.2023 21:00","16699","16587"
"01.01.2023 21:00 - 01.01.2023 22:00","16245","16145"
"01.01.2023 22:00 - 01.01.2023 23:00","15774","15869"
"01.01.2023 23:00 - 02.01.2023 00:00","15321","15143"
"02.01.2023 00:00 - 02.01.2023 01:00","15085","14697"
"02.01.2023 01:00 - 02.01.2023 02:00","14786","14783"
"02.01.2023 02:00 - 02.01.2023 03:00","14654","14677"
"02.01.2023 03:00 - 02.01.2023 04:00","14583","14495"
"02.01.2023 04:00 - 02.01.2023 05:00","14725","14784"
"02.01.2023 05:00 - 02.01.2023 06:00","15210","15267"
"02.01.2023 06:00 - 02.01.2023 07:00","16360","16163"
"02.01.2023 07:00 - 02.01.2023 08:00","17500","17608"
"02.01.2023 08:00 - 02.01.2023 09:00","18108","18126"
"02.01.2023 09:00 - 02.01.2023 10:00","18250","18348"
"02.01.2023 10:00 - 02.01.2023 11:00","18484","18434"
"02.01.2023 11:00 - 02.01.2023 12:00","18591","18415"
"02.01.2023 12:00 - 02.01.2023 13:00","18658","18854"
"02.01.2023 13:00 - 02.01.2023 14:00","18671","18827"
"02.01.2023 14:00 - 02.01.2023 15:00","18735","18905"
"02.01.2023 15:00 - 02.01.2023 16:00","19052","19178"
"02.01.2023 16:00 - 02.01.2023 17:00","19270","19256"
"02.01.2023 17:00 - 02.01.2023 18:00","19294","19194"
"02.01.2023 18:00 - 02.01.2023 19:00","18966","18906"
"02.01.2023 19:00 - 02.01.2023 20:00","18548","18100"
"02.01.2023 20:00 - 02.01.2023 21:00","18058","17590"
"02.01.2023 21:00 - 02.01.2023 22:00","17478","16984"
"02.01.2023 22:00 - 02.01.2023 23:00","16858","16325"
"02.01.2023 23:00 - 03.01.2023 00:00","16235","16252"
"03.01.2023 00:00 - 03.01.2023 01:00","15398","15914"
"03.01.2023 01:00 - 03.01.2023 02:00","15197","15388"
"03.01.2023 02:00 - 03.01.2023 03:00","15179","15230"
"03.01.2023 03:00 - 03.01.2023 04:00","15209","15189"
"03.01.2023 04:00 - 03.01.2023 05:00","15451","15487"
"03.01.2023 05:00 - 03.01.2023 06:00","16031","16115"
"03.01.2023 06:00 - 03.01.2023 07:00","17266","17264"
"03.01.2023 07:00 - 03.01.2023 08:00","18491","18274"
"03.01.2023 08:00 - 03.01.2023 09:00","19197","18802"
"03.01.2023 09:00 - 03.01.2023 10:00","19413","19102"
"03.01.2023 10:00 - 03.01.2023 11:00","19654","19455"
"03.01.2023 11:00 - 03.01.2023 12:00","19725","19517"
"03.01.2023 12:00 - 03.01.2023 13:00","19765","19432"
