"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Switzerland (CH)","Actual Total Load [MW] - Switzerland (CH)"
"01.01.2023 00:00 - 01.01.2023 01:00","7657","7667"
"01.01.2023 01:00 - 01.01.2023 02:00","7466","7373"
"01.01.2023 02:00 - 01.01.2023 03:00","7462","7464"
"01.01.2023 03:00 - 01.01.2023 04:00","6879","6897"
"01.01.2023 04:00 - 01.01.2023 05:00","7132","7146"
"01.01.2023 05:00 - 01.01.2023 06:00","7134","7148"
"01.01.2023 06:00 - 01.01.2023 07:00","7149","7149"
"01.01.2023 07:00 - 01.01.2023 08:00","7165","7166"
"01.01.2023 08:00 - 01.01.2023 09:00","7158","7155"
"01.01.2023 09:00 - 01.01.2023 10:00","7129","6961"
"01.01.2023 10:00 - 01.01.2023 11:00","6963","6956"
"01.01.2023 11:00 - 01.01.2023 12:00","6956","6953"
"01.01.2023 12:00 - 01.01.2023 13:00","6942","6942"
"01.01.2023 13:00 - 01.01.2023 14:00","6949","6949"
"01.01.2023 14:00 - 01.01.2023 15:00","6952","6952"
"01.01.2023 15:00 - 01.01.2023 16:00","6950","6949"
"01.01.2023 16:00 - 01.01.2023 17:00","6790","6966"
"01.01.2023 17:00 - 01.01.2023 18:00","7413","6696"
"01.01.2023 18:00 - 01.01.2023 19:00","7414","7675"
"01.01.2023 19:00 - 01.01.2023 20:00","7335","7460"
"01.01.2023 20:00 - 01.01.2023 21:00","6325","7151"
"01.01.2023 21:00 - 01.01.2023 22:00","7506","7408"
"01.01.2023 22:00 - 01.01.2023 23:00","7439","7497"
"01.01.2023 23:00 - 02.01.2023 00:00","6877","6775"
"02.01.2023 00:00 - 02.01.2023 01:00","6895","6905"
"02.01.2023 01:00 - 02.01.2023 02:00","7265","7265"
"02.01.2023 02:00 - 02.01.2023 03:00","7266","7266"
"02.01.2023 03:00 - 02.01.2023 04:00","7266","7266"
"02.01.2023 04:00 - 02.01.2023 05:00","7266","7266"
"02.01.2023 05:00 - 02.01.2023 06:00","7264","7264"
"02.01.2023 06:00 - 02.01.2023 07:00","7263","7263"
