"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Moldova (MD)","Actual Total Load [MW] - Moldova (MD)"
"01.01.2023 00:00 - 01.01.2023 01:00","n/e","481"
"01.01.2023 01:00 - 01.01.2023 02:00","n/e","449"
"01.01.2023 02:00 - 01.01.2023 03:00","n/e","425"
"01.01.2023 03:00 - 01.01.2023 04:00","n/e","411"
"01.01.2023 04:00 - 01.01.2023 05:00","n/e","405"
"01.01.2023 05:00 - 01.01.2023 06:00","n/e","412"
"01.01.2023 06:00 - 01.01.2023 07:00","n/e","410"
"01.01.2023 07:00 - 01.01.2023 08:00","n/e","431"
"01.01.2023 08:00 - 01.01.2023 09:00","n/e","460"
"01.01.2023 09:00 - 01.01.2023 10:00","n/e","476"
"01.01.2023 10:00 - 01.01.2023 11:00","n/e","491"
"01.01.2023 11:00 - 01.01.2023 12:00","n/e","496"
"01.01.2023 12:00 - 01.01.2023 13:00","n/e","489"
"01.01.2023 13:00 - 01.01.2023 14:00","n/e","486"
"01.01.2023 14:00 - 01.01.2023 15:00","n/e","492"
"01.01.2023 15:00 - 01.01.2023 16:00","n/e","526"
"01.01.2023 16:00 - 01.01.2023 17:00","n/e","592"
"01.01.2023 17:00 - 01.01.2023 18:00","n/e","598"
"01.01.2023 18:00 - 01.01.2023 19:00","n/e","588"
"01.01.2023 19:00 - 01.01.2023 20:00","n/e","574"
"01.01.2023 20:00 - 01.01.2023 21:00","n/e","551"
"01.01.2023 21:00 - 01.01.2023 22:00","n/e","514"
"01.01.2023 22:00 - 01.01.2023 23:00","n/e","472"
"01.01.2023 23:00 - 02.01.2023 00:00","n/e","433"
"02.01.2023 00:00 - 02.01.2023 01:00","n/e","407"
"02.01.2023 01:00 - 02.01.2023 02:00","n/e","395"
"02.01.2023 02:00 - 02.01.2023 03:00","n/e","390"
"02.01.2023 03:00 - 02.01.2023 04:00","n/e","390"
"02.01.2023 04:00 - 02.01.2023 05:00","n/e","405"
"02.01.2023 05:00 - 02.01.2023 06:00","n/e","435"
"02.01.2023 06:00 - 02.01.2023 07:00","n/e","482"
"02.01.2023 07:00 - 02.01.2023 08:00","n/e","570"
"02.01.2023 08:00 - 02.01.2023 09:00","n/e","632"
"02.01.2023 09:00 - 02.01.2023 10:00","n/e","658"
"02.01.2023 10:00 - 02.01.2023 11:00","n/e","662"
"02.01.2023 11:00 - 02.01.2023 12:00","n/e","652"
"02.01.2023 12:00 - 02.01.2023 13:00","n/e","635"
"02.01.2023 13:00 - 02.01.2023 14:00","n/e","625"
"02.01.2023 14:00 - 02.01.2023 15:00","n/e","627"
"02.01.2023 15:00 - 02.01.2023 16:00","n/e","647"
"02.01.2023 16:00 - 02.01.2023 17:00","n/e","702"
"02.01.2023 17:00 - 02.01.2023 18:00","n/e","698"
"02.01.2023 18:00 - 02.01.2023 19:00","n/e","673"
"02.01.2023 19:00 - 02.01.2023 20:00","n/e","648"
"02.01.2023 20:00 - 02.01.2023 21:00","n/e","616"
"02.01.2023 21:00 - 02.01.2023 22:00","n/e","564"
"02.01.2023 22:00 - 02.01.2023 23:00","n/e","505"
"02.01.2023 23:00 - 03.01.2023 00:00","n/e","456"
"03.01.2023 00:00 - 03.01.2023 01:00","n/e","427"
"03.01.2023 01:00 - 03.01.2023 02:00","n/e","407"
"03.01.2023 02:00 - 03.01.2023 03:00","n/e","400"
"03.01.2023 03:00 - 03.01.2023 04:00","n/e","404"
"03.01.2023 04:00 - 03.01.2023 05:00","n/e","425"
"03.01.2023 05:00 - 03.01.2023 06:00","n/e","482"
"03.01.2023 06:00 - 03.01.2023 07:00","n/e","551"
"03.01.2023 07:00 - 03.01.2023 08:00","n/e","650"
"03.01.2023 08:00 - 03.01.2023 09:00","n/e","702"
"03.01.2023 09:00 - 03.01.2023 10:00","n/e","710"
"03.01.2023 10:00 - 03.01.2023 11:00","n/e","700"
"03.01.2023 11:00 - 03.01.2023 12:00","n/e","681"
"03.01.2023 12:00 - 03.01.2023 13:00","n/e","672"
"03.01.2023 13:00 - 03.01.2023 14:00","n/e","663"
"03.01.2023 14:00 - 03.01.2023 15:00","n/e","668"
"03.01.2023 15:00 - 03.01.2023 16:00","n/e","689"
"03.01.2023 16:00 - 03.01.2023 17:00","n/e","730"
"03.01.2023 17:00 - 03.01.2023 18:00","n/e","717"
"03.01.2023 18:00 - 03.01.2023 19:00","n/e","694"
"03.01.2023 19:00 - 03.01.2023 20:00","n/e","665"
"03.01.2023 20:00 - 03.01.2023 21:00","n/e","626"
"03.01.2023 21:00 - 03.01.2023 22:00","n/e","566"
"03.01.2023 22:00 - 03.01.2023 23:00","n/e","503"
"03.01.2023 23:00 - 04.01.2023 00:00","n/e","450"
"04.01.2023 00:00 - 04.01.2023 01:00","n/e","415"
"04.01.2023 01:00 - 04.01.2023 02:00","n/e","403"
"04.01.2023 02:00 - 04.01.2023 03:00","n/e","395"
"04.01.2023 03:00 - 04.01.2023 04:00","n/e","396"
"04.01.2023 04:00 - 04.01.2023 05:00","n/e","417"
"04.01.2023 05:00 - 04.01.2023 06:00","n/e","474"
"04.01.2023 06:00 - 04.01.2023 07:00","n/e","543"
"04.01.2023 07:00 - 04.01.2023 08:00","n/e","643"
"04.01.2023 08:00 - 04.01.2023 09:00","n/e","703"
"04.01.2023 09:00 - 04.01.2023 10:00","n/e","719"
"04.01.2023 10:00 - 04.01.2023 11:00","n/e","706"
"04.01.2023 11:00 - 04.01.2023 12:00","n/e","697"
"04.01.2023 12:00 - 04.01.2023 13:00","n/e","696"
"04.01.2023 13:00 - 04.01.2023 14:00","n/e","698"
"04.01.2023 14:00 - 04.01.2023 15:00","n/e","706"
"04.01.2023 15:00 - 04.01.2023 16:00","n/e","735"
"04.01.2023 16:00 - 04.01.2023 17:00","n/e","785"
"04.01.2023 17:00 - 04.01.2023 18:00","n/e","775"
"04.01.2023 18:00 - 04.01.2023 19:00","n/e","744"
"04.01.2023 19:00 - 04.01.2023 20:00","n/e","703"
"04.01.2023 20:00 - 04.01.2023 21:00","n/e","651"
"04.01.2023 21:00 - 04.01.2023 22:00","n/e","578"
"04.01.2023 22:00 - 04.01.2023 23:00","n/e","504"
"04.01.2023 23:00 - 05.01.2023 00:00","n/e","451"
"05.01.2023 00:00 - 05.01.2023 01:00","n/e","420"
"05.01.2023 01:00 - 05.01.2023 02:00","n/e","404"
"05.01.2023 02:00 - 05.01.2023 03:00","n/e","398"
"05.01.2023 03:00 - 05.01.2023 04:00","n/e","396"
"05.01.2023 04:00 - 05.01.2023 05:00","n/e","414"
"05.01.2023 05:00 - 05.01.2023 06:00","n/e","471"
"05.01.2023 06:00 - 05.01.2023 07:00","n/e","541"
"05.01.2023 07:00 - 05.01.2023 08:00","n/e","655"
"05.01.2023 08:00 - 05.01.2023 09:00","n/e","716"
"05.01.2023 09:00 - 05.01.2023 10:00","n/e","739"
"05.01.2023 10:00 - 05.01.2023 11:00","n/e","750"
"05.01.2023 11:00 - 05.01.2023 12:00","n/e","744"
"05.01.2023 12:00 - 05.01.2023 13:00","n/e","746"
"05.01.2023 13:00 - 05.01.2023 14:00","n/e","746"
"05.01.2023 14:00 - 05.01.2023 15:00","n/e","741"
"05.01.2023 15:00 - 05.01.2023 16:00","n/e","748"
"05.01.2023 16:00 - 05.01.2023 17:00","n/e","778"
"05.01.2023 17:00 - 05.01.2023 18:00","n/e","761"
"05.01.2023 18:00 - 05.01.2023 19:00","n/e","732"
"05.01.2023 19:00 - 05.01.2023 20:00","n/e","695"
"05.01.2023 20:00 - 05.01.2023 21:00","n/e","648"
"05.01.2023 21:00 - 05.01.2023 22:00","n/e","585"
"05.01.2023 22:00 - 05.01.2023 23:00","n/e","513"
"05.01.2023 23:00 - 06.01.2023 00:00","n/e","452"
"06.01.2023 00:00 - 06.01.2023 01:00","n/e","411"
"06.01.2023 01:00 - 06.01.2023 02:00","n/e","391"
"06.01.2023 02:00 - 06.01.2023 03:00","n/e","382"
"06.01.2023 03:00 - 06.01.2023 04:00","n/e","379"
"06.01.2023 04:00 - 06.01.2023 05:00","n/e","396"
"06.01.2023 05:00 - 06.01.2023 06:00","n/e","447"
"06.01.2023 06:00 - 06.01.2023 07:00","n/e","512"
"06.01.2023 07:00 - 06.01.2023 08:00","n/e","617"
"06.01.2023 08:00 - 06.01.2023 09:00","n/e","683"
"06.01.2023 09:00 - 06.01.2023 10:00","n/e","708"
"06.01.2023 10:00 - 06.01.2023 11:00","n/e","720"
"06.01.2023 11:00 - 06.01.2023 12:00","n/e","730"
"06.01.2023 12:00 - 06.01.2023 13:00","n/e","733"
