"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Austria (AT)","Generation - Solar  [MW] Current / Austria (AT)","Generation - Wind Offshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Offshore  [MW] Current / Austria (AT)","Generation - Wind Onshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Onshore  [MW] Current / Austria (AT)"
"01.01.2022 00:00 - 01.01.2022 00:15","0","0","n/e","n/e","2176","2000"
"01.01.2022 00:15 - 01.01.2022 00:30","0","0","n/e","n/e","2268","2140"
"01.01.2022 00:30 - 01.01.2022 00:45","0","0","n/e","n/e","2360","2300"
"01.01.2022 00:45 - 01.01.2022 01:00","0","0","n/e","n/e","2456","2424"
"01.01.2022 01:00 - 01.01.2022 01:15","0","0","n/e","n/e","2516","2504"
"01.01.2022 01:15 - 01.01.2022 01:30","0","0","n/e","n/e","2548","2540"
"01.01.2022 01:30 - 01.01.2022 01:45","0","0","n/e","n/e","2584","2576"
"01.01.2022 01:45 - 01.01.2022 02:00","0","0","n/e","n/e","2616","2616"
"01.01.2022 02:00 - 01.01.2022 02:15","0","0","n/e","n/e","2636","2636"
"01.01.2022 02:15 - 01.01.2022 02:30","0","0","n/e","n/e","2640","2644"
"01.01.2022 02:30 - 01.01.2022 02:45","0","0","n/e","n/e","2648","2652"
"01.01.2022 02:45 - 01.01.2022 03:00","0","0","n/e","n/e","2656","2656"
"01.01.2022 03:00 - 01.01.2022 03:15","0","0","n/e","n/e","2656","2668"
"01.01.2022 03:15 - 01.01.2022 03:30","0","0","n/e","n/e","2648","2680"
"01.01.2022 03:30 - 01.01.2022 03:45","0","0","n/e","n/e","2644","2700"
"01.01.2022 03:45 - 01.01.2022 04:00","0","0","n/e","n/e","2636","2712"
"01.01.2022 04:00 - 01.01.2022 04:15","0","0","n/e","n/e","2624","2716"
"01.01.2022 04:15 - 01.01.2022 04:30","0","0","n/e","n/e","2604","2712"
"01.01.2022 04:30 - 01.01.2022 04:45","0","0","n/e","n/e","2588","2708"
"01.01.2022 04:45 - 01.01.2022 05:00","0","0","n/e","n/e","2568","2700"
"01.01.2022 05:00 - 01.01.2022 05:15","0","0","n/e","n/e","2564","2696"
"01.01.2022 05:15 - 01.01.2022 05:30","0","0","n/e","n/e","2568","2692"
"01.01.2022 05:30 - 01.01.2022 05:45","0","0","n/e","n/e","2568","2668"
"01.01.2022 05:45 - 01.01.2022 06:00","0","0","n/e","n/e","2572","2668"
"01.01.2022 06:00 - 01.01.2022 06:15","0","0","n/e","n/e","2576","2664"
"01.01.2022 06:15 - 01.01.2022 06:30","0","0","n/e","n/e","2576","2652"
"01.01.2022 06:30 - 01.01.2022 06:45","0","0","n/e","n/e","2580","2640"
"01.01.2022 06:45 - 01.01.2022 07:00","0","0","n/e","n/e","2580","2632"
"01.01.2022 07:00 - 01.01.2022 07:15","0","0","n/e","n/e","2580","2616"
"01.01.2022 07:15 - 01.01.2022 07:30","0","0","n/e","n/e","2580","2592"
"01.01.2022 07:30 - 01.01.2022 07:45","0","0","n/e","n/e","2576","2572"
"01.01.2022 07:45 - 01.01.2022 08:00","16","16","n/e","n/e","2576","2552"
"01.01.2022 08:00 - 01.01.2022 08:15","48","48","n/e","n/e","2560","2512"
"01.01.2022 08:15 - 01.01.2022 08:30","52","52","n/e","n/e","2532","2460"
"01.01.2022 08:30 - 01.01.2022 08:45","60","60","n/e","n/e","2504","2448"
"01.01.2022 08:45 - 01.01.2022 09:00","68","68","n/e","n/e","2476","2396"
"01.01.2022 09:00 - 01.01.2022 09:15","88","88","n/e","n/e","2440","2344"
"01.01.2022 09:15 - 01.01.2022 09:30","112","116","n/e","n/e","2404","2288"
"01.01.2022 09:30 - 01.01.2022 09:45","128","128","n/e","n/e","2368","2232"
"01.01.2022 09:45 - 01.01.2022 10:00","144","148","n/e","n/e","2332","2172"
"01.01.2022 10:00 - 01.01.2022 10:15","168","168","n/e","n/e","2288","2120"
"01.01.2022 10:15 - 01.01.2022 10:30","192","196","n/e","n/e","2240","2072"
"01.01.2022 10:30 - 01.01.2022 10:45","212","216","n/e","n/e","2192","2024"
"01.01.2022 10:45 - 01.01.2022 11:00","224","228","n/e","n/e","2144","1972"
"01.01.2022 11:00 - 01.01.2022 11:15","240","240","n/e","n/e","2120","1972"
"01.01.2022 11:15 - 01.01.2022 11:30","256","260","n/e","n/e","2116","2024"
"01.01.2022 11:30 - 01.01.2022 11:45","260","272","n/e","n/e","2112","2052"
"01.01.2022 11:45 - 01.01.2022 12:00","260","272","n/e","n/e","2108","2104"
"01.01.2022 12:00 - 01.01.2022 12:15","256","276","n/e","n/e","2096","2128"
"01.01.2022 12:15 - 01.01.2022 12:30","252","288","n/e","n/e","2068","2124"
"01.01.2022 12:30 - 01.01.2022 12:45","248","288","n/e","n/e","2044","2148"
"01.01.2022 12:45 - 01.01.2022 13:00","240","276","n/e","n/e","2020","2144"
"01.01.2022 13:00 - 01.01.2022 13:15","236","272","n/e","n/e","1976","2116"
"01.01.2022 13:15 - 01.01.2022 13:30","228","272","n/e","n/e","1916","2068"
"01.01.2022 13:30 - 01.01.2022 13:45","220","260","n/e","n/e","1856","2020"
"01.01.2022 13:45 - 01.01.2022 14:00","216","236","n/e","n/e","1796","1972"
"01.01.2022 14:00 - 01.01.2022 14:15","204","216","n/e","n/e","1736","1908"
"01.01.2022 14:15 - 01.01.2022 14:30","192","200","n/e","n/e","1672","1836"
"01.01.2022 14:30 - 01.01.2022 14:45","180","176","n/e","n/e","1604","1780"
"01.01.2022 14:45 - 01.01.2022 15:00","164","148","n/e","n/e","1540","1712"
"01.01.2022 15:00 - 01.01.2022 15:15","144","120","n/e","n/e","1496","1656"
"01.01.2022 15:15 - 01.01.2022 15:30","128","96","n/e","n/e","1476","1620"
"01.01.2022 15:30 - 01.01.2022 15:45","116","76","n/e","n/e","1452","1584"
"01.01.2022 15:45 - 01.01.2022 16:00","104","56","n/e","n/e","1432","1544"
"01.01.2022 16:00 - 01.01.2022 16:15","72","36","n/e","n/e","1416","1524"
"01.01.2022 16:15 - 01.01.2022 16:30","8","4","n/e","n/e","1408","1524"
"01.01.2022 16:30 - 01.01.2022 16:45","0","0","n/e","n/e","1400","1524"
"01.01.2022 16:45 - 01.01.2022 17:00","0","0","n/e","n/e","1392","1524"
"01.01.2022 17:00 - 01.01.2022 17:15","0","0","n/e","n/e","1388","1516"
"01.01.2022 17:15 - 01.01.2022 17:30","0","0","n/e","n/e","1388","1488"
"01.01.2022 17:30 - 01.01.2022 17:45","0","0","n/e","n/e","1388","1560"
"01.01.2022 17:45 - 01.01.2022 18:00","0","0","n/e","n/e","1384","1540"
"01.01.2022 18:00 - 01.01.2022 18:15","0","0","n/e","n/e","1380","1516"
"01.01.2022 18:15 - 01.01.2022 18:30","0","0","n/e","n/e","1372","1492"
"01.01.2022 18:30 - 01.01.2022 18:45","0","0","n/e","n/e","1360","1464"
"01.01.2022 18:45 - 01.01.2022 19:00","0","0","n/e","n/e","1352","1440"
"01.01.2022 19:00 - 01.01.2022 19:15","0","0","n/e","n/e","1336","1404"
"01.01.2022 19:15 - 01.01.2022 19:30","0","0","n/e","n/e","1312","1364"
"01.01.2022 19:30 - 01.01.2022 19:45","0","0","n/e","n/e","1288","1332"
"01.01.2022 19:45 - 01.01.2022 20:00","0","0","n/e","n/e","1264","1296"
"01.01.2022 20:00 - 01.01.2022 20:15","0","0","n/e","n/e","1232","1252"
"01.01.2022 20:15 - 01.01.2022 20:30","0","0","n/e","n/e","1188","1200"
"01.01.2022 20:30 - 01.01.2022 20:45","0","0","n/e","n/e","1144","1172"
"01.01.2022 20:45 - 01.01.2022 21:00","0","0","n/e","n/e","1100","1124"
"01.01.2022 21:00 - 01.01.2022 21:15","0","0","n/e","n/e","1052","1056"
"01.01.2022 21:15 - 01.01.2022 21:30","0","0","n/e","n/e","996","976"
"01.01.2022 21:30 - 01.01.2022 21:45","0","0","n/e","n/e","944","892"
"01.01.2022 21:45 - 01.01.2022 22:00","0","0","n/e","n/e","888","808"
"01.01.2022 22:00 - 01.01.2022 22:15","0","0","n/e","n/e","828","724"
"01.01.2022 22:15 - 01.01.2022 22:30","0","0","n/e","n/e","764","644"
