"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Belgium (BE)","Generation - Solar  [MW] Current / Belgium (BE)","Generation - Wind Offshore  [MW] Day Ahead/ Belgium (BE)","Generation - Wind Offshore  [MW] Current / Belgium (BE)","Generation - Wind Onshore  [MW] Day Ahead/ Belgium (BE)","Generation - Wind Onshore  [MW] Current / Belgium (BE)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","1853","1839","580","567"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","1751","1710","541","549"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","1539","1505","494","492"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","1331","1438","443","460"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","1286","1600","433","428"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","1410","1735","451","467"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","1639","1800","503","530"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","1836","1842","567","643"
"01.01.2022 08:00 - 01.01.2022 09:00","1","2","1997","1981","618","716"
"01.01.2022 09:00 - 01.01.2022 10:00","78","105","2076","2082","680","762"
"01.01.2022 10:00 - 01.01.2022 11:00","242","342","2097","2125","689","693"
"01.01.2022 11:00 - 01.01.2022 12:00","418","526","2120","2142","631","711"
"01.01.2022 12:00 - 01.01.2022 13:00","596","803","2129","2141","581","697"
"01.01.2022 13:00 - 01.01.2022 14:00","642","879","2120","2116","560","794"
"01.01.2022 14:00 - 01.01.2022 15:00","491","559","2090","2106","792","937"
"01.01.2022 15:00 - 01.01.2022 16:00","255","288","2045","2082","898","914"
"01.01.2022 16:00 - 01.01.2022 17:00","39","40","1967","2054","935","780"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","1923","2062","952","769"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","1925","2070","950","820"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","1939","2043","971","877"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","1948","2039","952","905"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","1977","2039","924","983"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","1995","2027","904","1008"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","2014","2041","927","1043"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","1984","2082","895","1033"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","2003","2160","872","1006"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","2023","2166","874","986"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","2035","2164","915","999"
