"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Bosnia and Herz. (BA)","Generation - Solar  [MW] Current / Bosnia and Herz. (BA)","Generation - Wind Offshore  [MW] Day Ahead/ Bosnia and Herz. (BA)","Generation - Wind Offshore  [MW] Current / Bosnia and Herz. (BA)","Generation - Wind Onshore  [MW] Day Ahead/ Bosnia and Herz. (BA)","Generation - Wind Onshore  [MW] Current / Bosnia and Herz. (BA)"
"01.01.2022 00:00 - 01.01.2022 01:00","N/A","n/e","n/e","n/e","3","3"
"01.01.2022 01:00 - 01.01.2022 02:00","N/A","n/e","n/e","n/e","4","4"
"01.01.2022 02:00 - 01.01.2022 03:00","N/A","n/e","n/e","n/e","6","6"
"01.01.2022 03:00 - 01.01.2022 04:00","N/A","n/e","n/e","n/e","9","9"
"01.01.2022 04:00 - 01.01.2022 05:00","N/A","n/e","n/e","n/e","15","15"
"01.01.2022 05:00 - 01.01.2022 06:00","N/A","n/e","n/e","n/e","28","28"
"01.01.2022 06:00 - 01.01.2022 07:00","N/A","n/e","n/e","n/e","40","40"
"01.01.2022 07:00 - 01.01.2022 08:00","N/A","n/e","n/e","n/e","73","73"
"01.01.2022 08:00 - 01.01.2022 09:00","N/A","n/e","n/e","n/e","77","77"
"01.01.2022 09:00 - 01.01.2022 10:00","N/A","n/e","n/e","n/e","99","99"
"01.01.2022 10:00 - 01.01.2022 11:00","N/A","n/e","n/e","n/e","91","91"
"01.01.2022 11:00 - 01.01.2022 12:00","N/A","n/e","n/e","n/e","91","91"
"01.01.2022 12:00 - 01.01.2022 13:00","N/A","n/e","n/e","n/e","99","99"
"01.01.2022 13:00 - 01.01.2022 14:00","N/A","n/e","n/e","n/e","95","95"
"01.01.2022 14:00 - 01.01.2022 15:00","N/A","n/e","n/e","n/e","91","91"
"01.01.2022 15:00 - 01.01.2022 16:00","N/A","n/e","n/e","n/e","80","80"
"01.01.2022 16:00 - 01.01.2022 17:00","N/A","n/e","n/e","n/e","79","79"
"01.01.2022 17:00 - 01.01.2022 18:00","N/A","n/e","n/e","n/e","83","83"
"01.01.2022 18:00 - 01.01.2022 19:00","N/A","n/e","n/e","n/e","89","89"
"01.01.2022 19:00 - 01.01.2022 20:00","N/A","n/e","n/e","n/e","85","85"
"01.01.2022 20:00 - 01.01.2022 21:00","N/A","n/e","n/e","n/e","88","88"
"01.01.2022 21:00 - 01.01.2022 22:00","N/A","n/e","n/e","n/e","87","87"
"01.01.2022 22:00 - 01.01.2022 23:00","N/A","n/e","n/e","n/e","91","91"
"01.01.2022 23:00 - 02.01.2022 00:00","N/A","n/e","n/e","n/e","81","81"
"02.01.2022 00:00 - 02.01.2022 01:00","N/A","n/e","n/e","n/e","71","71"
"02.01.2022 01:00 - 02.01.2022 02:00","N/A","n/e","n/e","n/e","67","67"
"02.01.2022 02:00 - 02.01.2022 03:00","N/A","n/e","n/e","n/e","64","64"
"02.01.2022 03:00 - 02.01.2022 04:00","N/A","n/e","n/e","n/e","63","63"
"02.01.2022 04:00 - 02.01.2022 05:00","N/A","n/e","n/e","n/e","54","54"
"02.01.2022 05:00 - 02.01.2022 06:00","N/A","n/e","n/e","n/e","51","51"
"02.01.2022 06:00 - 02.01.2022 07:00","N/A","n/e","n/e","n/e","44","44"
"02.01.2022 07:00 - 02.01.2022 08:00","N/A","n/e","n/e","n/e","32","32"
"02.01.2022 08:00 - 02.01.2022 09:00","N/A","n/e","n/e","n/e","22","22"
"02.01.2022 09:00 - 02.01.2022 10:00","N/A","n/e","n/e","n/e","10","10"
"02.01.2022 10:00 - 02.01.2022 11:00","N/A","n/e","n/e","n/e","6","6"
"02.01.2022 11:00 - 02.01.2022 12:00","N/A","n/e","n/e","n/e","2","2"
"02.01.2022 12:00 - 02.01.2022 13:00","N/A","n/e","n/e","n/e","1","1"
"02.01.2022 13:00 - 02.01.2022 14:00","N/A","n/e","n/e","n/e","2","2"
"02.01.2022 14:00 - 02.01.2022 15:00","N/A","n/e","n/e","n/e","3","3"
"02.01.2022 15:00 - 02.01.2022 16:00","N/A","n/e","n/e","n/e","3","3"
"02.01.2022 16:00 - 02.01.2022 17:00","N/A","n/e","n/e","n/e","3","3"
"02.01.2022 17:00 - 02.01.2022 18:00","N/A","n/e","n/e","n/e","4","4"
"02.01.2022 18:00 - 02.01.2022 19:00","N/A","n/e","n/e","n/e","4","4"
"02.01.2022 19:00 - 02.01.2022 20:00","N/A","n/e","n/e","n/e","5","5"
"02.01.2022 20:00 - 02.01.2022 21:00","N/A","n/e","n/e","n/e","6","6"
"02.01.2022 21:00 - 02.01.2022 22:00","N/A","n/e","n/e","n/e","9","9"
"02.01.2022 22:00 - 02.01.2022 23:00","N/A","n/e","n/e","n/e","8","8"
"02.01.2022 23:00 - 03.01.2022 00:00","N/A","n/e","n/e","n/e","6","6"
"03.01.2022 00:00 - 03.01.2022 01:00","N/A","n/e","n/e","n/e","10","10"
"03.01.2022 01:00 - 03.01.2022 02:00","N/A","n/e","n/e","n/e","13","13"
"03.01.2022 02:00 - 03.01.2022 03:00","N/A","n/e","n/e","n/e","13","13"
"03.01.2022 03:00 - 03.01.2022 04:00","N/A","n/e","n/e","n/e","9","9"
"03.01.2022 04:00 - 03.01.2022 05:00","N/A","n/e","n/e","n/e","8","8"
"03.01.2022 05:00 - 03.01.2022 06:00","N/A","n/e","n/e","n/e","11","11"
"03.01.2022 06:00 - 03.01.2022 07:00","N/A","n/e","n/e","n/e","8","8"
"03.01.2022 07:00 - 03.01.2022 08:00","N/A","n/e","n/e","n/e","9","9"
"03.01.2022 08:00 - 03.01.2022 09:00","N/A","n/e","n/e","n/e","9","9"
"03.01.2022 09:00 - 03.01.2022 10:00","N/A","n/e","n/e","n/e","10","10"
"03.01.2022 10:00 - 03.01.2022 11:00","N/A","n/e","n/e","n/e","13","13"
"03.01.2022 11:00 - 03.01.2022 12:00","N/A","n/e","n/e","n/e","13","13"
"03.01.2022 12:00 - 03.01.2022 13:00","N/A","n/e","n/e","n/e","16","16"
"03.01.2022 13:00 - 03.01.2022 14:00","N/A","n/e","n/e","n/e","11","11"
"03.01.2022 14:00 - 03.01.2022 15:00","N/A","n/e","n/e","n/e","7","7"
"03.01.2022 15:00 - 03.01.2022 16:00","N/A","n/e","n/e","n/e","5","5"
"03.01.2022 16:00 - 03.01.2022 17:00","N/A","n/e","n/e","n/e","3","3"
"03.01.2022 17:00 - 03.01.2022 18:00","N/A","n/e","n/e","n/e","2","2"
"03.01.2022 18:00 - 03.01.2022 19:00","N/A","n/e","n/e","n/e","2","2"
"03.01.2022 19:00 - 03.01.2022 20:00","N/A","n/e","n/e","n/e","1","1"
"03.01.2022 20:00 - 03.01.2022 21:00","N/A","n/e","n/e","n/e","2","2"
"03.01.2022 21:00 - 03.01.2022 22:00","N/A","n/e","n/e","n/e","2","2"
"03.01.2022 22:00 - 03.01.2022 23:00","N/A","n/e","n/e","n/e","2","2"
"03.01.2022 23:00 - 04.01.2022 00:00","N/A","n/e","n/e","n/e","4","4"
"04.01.2022 00:00 - 04.01.2022 01:00","N/A","n/e","n/e","n/e","6","6"
"04.01.2022 01:00 - 04.01.2022 02:00","N/A","n/e","n/e","n/e","9","9"
"04.01.2022 02:00 - 04.01.2022 03:00","N/A","n/e","n/e","n/e","13","13"
"04.01.2022 03:00 - 04.01.2022 04:00","N/A","n/e","n/e","n/e","18","18"
"04.01.2022 04:00 - 04.01.2022 05:00","N/A","n/e","n/e","n/e","29","29"
"04.01.2022 05:00 - 04.01.2022 06:00","N/A","n/e","n/e","n/e","32","32"
"04.01.2022 06:00 - 04.01.2022 07:00","N/A","n/e","n/e","n/e","44","44"
"04.01.2022 07:00 - 04.01.2022 08:00","N/A","n/e","n/e","n/e","50","50"
"04.01.2022 08:00 - 04.01.2022 09:00","N/A","n/e","n/e","n/e","51","51"
"04.01.2022 09:00 - 04.01.2022 10:00","N/A","n/e","n/e","n/e","64","64"
"04.01.2022 10:00 - 04.01.2022 11:00","N/A","n/e","n/e","n/e","71","71"
"04.01.2022 11:00 - 04.01.2022 12:00","N/A","n/e","n/e","n/e","79","79"
"04.01.2022 12:00 - 04.01.2022 13:00","N/A","n/e","n/e","n/e","81","81"
"04.01.2022 13:00 - 04.01.2022 14:00","N/A","n/e","n/e","n/e","82","82"
"04.01.2022 14:00 - 04.01.2022 15:00","N/A","n/e","n/e","n/e","74","74"
"04.01.2022 15:00 - 04.01.2022 16:00","N/A","n/e","n/e","n/e","66","66"
"04.01.2022 16:00 - 04.01.2022 17:00","N/A","n/e","n/e","n/e","61","61"
"04.01.2022 17:00 - 04.01.2022 18:00","N/A","n/e","n/e","n/e","55","55"
"04.01.2022 18:00 - 04.01.2022 19:00","N/A","n/e","n/e","n/e","51","51"
"04.01.2022 19:00 - 04.01.2022 20:00","N/A","n/e","n/e","n/e","50","50"
"04.01.2022 20:00 - 04.01.2022 21:00","N/A","n/e","n/e","n/e","52","52"
"04.01.2022 21:00 - 04.01.2022 22:00","N/A","n/e","n/e","n/e","70","70"
"04.01.2022 22:00 - 04.01.2022 23:00","N/A","n/e","n/e","n/e","48","48"
"04.01.2022 23:00 - 05.01.2022 00:00","N/A","n/e","n/e","n/e","52","52"
"05.01.2022 00:00 - 05.01.2022 01:00","N/A","n/e","n/e","n/e","104","104"
"05.01.2022 01:00 - 05.01.2022 02:00","N/A","n/e","n/e","n/e","101","101"
"05.01.2022 02:00 - 05.01.2022 03:00","N/A","n/e","n/e","n/e","97","97"
"05.01.2022 03:00 - 05.01.2022 04:00","N/A","n/e","n/e","n/e","97","97"
"05.01.2022 04:00 - 05.01.2022 05:00","N/A","n/e","n/e","n/e","106","106"
"05.01.2022 05:00 - 05.01.2022 06:00","N/A","n/e","n/e","n/e","106","106"
"05.01.2022 06:00 - 05.01.2022 07:00","N/A","n/e","n/e","n/e","101","101"
"05.01.2022 07:00 - 05.01.2022 08:00","N/A","n/e","n/e","n/e","105","105"
"05.01.2022 08:00 - 05.01.2022 09:00","N/A","n/e","n/e","n/e","114","114"
"05.01.2022 09:00 - 05.01.2022 10:00","N/A","n/e","n/e","n/e","115","115"
"05.01.2022 10:00 - 05.01.2022 11:00","N/A","n/e","n/e","n/e","115","115"
"05.01.2022 11:00 - 05.01.2022 12:00","N/A","n/e","n/e","n/e","124","124"
"05.01.2022 12:00 - 05.01.2022 13:00","N/A","n/e","n/e","n/e","130","130"
"05.01.2022 13:00 - 05.01.2022 14:00","N/A","n/e","n/e","n/e","126","126"
"05.01.2022 14:00 - 05.01.2022 15:00","N/A","n/e","n/e","n/e","131","131"
"05.01.2022 15:00 - 05.01.2022 16:00","N/A","n/e","n/e","n/e","131","131"
"05.01.2022 16:00 - 05.01.2022 17:00","N/A","n/e","n/e","n/e","131","131"
"05.01.2022 17:00 - 05.01.2022 18:00","N/A","n/e","n/e","n/e","130","130"
"05.01.2022 18:00 - 05.01.2022 19:00","N/A","n/e","n/e","n/e","130","130"
"05.01.2022 19:00 - 05.01.2022 20:00","N/A","n/e","n/e","n/e","129","129"
"05.01.2022 20:00 - 05.01.2022 21:00","N/A","n/e","n/e","n/e","129","129"
"05.01.2022 21:00 - 05.01.2022 22:00","N/A","n/e","n/e","n/e","128","128"
"05.01.2022 22:00 - 05.01.2022 23:00","N/A","n/e","n/e","n/e","128","128"
"05.01.2022 23:00 - 06.01.2022 00:00","N/A","n/e","n/e","n/e","122","122"
"06.01.2022 00:00 - 06.01.2022 01:00","N/A","n/e","n/e","n/e","129","129"
"06.01.2022 01:00 - 06.01.2022 02:00","N/A","n/e","n/e","n/e","127","127"
"06.01.2022 02:00 - 06.01.2022 03:00","N/A","n/e","n/e","n/e","124","124"
"06.01.2022 03:00 - 06.01.2022 04:00","N/A","n/e","n/e","n/e","116","116"
"06.01.2022 04:00 - 06.01.2022 05:00","N/A","n/e","n/e","n/e","104","104"
"06.01.2022 05:00 - 06.01.2022 06:00","N/A","n/e","n/e","n/e","92","92"
"06.01.2022 06:00 - 06.01.2022 07:00","N/A","n/e","n/e","n/e","79","79"
"06.01.2022 07:00 - 06.01.2022 08:00","N/A","n/e","n/e","n/e","64","64"
"06.01.2022 08:00 - 06.01.2022 09:00","N/A","n/e","n/e","n/e","59","59"
"06.01.2022 09:00 - 06.01.2022 10:00","N/A","n/e","n/e","n/e","56","56"
"06.01.2022 10:00 - 06.01.2022 11:00","N/A","n/e","n/e","n/e","45","45"
"06.01.2022 11:00 - 06.01.2022 12:00","N/A","n/e","n/e","n/e","37","37"
"06.01.2022 12:00 - 06.01.2022 13:00","N/A","n/e","n/e","n/e","29","29"
"06.01.2022 13:00 - 06.01.2022 14:00","N/A","n/e","n/e","n/e","21","21"
"06.01.2022 14:00 - 06.01.2022 15:00","N/A","n/e","n/e","n/e","28","28"
"06.01.2022 15:00 - 06.01.2022 16:00","N/A","n/e","n/e","n/e","42","42"
"06.01.2022 16:00 - 06.01.2022 17:00","N/A","n/e","n/e","n/e","58","58"
"06.01.2022 17:00 - 06.01.2022 18:00","N/A","n/e","n/e","n/e","66","66"
"06.01.2022 18:00 - 06.01.2022 19:00","N/A","n/e","n/e","n/e","82","82"
"06.01.2022 19:00 - 06.01.2022 20:00","N/A","n/e","n/e","n/e","105","105"
"06.01.2022 20:00 - 06.01.2022 21:00","N/A","n/e","n/e","n/e","116","116"
"06.01.2022 21:00 - 06.01.2022 22:00","N/A","n/e","n/e","n/e","116","116"
"06.01.2022 22:00 - 06.01.2022 23:00","N/A","n/e","n/e","n/e","118","118"
"06.01.2022 23:00 - 07.01.2022 00:00","N/A","n/e","n/e","n/e","118","118"
"07.01.2022 00:00 - 07.01.2022 01:00","N/A","n/e","n/e","n/e","124","124"
"07.01.2022 01:00 - 07.01.2022 02:00","N/A","n/e","n/e","n/e","123","123"
"07.01.2022 02:00 - 07.01.2022 03:00","N/A","n/e","n/e","n/e","122","122"
"07.01.2022 03:00 - 07.01.2022 04:00","N/A","n/e","n/e","n/e","121","121"
"07.01.2022 04:00 - 07.01.2022 05:00","N/A","n/e","n/e","n/e","119","119"
"07.01.2022 05:00 - 07.01.2022 06:00","N/A","n/e","n/e","n/e","116","116"
"07.01.2022 06:00 - 07.01.2022 07:00","N/A","n/e","n/e","n/e","112","112"
"07.01.2022 07:00 - 07.01.2022 08:00","N/A","n/e","n/e","n/e","107","107"
"07.01.2022 08:00 - 07.01.2022 09:00","N/A","n/e","n/e","n/e","98","98"
"07.01.2022 09:00 - 07.01.2022 10:00","N/A","n/e","n/e","n/e","87","87"
"07.01.2022 10:00 - 07.01.2022 11:00","N/A","n/e","n/e","n/e","79","79"
"07.01.2022 11:00 - 07.01.2022 12:00","N/A","n/e","n/e","n/e","69","69"
"07.01.2022 12:00 - 07.01.2022 13:00","N/A","n/e","n/e","n/e","51","51"
"07.01.2022 13:00 - 07.01.2022 14:00","N/A","n/e","n/e","n/e","24","24"
"07.01.2022 14:00 - 07.01.2022 15:00","N/A","n/e","n/e","n/e","12","12"
"07.01.2022 15:00 - 07.01.2022 16:00","N/A","n/e","n/e","n/e","12","12"
"07.01.2022 16:00 - 07.01.2022 17:00","N/A","n/e","n/e","n/e","11","11"
"07.01.2022 17:00 - 07.01.2022 18:00","N/A","n/e","n/e","n/e","12","12"
"07.01.2022 18:00 - 07.01.2022 19:00","N/A","n/e","n/e","n/e","11","11"
"07.01.2022 19:00 - 07.01.2022 20:00","N/A","n/e","n/e","n/e","11","11"
"07.01.2022 20:00 - 07.01.2022 21:00","N/A","n/e","n/e","n/e","9","9"
"07.01.2022 21:00 - 07.01.2022 22:00","N/A","n/e","n/e","n/e","10","10"
"07.01.2022 22:00 - 07.01.2022 23:00","N/A","n/e","n/e","n/e","10","10"
"07.01.2022 23:00 - 08.01.2022 00:00","N/A","n/e","n/e","n/e","10","10"
"08.01.2022 00:00 - 08.01.2022 01:00","N/A","n/e","n/e","n/e","6","6"
"08.01.2022 01:00 - 08.01.2022 02:00","N/A","n/e","n/e","n/e","5","5"
"08.01.2022 02:00 - 08.01.2022 03:00","N/A","n/e","n/e","n/e","5","5"
"08.01.2022 03:00 - 08.01.2022 04:00","N/A","n/e","n/e","n/e","4","4"
"08.01.2022 04:00 - 08.01.2022 05:00","N/A","n/e","n/e","n/e","3","3"
"08.01.2022 05:00 - 08.01.2022 06:00","N/A","n/e","n/e","n/e","2","2"
"08.01.2022 06:00 - 08.01.2022 07:00","N/A","n/e","n/e","n/e","4","4"
"08.01.2022 07:00 - 08.01.2022 08:00","N/A","n/e","n/e","n/e","5","5"
"08.01.2022 08:00 - 08.01.2022 09:00","N/A","n/e","n/e","n/e","6","6"
"08.01.2022 09:00 - 08.01.2022 10:00","N/A","n/e","n/e","n/e","7","7"
"08.01.2022 10:00 - 08.01.2022 11:00","N/A","n/e","n/e","n/e","6","6"
"08.01.2022 11:00 - 08.01.2022 12:00","N/A","n/e","n/e","n/e","5","5"
"08.01.2022 12:00 - 08.01.2022 13:00","N/A","n/e","n/e","n/e","3","3"
"08.01.2022 13:00 - 08.01.2022 14:00","N/A","n/e","n/e","n/e","4","4"
"08.01.2022 14:00 - 08.01.2022 15:00","N/A","n/e","n/e","n/e","8","8"
"08.01.2022 15:00 - 08.01.2022 16:00","N/A","n/e","n/e","n/e","10","10"
"08.01.2022 16:00 - 08.01.2022 17:00","N/A","n/e","n/e","n/e","15","15"
"08.01.2022 17:00 - 08.01.2022 18:00","N/A","n/e","n/e","n/e","22","22"
"08.01.2022 18:00 - 08.01.2022 19:00","N/A","n/e","n/e","n/e","26","26"
"08.01.2022 19:00 - 08.01.2022 20:00","N/A","n/e","n/e","n/e","27","27"
"08.01.2022 20:00 - 08.01.2022 21:00","N/A","n/e","n/e","n/e","25","25"
"08.01.2022 21:00 - 08.01.2022 22:00","N/A","n/e","n/e","n/e","23","23"
"08.01.2022 22:00 - 08.01.2022 23:00","N/A","n/e","n/e","n/e","20","20"
"08.01.2022 23:00 - 09.01.2022 00:00","N/A","n/e","n/e","n/e","17","17"
"09.01.2022 00:00 - 09.01.2022 01:00","N/A","n/e","n/e","n/e","5","5"
"09.01.2022 01:00 - 09.01.2022 02:00","N/A","n/e","n/e","n/e","4","4"
"09.01.2022 02:00 - 09.01.2022 03:00","N/A","n/e","n/e","n/e","2","2"
"09.01.2022 03:00 - 09.01.2022 04:00","N/A","n/e","n/e","n/e","2","2"
"09.01.2022 04:00 - 09.01.2022 05:00","N/A","n/e","n/e","n/e","1","1"
"09.01.2022 05:00 - 09.01.2022 06:00","N/A","n/e","n/e","n/e","1","1"
"09.01.2022 06:00 - 09.01.2022 07:00","N/A","n/e","n/e","n/e","2","2"
"09.01.2022 07:00 - 09.01.2022 08:00","N/A","n/e","n/e","n/e","3","3"
"09.01.2022 08:00 - 09.01.2022 09:00","N/A","n/e","n/e","n/e","3","3"
"09.01.2022 09:00 - 09.01.2022 10:00","N/A","n/e","n/e","n/e","4","4"
"09.01.2022 10:00 - 09.01.2022 11:00","N/A","n/e","n/e","n/e","5","5"
"09.01.2022 11:00 - 09.01.2022 12:00","N/A","n/e","n/e","n/e","4","4"
"09.01.2022 12:00 - 09.01.2022 13:00","N/A","n/e","n/e","n/e","3","3"
"09.01.2022 13:00 - 09.01.2022 14:00","N/A","n/e","n/e","n/e","6","6"
"09.01.2022 14:00 - 09.01.2022 15:00","N/A","n/e","n/e","n/e","7","7"
"09.01.2022 15:00 - 09.01.2022 16:00","N/A","n/e","n/e","n/e","6","6"
"09.01.2022 16:00 - 09.01.2022 17:00","N/A","n/e","n/e","n/e","5","5"
"09.01.2022 17:00 - 09.01.2022 18:00","N/A","n/e","n/e","n/e","6","6"
"09.01.2022 18:00 - 09.01.2022 19:00","N/A","n/e","n/e","n/e","10","10"
"09.01.2022 19:00 - 09.01.2022 20:00","N/A","n/e","n/e","n/e","15","15"
"09.01.2022 20:00 - 09.01.2022 21:00","N/A","n/e","n/e","n/e","20","20"
"09.01.2022 21:00 - 09.01.2022 22:00","N/A","n/e","n/e","n/e","29","29"
"09.01.2022 22:00 - 09.01.2022 23:00","N/A","n/e","n/e","n/e","43","43"
"09.01.2022 23:00 - 10.01.2022 00:00","N/A","n/e","n/e","n/e","55","55"
"10.01.2022 00:00 - 10.01.2022 01:00","N/A","n/e","n/e","n/e","75","75"
"10.01.2022 01:00 - 10.01.2022 02:00","N/A","n/e","n/e","n/e","112","112"
"10.01.2022 02:00 - 10.01.2022 03:00","N/A","n/e","n/e","n/e","129","129"
"10.01.2022 03:00 - 10.01.2022 04:00","N/A","n/e","n/e","n/e","124","124"
"10.01.2022 04:00 - 10.01.2022 05:00","N/A","n/e","n/e","n/e","111","111"
"10.01.2022 05:00 - 10.01.2022 06:00","N/A","n/e","n/e","n/e","105","105"
"10.01.2022 06:00 - 10.01.2022 07:00","N/A","n/e","n/e","n/e","109","109"
"10.01.2022 07:00 - 10.01.2022 08:00","N/A","n/e","n/e","n/e","118","118"
"10.01.2022 08:00 - 10.01.2022 09:00","N/A","n/e","n/e","n/e","123","123"
"10.01.2022 09:00 - 10.01.2022 10:00","N/A","n/e","n/e","n/e","124","124"
"10.01.2022 10:00 - 10.01.2022 11:00","N/A","n/e","n/e","n/e","127","127"
"10.01.2022 11:00 - 10.01.2022 12:00","N/A","n/e","n/e","n/e","128","128"
"10.01.2022 12:00 - 10.01.2022 13:00","N/A","n/e","n/e","n/e","128","128"
"10.01.2022 13:00 - 10.01.2022 14:00","N/A","n/e","n/e","n/e","128","128"
"10.01.2022 14:00 - 10.01.2022 15:00","N/A","n/e","n/e","n/e","128","128"
"10.01.2022 15:00 - 10.01.2022 16:00","N/A","n/e","n/e","n/e","129","129"
"10.01.2022 16:00 - 10.01.2022 17:00","N/A","n/e","n/e","n/e","129","129"
"10.01.2022 17:00 - 10.01.2022 18:00","N/A","n/e","n/e","n/e","130","130"
"10.01.2022 18:00 - 10.01.2022 19:00","N/A","n/e","n/e","n/e","130","130"
"10.01.2022 19:00 - 10.01.2022 20:00","N/A","n/e","n/e","n/e","130","130"
"10.01.2022 20:00 - 10.01.2022 21:00","N/A","n/e","n/e","n/e","130","130"
"10.01.2022 21:00 - 10.01.2022 22:00","N/A","n/e","n/e","n/e","130","130"
"10.01.2022 22:00 - 10.01.2022 23:00","N/A","n/e","n/e","n/e","130","130"
"10.01.2022 23:00 - 11.01.2022 00:00","N/A","n/e","n/e","n/e","130","130"
"11.01.2022 00:00 - 11.01.2022 01:00","N/A","n/e","n/e","n/e","108","108"
