"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Croatia (HR)","Generation - Solar  [MW] Current / Croatia (HR)","Generation - Wind Offshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Offshore  [MW] Current / Croatia (HR)","Generation - Wind Onshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Onshore  [MW] Current / Croatia (HR)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","n/e","n/e","48","88"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","n/e","n/e","53","78"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","n/e","n/e","62","72"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","n/e","n/e","71","71"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","n/e","n/e","89","89"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","n/e","n/e","122","122"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","n/e","n/e","177","177"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","n/e","n/e","229","229"
"01.01.2022 08:00 - 01.01.2022 09:00","6","6","n/e","n/e","281","281"
"01.01.2022 09:00 - 01.01.2022 10:00","15","15","n/e","n/e","305","305"
"01.01.2022 10:00 - 01.01.2022 11:00","23","23","n/e","n/e","289","289"
"01.01.2022 11:00 - 01.01.2022 12:00","27","27","n/e","n/e","253","253"
"01.01.2022 12:00 - 01.01.2022 13:00","26","26","n/e","n/e","213","213"
"01.01.2022 13:00 - 01.01.2022 14:00","21","21","n/e","n/e","173","173"
"01.01.2022 14:00 - 01.01.2022 15:00","13","13","n/e","n/e","159","149"
"01.01.2022 15:00 - 01.01.2022 16:00","4","4","n/e","n/e","156","149"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","n/e","n/e","168","123"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","n/e","n/e","185","128"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","n/e","n/e","200","102"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","n/e","n/e","206","97"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","n/e","n/e","211","113"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","n/e","n/e","215","109"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","n/e","n/e","211","166"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","n/e","n/e","210","185"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","n/e","n/e","192","191"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","n/e","n/e","177","156"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","n/e","n/e","160","124"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","n/e","n/e","141","100"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","n/e","n/e","120","79"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","n/e","n/e","95","64"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","n/e","n/e","72","53"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","n/e","n/e","58","49"
"02.01.2022 08:00 - 02.01.2022 09:00","5","5","n/e","n/e","41","37"
"02.01.2022 09:00 - 02.01.2022 10:00","15","15","n/e","n/e","26","27"
"02.01.2022 10:00 - 02.01.2022 11:00","22","22","n/e","n/e","23","23"
"02.01.2022 11:00 - 02.01.2022 12:00","26","26","n/e","n/e","28","28"
"02.01.2022 12:00 - 02.01.2022 13:00","25","25","n/e","n/e","36","37"
"02.01.2022 13:00 - 02.01.2022 14:00","21","21","n/e","n/e","47","47"
"02.01.2022 14:00 - 02.01.2022 15:00","13","13","n/e","n/e","56","56"
"02.01.2022 15:00 - 02.01.2022 16:00","4","4","n/e","n/e","63","63"
"02.01.2022 16:00 - 02.01.2022 17:00","0","0","n/e","n/e","70","80"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","n/e","n/e","82","92"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","n/e","n/e","82","97"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","n/e","n/e","78","91"
"02.01.2022 20:00 - 02.01.2022 21:00","0","0","n/e","n/e","73","88"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0","n/e","n/e","68","80"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0","n/e","n/e","65","80"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0","n/e","n/e","60","88"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0","n/e","n/e","73","79"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0","n/e","n/e","72","72"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0","n/e","n/e","75","75"
"03.01.2022 03:00 - 03.01.2022 04:00","0","0","n/e","n/e","77","81"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0","n/e","n/e","80","86"
"03.01.2022 05:00 - 03.01.2022 06:00","0","0","n/e","n/e","77","88"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0","n/e","n/e","79","95"
"03.01.2022 07:00 - 03.01.2022 08:00","0","0","n/e","n/e","84","98"
"03.01.2022 08:00 - 03.01.2022 09:00","4","4","n/e","n/e","88","102"
"03.01.2022 09:00 - 03.01.2022 10:00","8","8","n/e","n/e","86","85"
"03.01.2022 10:00 - 03.01.2022 11:00","14","14","n/e","n/e","86","70"
"03.01.2022 11:00 - 03.01.2022 12:00","16","16","n/e","n/e","76","61"
"03.01.2022 12:00 - 03.01.2022 13:00","15","15","n/e","n/e","72","70"
"03.01.2022 13:00 - 03.01.2022 14:00","10","10","n/e","n/e","67","39"
"03.01.2022 14:00 - 03.01.2022 15:00","6","6","n/e","n/e","52","12"
"03.01.2022 15:00 - 03.01.2022 16:00","3","3","n/e","n/e","37","15"
"03.01.2022 16:00 - 03.01.2022 17:00","0","0","n/e","n/e","24","23"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","n/e","n/e","18","33"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","n/e","n/e","20","32"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","n/e","n/e","34","44"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","n/e","n/e","48","57"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","n/e","n/e","56","75"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","n/e","n/e","69","71"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","n/e","n/e","73","76"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","n/e","n/e","81","94"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","n/e","n/e","97","113"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","n/e","n/e","134","135"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","n/e","n/e","156","156"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","n/e","n/e","180","179"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","n/e","n/e","211","211"
"04.01.2022 06:00 - 04.01.2022 07:00","0","0","n/e","n/e","241","245"
"04.01.2022 07:00 - 04.01.2022 08:00","0","0","n/e","n/e","273","251"
"04.01.2022 08:00 - 04.01.2022 09:00","3","3","n/e","n/e","300","267"
"04.01.2022 09:00 - 04.01.2022 10:00","7","7","n/e","n/e","323","309"
"04.01.2022 10:00 - 04.01.2022 11:00","12","12","n/e","n/e","341","305"
"04.01.2022 11:00 - 04.01.2022 12:00","16","16","n/e","n/e","369","311"
