"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","","1141","","1032",""
"01.01.2022 01:00 - 01.01.2022 02:00","0","","1182","","1044",""
"01.01.2022 02:00 - 01.01.2022 03:00","0","","1149","","1053",""
"01.01.2022 03:00 - 01.01.2022 04:00","0","","941","","969",""
"01.01.2022 04:00 - 01.01.2022 05:00","0","","864","","828",""
"01.01.2022 05:00 - 01.01.2022 06:00","0","","710","","640",""
"01.01.2022 06:00 - 01.01.2022 07:00","0","","615","","529",""
"01.01.2022 07:00 - 01.01.2022 08:00","0","","555","","438",""
"01.01.2022 08:00 - 01.01.2022 09:00","0","","480","","359",""
"01.01.2022 09:00 - 01.01.2022 10:00","7","","395","","284",""
"01.01.2022 10:00 - 01.01.2022 11:00","25","","357","","208",""
"01.01.2022 11:00 - 01.01.2022 12:00","45","","361","","179",""
"01.01.2022 12:00 - 01.01.2022 13:00","50","","376","","219",""
"01.01.2022 13:00 - 01.01.2022 14:00","37","","476","","273",""
"01.01.2022 14:00 - 01.01.2022 15:00","17","","585","","368",""
"01.01.2022 15:00 - 01.01.2022 16:00","3","","689","","567",""
"01.01.2022 16:00 - 01.01.2022 17:00","0","","775","","849",""
"01.01.2022 17:00 - 01.01.2022 18:00","0","","950","","1232",""
"01.01.2022 18:00 - 01.01.2022 19:00","0","","1084","","1685",""
"01.01.2022 19:00 - 01.01.2022 20:00","0","","1181","","1976",""
"01.01.2022 20:00 - 01.01.2022 21:00","0","","1311","","2151",""
"01.01.2022 21:00 - 01.01.2022 22:00","0","","1311","","2219",""
"01.01.2022 22:00 - 01.01.2022 23:00","0","","1338","","2222",""
"01.01.2022 23:00 - 02.01.2022 00:00","0","","1312","","2171",""
"02.01.2022 00:00 - 02.01.2022 01:00","0","","1232","","2096",""
"02.01.2022 01:00 - 02.01.2022 02:00","0","","1206","","1890",""
"02.01.2022 02:00 - 02.01.2022 03:00","0","","1164","","1752",""
"02.01.2022 03:00 - 02.01.2022 04:00","0","","1061","","1588",""
"02.01.2022 04:00 - 02.01.2022 05:00","0","","1108","","1485",""
"02.01.2022 05:00 - 02.01.2022 06:00","0","","1063","","1377",""
"02.01.2022 06:00 - 02.01.2022 07:00","0","","1033","","1385",""
"02.01.2022 07:00 - 02.01.2022 08:00","0","","1050","","1360",""
"02.01.2022 08:00 - 02.01.2022 09:00","0","","977","","1244",""
"02.01.2022 09:00 - 02.01.2022 10:00","5","","902","","1128",""
"02.01.2022 10:00 - 02.01.2022 11:00","18","","840","","996",""
"02.01.2022 11:00 - 02.01.2022 12:00","30","","772","","902",""
"02.01.2022 12:00 - 02.01.2022 13:00","37","","705","","803",""
"02.01.2022 13:00 - 02.01.2022 14:00","26","","792","","669",""
"02.01.2022 14:00 - 02.01.2022 15:00","14","","690","","616",""
"02.01.2022 15:00 - 02.01.2022 16:00","2","","751","","663",""
"02.01.2022 16:00 - 02.01.2022 17:00","0","","838","","775",""
"02.01.2022 17:00 - 02.01.2022 18:00","0","","981","","1014",""
"02.01.2022 18:00 - 02.01.2022 19:00","0","","1080","","1316",""
"02.01.2022 19:00 - 02.01.2022 20:00","0","","1214","","1527",""
"02.01.2022 20:00 - 02.01.2022 21:00","0","","1239","","1692",""
"02.01.2022 21:00 - 02.01.2022 22:00","0","","1258","","1740",""
"02.01.2022 22:00 - 02.01.2022 23:00","0","","1233","","1687",""
"02.01.2022 23:00 - 03.01.2022 00:00","0","","1136","","1587",""
"03.01.2022 00:00 - 03.01.2022 01:00","0","","1083","","1349",""
"03.01.2022 01:00 - 03.01.2022 02:00","0","","953","","1262",""
"03.01.2022 02:00 - 03.01.2022 03:00","0","","976","","1336",""
"03.01.2022 03:00 - 03.01.2022 04:00","0","","1021","","1454",""
"03.01.2022 04:00 - 03.01.2022 05:00","0","","1139","","1642",""
"03.01.2022 05:00 - 03.01.2022 06:00","0","","1190","","1923",""
"03.01.2022 06:00 - 03.01.2022 07:00","0","","1261","","2311",""
"03.01.2022 07:00 - 03.01.2022 08:00","0","","1357","","2623",""
"03.01.2022 08:00 - 03.01.2022 09:00","0","","1365","","2867",""
"03.01.2022 09:00 - 03.01.2022 10:00","10","","1289","","2990",""
"03.01.2022 10:00 - 03.01.2022 11:00","33","","1244","","3022",""
"03.01.2022 11:00 - 03.01.2022 12:00","56","","1259","","3208",""
"03.01.2022 12:00 - 03.01.2022 13:00","69","","1318","","3318",""
"03.01.2022 13:00 - 03.01.2022 14:00","54","","1338","","3131",""
"03.01.2022 14:00 - 03.01.2022 15:00","25","","1323","","3104",""
"03.01.2022 15:00 - 03.01.2022 16:00","5","","1359","","3240",""
"03.01.2022 16:00 - 03.01.2022 17:00","0","","1398","","3122",""
"03.01.2022 17:00 - 03.01.2022 18:00","0","","1371","","2778",""
"03.01.2022 18:00 - 03.01.2022 19:00","0","","1162","","2432",""
"03.01.2022 19:00 - 03.01.2022 20:00","0","","1024","","2092",""
"03.01.2022 20:00 - 03.01.2022 21:00","0","","939","","1828",""
"03.01.2022 21:00 - 03.01.2022 22:00","0","","889","","1603",""
"03.01.2022 22:00 - 03.01.2022 23:00","0","","845","","1406",""
"03.01.2022 23:00 - 04.01.2022 00:00","0","","826","","1236",""
"04.01.2022 00:00 - 04.01.2022 01:00","0","","694","","1381",""
"04.01.2022 01:00 - 04.01.2022 02:00","0","","683","","1286",""
"04.01.2022 02:00 - 04.01.2022 03:00","0","","693","","1242",""
