"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Finland (FI)","Generation - Solar  [MW] Current / Finland (FI)","Generation - Wind Offshore  [MW] Day Ahead/ Finland (FI)","Generation - Wind Offshore  [MW] Current / Finland (FI)","Generation - Wind Onshore  [MW] Day Ahead/ Finland (FI)","Generation - Wind Onshore  [MW] Current / Finland (FI)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","n/e","n/e","1813","1445"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","n/e","n/e","1868","1532"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","n/e","n/e","1951","1586"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","n/e","n/e","2031","1757"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","n/e","n/e","2082","1800"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","n/e","n/e","2124","1883"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","n/e","n/e","2143","1992"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","n/e","n/e","2129","1984"
"01.01.2022 08:00 - 01.01.2022 09:00","0","0","n/e","n/e","2096","1957"
"01.01.2022 09:00 - 01.01.2022 10:00","10","8","n/e","n/e","2061","1920"
"01.01.2022 10:00 - 01.01.2022 11:00","22","18","n/e","n/e","2026","1890"
"01.01.2022 11:00 - 01.01.2022 12:00","28","25","n/e","n/e","2003","1766"
"01.01.2022 12:00 - 01.01.2022 13:00","22","19","n/e","n/e","1990","1782"
"01.01.2022 13:00 - 01.01.2022 14:00","8","7","n/e","n/e","1974","1903"
"01.01.2022 14:00 - 01.01.2022 15:00","0","0","n/e","n/e","1955","1857"
"01.01.2022 15:00 - 01.01.2022 16:00","0","0","n/e","n/e","1916","1792"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","n/e","n/e","1840","1671"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","n/e","n/e","1738","1561"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","n/e","n/e","1624","1422"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","n/e","n/e","1481","1208"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","n/e","n/e","1344","1010"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","n/e","n/e","1215","887"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","n/e","n/e","1034","743"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","n/e","n/e","821","525"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","n/e","n/e","495","483"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","n/e","n/e","542","615"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","n/e","n/e","642","786"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","n/e","n/e","751","838"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","n/e","n/e","837","947"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","n/e","n/e","897","1054"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","n/e","n/e","1023","1123"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","n/e","n/e","1193","1317"
"02.01.2022 08:00 - 02.01.2022 09:00","0","0","n/e","n/e","1381","1563"
"02.01.2022 09:00 - 02.01.2022 10:00","4","2","n/e","n/e","1518","1716"
"02.01.2022 10:00 - 02.01.2022 11:00","7","6","n/e","n/e","1565","1727"
"02.01.2022 11:00 - 02.01.2022 12:00","9","9","n/e","n/e","1586","1622"
"02.01.2022 12:00 - 02.01.2022 13:00","7","7","n/e","n/e","1619","1526"
"02.01.2022 13:00 - 02.01.2022 14:00","2","2","n/e","n/e","1659","1618"
"02.01.2022 14:00 - 02.01.2022 15:00","0","0","n/e","n/e","1694","1673"
"02.01.2022 15:00 - 02.01.2022 16:00","0","0","n/e","n/e","1748","1717"
"02.01.2022 16:00 - 02.01.2022 17:00","0","0","n/e","n/e","1804","1793"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","n/e","n/e","1799","1860"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","n/e","n/e","1776","1939"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","n/e","n/e","1819","1934"
"02.01.2022 20:00 - 02.01.2022 21:00","0","0","n/e","n/e","1840","1929"
