"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"01.01.2022 00:00 - 01.01.2022 00:15","0","0","5973","6056","25931","24620"
"01.01.2022 00:15 - 01.01.2022 00:30","0","0","5944","6105","25718","24606"
"01.01.2022 00:30 - 01.01.2022 00:45","0","0","5914","6084","25497","25044"
"01.01.2022 00:45 - 01.01.2022 01:00","0","0","5881","6015","25265","24705"
"01.01.2022 01:00 - 01.01.2022 01:15","0","0","5910","5846","25027","24421"
"01.01.2022 01:15 - 01.01.2022 01:30","0","0","5865","5686","24767","23969"
"01.01.2022 01:30 - 01.01.2022 01:45","0","0","5811","5436","24498","23931"
"01.01.2022 01:45 - 01.01.2022 02:00","0","0","5753","5321","24219","23897"
"01.01.2022 02:00 - 01.01.2022 02:15","0","0","5690","5266","23925","23454"
"01.01.2022 02:15 - 01.01.2022 02:30","0","0","5618","5338","23633","22908"
"01.01.2022 02:30 - 01.01.2022 02:45","0","0","5542","5251","23328","22719"
"01.01.2022 02:45 - 01.01.2022 03:00","0","0","5468","5313","23017","22371"
"01.01.2022 03:00 - 01.01.2022 03:15","0","0","5392","5207","22713","21999"
"01.01.2022 03:15 - 01.01.2022 03:30","0","0","5317","5181","22454","21439"
"01.01.2022 03:30 - 01.01.2022 03:45","0","0","5243","5099","22201","21265"
"01.01.2022 03:45 - 01.01.2022 04:00","0","0","5162","5094","21948","21055"
"01.01.2022 04:00 - 01.01.2022 04:15","0","0","5084","5079","21693","21014"
"01.01.2022 04:15 - 01.01.2022 04:30","0","0","5007","5105","21423","20671"
"01.01.2022 04:30 - 01.01.2022 04:45","0","0","4929","5146","21153","20598"
"01.01.2022 04:45 - 01.01.2022 05:00","0","0","4851","5217","20882","20179"
"01.01.2022 05:00 - 01.01.2022 05:15","0","0","4739","5302","20626","19679"
"01.01.2022 05:15 - 01.01.2022 05:30","0","0","4682","5367","20337","19660"
"01.01.2022 05:30 - 01.01.2022 05:45","0","0","4618","5336","20048","19199"
"01.01.2022 05:45 - 01.01.2022 06:00","0","0","4559","5199","19757","19177"
"01.01.2022 06:00 - 01.01.2022 06:15","0","0","4492","4911","19722","19330"
"01.01.2022 06:15 - 01.01.2022 06:30","0","0","4443","4568","19452","18753"
"01.01.2022 06:30 - 01.01.2022 06:45","0","0","4391","4345","19173","18712"
"01.01.2022 06:45 - 01.01.2022 07:00","0","0","4339","4291","18891","18683"
