"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Greece (GR)","Generation - Solar  [MW] Current / Greece (GR)","Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Offshore  [MW] Current / Greece (GR)","Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Onshore  [MW] Current / Greece (GR)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","n/e","n/e","n/e","948","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","0","n/e","n/e","n/e","781","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","0","n/e","n/e","n/e","626","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","0","n/e","n/e","n/e","508","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","0","n/e","n/e","n/e","429","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","0","n/e","n/e","n/e","381","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","0","n/e","n/e","n/e","344","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","249","n/e","n/e","n/e","313","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","799","n/e","n/e","n/e","290","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","1272","n/e","n/e","n/e","269","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","1536","n/e","n/e","n/e","250","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","1645","n/e","n/e","n/e","251","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","1603","n/e","n/e","n/e","273","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","1372","n/e","n/e","n/e","297","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","910","n/e","n/e","n/e","323","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","313","n/e","n/e","n/e","373","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","8","n/e","n/e","n/e","455","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","0","n/e","n/e","n/e","576","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","0","n/e","n/e","n/e","728","n/e"
"01.01.2022 19:00 - 01.01.2022 20:00","0","n/e","n/e","n/e","885","n/e"
"01.01.2022 20:00 - 01.01.2022 21:00","0","n/e","n/e","n/e","1029","n/e"
"01.01.2022 21:00 - 01.01.2022 22:00","0","n/e","n/e","n/e","1172","n/e"
