"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","n/e","n/e","1428","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","n/e","n/e","1524","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","n/e","n/e","1570","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","n/e","n/e","1641","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","n/e","n/e","1769","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","n/e","n/e","1643","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","n/e","n/e","1477","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","47","47","n/e","n/e","1399","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","1038","1037","n/e","n/e","1316","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","2844","2844","n/e","n/e","1195","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","4350","4353","n/e","n/e","1118","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","5193","5194","n/e","n/e","1129","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","5423","5423","n/e","n/e","1156","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","5082","5084","n/e","n/e","1236","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","3985","3987","n/e","n/e","1299","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","2128","2129","n/e","n/e","1341","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","355","355","n/e","n/e","1462","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","n/e","n/e","1520","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","n/e","n/e","1495","n/e"
