"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Netherlands (NL)","Generation - Solar  [MW] Current / Netherlands (NL)","Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Offshore  [MW] Current / Netherlands (NL)","Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Onshore  [MW] Current / Netherlands (NL)"
"01.01.2022 00:00 - 01.01.2022 00:15","0","n/e","1364","n/e","2721","n/e"
"01.01.2022 00:15 - 01.01.2022 00:30","0","n/e","1359","n/e","2671","n/e"
"01.01.2022 00:30 - 01.01.2022 00:45","0","n/e","1349","n/e","2621","n/e"
"01.01.2022 00:45 - 01.01.2022 01:00","0","n/e","1339","n/e","2572","n/e"
"01.01.2022 01:00 - 01.01.2022 01:15","0","n/e","1329","n/e","2520","n/e"
"01.01.2022 01:15 - 01.01.2022 01:30","0","n/e","1316","n/e","2459","n/e"
"01.01.2022 01:30 - 01.01.2022 01:45","0","n/e","1300","n/e","2385","n/e"
"01.01.2022 01:45 - 01.01.2022 02:00","0","n/e","1285","n/e","2315","n/e"
"01.01.2022 02:00 - 01.01.2022 02:15","0","n/e","1269","n/e","2243","n/e"
"01.01.2022 02:15 - 01.01.2022 02:30","0","n/e","1249","n/e","2184","n/e"
"01.01.2022 02:30 - 01.01.2022 02:45","0","n/e","1223","n/e","2133","n/e"
"01.01.2022 02:45 - 01.01.2022 03:00","0","n/e","1198","n/e","2087","n/e"
"01.01.2022 03:00 - 01.01.2022 03:15","0","n/e","1172","n/e","2037","n/e"
"01.01.2022 03:15 - 01.01.2022 03:30","0","n/e","1144","n/e","1985","n/e"
"01.01.2022 03:30 - 01.01.2022 03:45","0","n/e","1115","n/e","1927","n/e"
"01.01.2022 03:45 - 01.01.2022 04:00","0","n/e","1086","n/e","1870","n/e"
"01.01.2022 04:00 - 01.01.2022 04:15","0","n/e","1057","n/e","1812","n/e"
"01.01.2022 04:15 - 01.01.2022 04:30","0","n/e","1041","n/e","1745","n/e"
"01.01.2022 04:30 - 01.01.2022 04:45","0","n/e","1040","n/e","1672","n/e"
"01.01.2022 04:45 - 01.01.2022 05:00","0","n/e","1038","n/e","1598","n/e"
"01.01.2022 05:00 - 01.01.2022 05:15","0","n/e","1036","n/e","1525","n/e"
"01.01.2022 05:15 - 01.01.2022 05:30","0","n/e","1029","n/e","1473","n/e"
"01.01.2022 05:30 - 01.01.2022 05:45","0","n/e","1018","n/e","1440","n/e"
"01.01.2022 05:45 - 01.01.2022 06:00","0","n/e","1007","n/e","1409","n/e"
"01.01.2022 06:00 - 01.01.2022 06:15","0","n/e","996","n/e","1374","n/e"
"01.01.2022 06:15 - 01.01.2022 06:30","0","n/e","987","n/e","1338","n/e"
"01.01.2022 06:30 - 01.01.2022 06:45","0","n/e","981","n/e","1297","n/e"
"01.01.2022 06:45 - 01.01.2022 07:00","0","n/e","975","n/e","1257","n/e"
"01.01.2022 07:00 - 01.01.2022 07:15","0","n/e","969","n/e","1220","n/e"
"01.01.2022 07:15 - 01.01.2022 07:30","0","n/e","983","n/e","1216","n/e"
"01.01.2022 07:30 - 01.01.2022 07:45","0","n/e","1016","n/e","1247","n/e"
"01.01.2022 07:45 - 01.01.2022 08:00","0","n/e","1049","n/e","1278","n/e"
"01.01.2022 08:00 - 01.01.2022 08:15","0","n/e","1082","n/e","1309","n/e"
"01.01.2022 08:15 - 01.01.2022 08:30","0","n/e","1112","n/e","1359","n/e"
"01.01.2022 08:30 - 01.01.2022 08:45","0","n/e","1139","n/e","1424","n/e"
"01.01.2022 08:45 - 01.01.2022 09:00","0","n/e","1165","n/e","1491","n/e"
"01.01.2022 09:00 - 01.01.2022 09:15","0","n/e","1192","n/e","1556","n/e"
"01.01.2022 09:15 - 01.01.2022 09:30","56","n/e","1209","n/e","1623","n/e"
"01.01.2022 09:30 - 01.01.2022 09:45","107","n/e","1217","n/e","1693","n/e"
"01.01.2022 09:45 - 01.01.2022 10:00","163","n/e","1226","n/e","1762","n/e"
"01.01.2022 10:00 - 01.01.2022 10:15","216","n/e","1234","n/e","1830","n/e"
"01.01.2022 10:15 - 01.01.2022 10:30","371","n/e","1233","n/e","1865","n/e"
"01.01.2022 10:30 - 01.01.2022 10:45","524","n/e","1224","n/e","1865","n/e"
"01.01.2022 10:45 - 01.01.2022 11:00","681","n/e","1215","n/e","1863","n/e"
"01.01.2022 11:00 - 01.01.2022 11:15","836","n/e","1206","n/e","1864","n/e"
"01.01.2022 11:15 - 01.01.2022 11:30","917","n/e","1203","n/e","1879","n/e"
"01.01.2022 11:30 - 01.01.2022 11:45","997","n/e","1206","n/e","1910","n/e"
"01.01.2022 11:45 - 01.01.2022 12:00","1077","n/e","1210","n/e","1941","n/e"
"01.01.2022 12:00 - 01.01.2022 12:15","1161","n/e","1213","n/e","1972","n/e"
"01.01.2022 12:15 - 01.01.2022 12:30","1208","n/e","1216","n/e","1991","n/e"
"01.01.2022 12:30 - 01.01.2022 12:45","1256","n/e","1220","n/e","1995","n/e"
"01.01.2022 12:45 - 01.01.2022 13:00","1304","n/e","1223","n/e","2002","n/e"
"01.01.2022 13:00 - 01.01.2022 13:15","1351","n/e","1227","n/e","2010","n/e"
"01.01.2022 13:15 - 01.01.2022 13:30","1332","n/e","1232","n/e","2029","n/e"
"01.01.2022 13:30 - 01.01.2022 13:45","1310","n/e","1239","n/e","2059","n/e"
"01.01.2022 13:45 - 01.01.2022 14:00","1290","n/e","1246","n/e","2088","n/e"
"01.01.2022 14:00 - 01.01.2022 14:15","1270","n/e","1253","n/e","2117","n/e"
"01.01.2022 14:15 - 01.01.2022 14:30","1218","n/e","1258","n/e","2142","n/e"
"01.01.2022 14:30 - 01.01.2022 14:45","1165","n/e","1262","n/e","2163","n/e"
"01.01.2022 14:45 - 01.01.2022 15:00","1112","n/e","1266","n/e","2186","n/e"
"01.01.2022 15:00 - 01.01.2022 15:15","1062","n/e","1270","n/e","2206","n/e"
"01.01.2022 15:15 - 01.01.2022 15:30","972","n/e","1274","n/e","2238","n/e"
"01.01.2022 15:30 - 01.01.2022 15:45","884","n/e","1277","n/e","2281","n/e"
"01.01.2022 15:45 - 01.01.2022 16:00","795","n/e","1281","n/e","2318","n/e"
"01.01.2022 16:00 - 01.01.2022 16:15","707","n/e","1284","n/e","2358","n/e"
"01.01.2022 16:15 - 01.01.2022 16:30","544","n/e","1293","n/e","2385","n/e"
"01.01.2022 16:30 - 01.01.2022 16:45","380","n/e","1305","n/e","2402","n/e"
"01.01.2022 16:45 - 01.01.2022 17:00","218","n/e","1318","n/e","2416","n/e"
"01.01.2022 17:00 - 01.01.2022 17:15","54","n/e","1330","n/e","2431","n/e"
"01.01.2022 17:15 - 01.01.2022 17:30","40","n/e","1338","n/e","2455","n/e"
"01.01.2022 17:30 - 01.01.2022 17:45","26","n/e","1341","n/e","2487","n/e"
"01.01.2022 17:45 - 01.01.2022 18:00","13","n/e","1344","n/e","2517","n/e"
"01.01.2022 18:00 - 01.01.2022 18:15","0","n/e","1346","n/e","2552","n/e"
"01.01.2022 18:15 - 01.01.2022 18:30","0","n/e","1344","n/e","2585","n/e"
"01.01.2022 18:30 - 01.01.2022 18:45","0","n/e","1337","n/e","2621","n/e"
"01.01.2022 18:45 - 01.01.2022 19:00","0","n/e","1330","n/e","2655","n/e"
"01.01.2022 19:00 - 01.01.2022 19:15","0","n/e","1323","n/e","2693","n/e"
"01.01.2022 19:15 - 01.01.2022 19:30","0","n/e","1321","n/e","2712","n/e"
"01.01.2022 19:30 - 01.01.2022 19:45","0","n/e","1322","n/e","2715","n/e"
"01.01.2022 19:45 - 01.01.2022 20:00","0","n/e","1324","n/e","2715","n/e"
"01.01.2022 20:00 - 01.01.2022 20:15","0","n/e","1326","n/e","2717","n/e"
"01.01.2022 20:15 - 01.01.2022 20:30","0","n/e","1327","n/e","2697","n/e"
"01.01.2022 20:30 - 01.01.2022 20:45","0","n/e","1327","n/e","2656","n/e"
"01.01.2022 20:45 - 01.01.2022 21:00","0","n/e","1327","n/e","2611","n/e"
"01.01.2022 21:00 - 01.01.2022 21:15","0","n/e","1327","n/e","2568","n/e"
"01.01.2022 21:15 - 01.01.2022 21:30","0","n/e","1325","n/e","2547","n/e"
"01.01.2022 21:30 - 01.01.2022 21:45","0","n/e","1320","n/e","2548","n/e"
"01.01.2022 21:45 - 01.01.2022 22:00","0","n/e","1315","n/e","2546","n/e"
"01.01.2022 22:00 - 01.01.2022 22:15","0","n/e","1311","n/e","2545","n/e"
"01.01.2022 22:15 - 01.01.2022 22:30","0","n/e","1312","n/e","2553","n/e"
"01.01.2022 22:30 - 01.01.2022 22:45","0","n/e","1317","n/e","2570","n/e"
"01.01.2022 22:45 - 01.01.2022 23:00","0","n/e","1323","n/e","2586","n/e"
