"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Norway (NO)","Generation - Solar  [MW] Current / Norway (NO)","Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO)","Generation - Wind Offshore  [MW] Current / Norway (NO)","Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO)","Generation - Wind Onshore  [MW] Current / Norway (NO)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","n/e","n/e","1023","1132"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","n/e","n/e","937","1047"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","n/e","n/e","849","871"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","n/e","n/e","712","738"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","n/e","n/e","612","623"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","n/e","n/e","554","626"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","n/e","n/e","546","604"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","n/e","n/e","653","702"
"01.01.2022 08:00 - 01.01.2022 09:00","0","0","n/e","n/e","897","947"
"01.01.2022 09:00 - 01.01.2022 10:00","0","0","n/e","n/e","1269","1311"
"01.01.2022 10:00 - 01.01.2022 11:00","0","0","n/e","n/e","1620","1670"
"01.01.2022 11:00 - 01.01.2022 12:00","0","0","n/e","n/e","1983","2102"
"01.01.2022 12:00 - 01.01.2022 13:00","0","0","n/e","n/e","2373","2456"
"01.01.2022 13:00 - 01.01.2022 14:00","0","0","n/e","n/e","2652","2670"
"01.01.2022 14:00 - 01.01.2022 15:00","0","0","n/e","n/e","2835","2891"
"01.01.2022 15:00 - 01.01.2022 16:00","0","0","n/e","n/e","2962","2928"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","n/e","n/e","2968","2900"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","n/e","n/e","2959","2922"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","n/e","n/e","2910","2902"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","n/e","n/e","2845","2722"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","n/e","n/e","2701","2565"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","n/e","n/e","2548","2392"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","n/e","n/e","2478","2162"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","n/e","n/e","2420","2204"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","n/e","n/e","2417","2425"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","n/e","n/e","2407","2405"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","n/e","n/e","2418","2403"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","n/e","n/e","2420","2346"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","n/e","n/e","2364","2345"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","n/e","n/e","2319","2239"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","n/e","n/e","2203","2029"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","n/e","n/e","2124","2003"
"02.01.2022 08:00 - 02.01.2022 09:00","0","0","n/e","n/e","2061","1958"
"02.01.2022 09:00 - 02.01.2022 10:00","0","0","n/e","n/e","2054","1989"
"02.01.2022 10:00 - 02.01.2022 11:00","0","0","n/e","n/e","2056","1915"
"02.01.2022 11:00 - 02.01.2022 12:00","0","0","n/e","n/e","2057","1862"
"02.01.2022 12:00 - 02.01.2022 13:00","0","0","n/e","n/e","2058","1943"
"02.01.2022 13:00 - 02.01.2022 14:00","0","0","n/e","n/e","2069","1952"
"02.01.2022 14:00 - 02.01.2022 15:00","0","0","n/e","n/e","2115","1870"
"02.01.2022 15:00 - 02.01.2022 16:00","0","0","n/e","n/e","2164","1935"
"02.01.2022 16:00 - 02.01.2022 17:00","0","0","n/e","n/e","2252","1957"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","n/e","n/e","2331","2048"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","n/e","n/e","2368","2187"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","n/e","n/e","2431","2295"
"02.01.2022 20:00 - 02.01.2022 21:00","0","0","n/e","n/e","2397","2352"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0","n/e","n/e","2301","2477"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0","n/e","n/e","2202","2480"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0","n/e","n/e","2085","2325"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0","n/e","n/e","2003","2219"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0","n/e","n/e","1904","2026"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0","n/e","n/e","1838","1974"
"03.01.2022 03:00 - 03.01.2022 04:00","0","0","n/e","n/e","1904","1973"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0","n/e","n/e","2080","2048"
"03.01.2022 05:00 - 03.01.2022 06:00","0","0","n/e","n/e","2391","2239"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0","n/e","n/e","2668","2614"
"03.01.2022 07:00 - 03.01.2022 08:00","0","0","n/e","n/e","2856","2739"
"03.01.2022 08:00 - 03.01.2022 09:00","0","0","n/e","n/e","2882","2822"
"03.01.2022 09:00 - 03.01.2022 10:00","0","0","n/e","n/e","2880","2769"
"03.01.2022 10:00 - 03.01.2022 11:00","0","0","n/e","n/e","2910","2779"
"03.01.2022 11:00 - 03.01.2022 12:00","0","0","n/e","n/e","2960","2769"
"03.01.2022 12:00 - 03.01.2022 13:00","0","0","n/e","n/e","2948","2859"
"03.01.2022 13:00 - 03.01.2022 14:00","0","0","n/e","n/e","2924","2782"
"03.01.2022 14:00 - 03.01.2022 15:00","0","0","n/e","n/e","2887","2783"
"03.01.2022 15:00 - 03.01.2022 16:00","0","0","n/e","n/e","2872","2840"
"03.01.2022 16:00 - 03.01.2022 17:00","0","0","n/e","n/e","2774","2740"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","n/e","n/e","2589","2633"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","n/e","n/e","2381","2304"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","n/e","n/e","2208","2109"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","n/e","n/e","2110","1920"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","n/e","n/e","2147","1842"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","n/e","n/e","2249","1954"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","n/e","n/e","2322","2036"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","n/e","n/e","2331","2130"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","n/e","n/e","2414","2251"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","n/e","n/e","2499","2262"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","n/e","n/e","2553","2388"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","n/e","n/e","2584","2403"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","n/e","n/e","2575","2406"
"04.01.2022 06:00 - 04.01.2022 07:00","0","0","n/e","n/e","2544","2373"
"04.01.2022 07:00 - 04.01.2022 08:00","0","0","n/e","n/e","2525","2295"
"04.01.2022 08:00 - 04.01.2022 09:00","0","0","n/e","n/e","2482","2276"
"04.01.2022 09:00 - 04.01.2022 10:00","0","0","n/e","n/e","2447","2281"
"04.01.2022 10:00 - 04.01.2022 11:00","0","0","n/e","n/e","2399","2201"
"04.01.2022 11:00 - 04.01.2022 12:00","0","0","n/e","n/e","2346","2065"
"04.01.2022 12:00 - 04.01.2022 13:00","0","0","n/e","n/e","2296","1946"
"04.01.2022 13:00 - 04.01.2022 14:00","0","0","n/e","n/e","2229","1895"
"04.01.2022 14:00 - 04.01.2022 15:00","0","0","n/e","n/e","2128","1736"
"04.01.2022 15:00 - 04.01.2022 16:00","0","0","n/e","n/e","2001","1527"
"04.01.2022 16:00 - 04.01.2022 17:00","0","0","n/e","n/e","1863","1464"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","n/e","n/e","1692","1287"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","n/e","n/e","1581","1210"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","n/e","n/e","1517","1193"
"04.01.2022 20:00 - 04.01.2022 21:00","0","0","n/e","n/e","1431","1259"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","n/e","n/e","1386","1118"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","n/e","n/e","1300","1082"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","n/e","n/e","1232","1108"
"05.01.2022 00:00 - 05.01.2022 01:00","0","0","n/e","n/e","1017","1095"
"05.01.2022 01:00 - 05.01.2022 02:00","0","0","n/e","n/e","988","1018"
"05.01.2022 02:00 - 05.01.2022 03:00","0","0","n/e","n/e","947","973"
"05.01.2022 03:00 - 05.01.2022 04:00","0","0","n/e","n/e","1049","1066"
"05.01.2022 04:00 - 05.01.2022 05:00","0","0","n/e","n/e","1058","1124"
"05.01.2022 05:00 - 05.01.2022 06:00","0","0","n/e","n/e","1110","1113"
"05.01.2022 06:00 - 05.01.2022 07:00","0","0","n/e","n/e","1219","1304"
"05.01.2022 07:00 - 05.01.2022 08:00","0","0","n/e","n/e","1443","1499"
"05.01.2022 08:00 - 05.01.2022 09:00","0","0","n/e","n/e","1636","1794"
"05.01.2022 09:00 - 05.01.2022 10:00","0","0","n/e","n/e","1818","2026"
"05.01.2022 10:00 - 05.01.2022 11:00","0","0","n/e","n/e","1933","2205"
"05.01.2022 11:00 - 05.01.2022 12:00","0","0","n/e","n/e","1974","2216"
"05.01.2022 12:00 - 05.01.2022 13:00","0","0","n/e","n/e","2077","2157"
"05.01.2022 13:00 - 05.01.2022 14:00","0","0","n/e","n/e","2174","2118"
"05.01.2022 14:00 - 05.01.2022 15:00","0","0","n/e","n/e","2238","2013"
"05.01.2022 15:00 - 05.01.2022 16:00","0","0","n/e","n/e","2241","1980"
"05.01.2022 16:00 - 05.01.2022 17:00","0","0","n/e","n/e","2258","1923"
"05.01.2022 17:00 - 05.01.2022 18:00","0","0","n/e","n/e","2250","1892"
"05.01.2022 18:00 - 05.01.2022 19:00","0","0","n/e","n/e","2203","1979"
"05.01.2022 19:00 - 05.01.2022 20:00","0","0","n/e","n/e","2219","2135"
"05.01.2022 20:00 - 05.01.2022 21:00","0","0","n/e","n/e","2221","2118"
"05.01.2022 21:00 - 05.01.2022 22:00","0","0","n/e","n/e","2126","2146"
"05.01.2022 22:00 - 05.01.2022 23:00","0","0","n/e","n/e","2029","2107"
"05.01.2022 23:00 - 06.01.2022 00:00","0","0","n/e","n/e","1894","1949"
"06.01.2022 00:00 - 06.01.2022 01:00","0","0","n/e","n/e","1670","1739"
"06.01.2022 01:00 - 06.01.2022 02:00","0","0","n/e","n/e","1478","1502"
"06.01.2022 02:00 - 06.01.2022 03:00","0","0","n/e","n/e","1291","1267"
"06.01.2022 03:00 - 06.01.2022 04:00","0","0","n/e","n/e","1227","1196"
"06.01.2022 04:00 - 06.01.2022 05:00","0","0","n/e","n/e","1165","1012"
"06.01.2022 05:00 - 06.01.2022 06:00","0","0","n/e","n/e","1122","991"
"06.01.2022 06:00 - 06.01.2022 07:00","0","0","n/e","n/e","1081","909"
"06.01.2022 07:00 - 06.01.2022 08:00","0","0","n/e","n/e","1033","822"
"06.01.2022 08:00 - 06.01.2022 09:00","0","0","n/e","n/e","931","711"
"06.01.2022 09:00 - 06.01.2022 10:00","0","0","n/e","n/e","849","634"
"06.01.2022 10:00 - 06.01.2022 11:00","0","0","n/e","n/e","772","627"
"06.01.2022 11:00 - 06.01.2022 12:00","0","0","n/e","n/e","723","533"
"06.01.2022 12:00 - 06.01.2022 13:00","0","0","n/e","n/e","661","498"
"06.01.2022 13:00 - 06.01.2022 14:00","0","0","n/e","n/e","630","539"
"06.01.2022 14:00 - 06.01.2022 15:00","0","0","n/e","n/e","630","599"
"06.01.2022 15:00 - 06.01.2022 16:00","0","0","n/e","n/e","669","723"
"06.01.2022 16:00 - 06.01.2022 17:00","0","0","n/e","n/e","748","775"
"06.01.2022 17:00 - 06.01.2022 18:00","0","0","n/e","n/e","842","888"
"06.01.2022 18:00 - 06.01.2022 19:00","0","0","n/e","n/e","963","1006"
"06.01.2022 19:00 - 06.01.2022 20:00","0","0","n/e","n/e","1122","1086"
"06.01.2022 20:00 - 06.01.2022 21:00","0","0","n/e","n/e","1264","1132"
"06.01.2022 21:00 - 06.01.2022 22:00","0","0","n/e","n/e","1406","1236"
"06.01.2022 22:00 - 06.01.2022 23:00","0","0","n/e","n/e","1566","1383"
"06.01.2022 23:00 - 07.01.2022 00:00","0","0","n/e","n/e","1742","1544"
"07.01.2022 00:00 - 07.01.2022 01:00","0","0","n/e","n/e","1751","1721"
"07.01.2022 01:00 - 07.01.2022 02:00","0","0","n/e","n/e","1978","1968"
"07.01.2022 02:00 - 07.01.2022 03:00","0","0","n/e","n/e","2267","2122"
"07.01.2022 03:00 - 07.01.2022 04:00","0","0","n/e","n/e","2440","2247"
"07.01.2022 04:00 - 07.01.2022 05:00","0","0","n/e","n/e","2514","2310"
"07.01.2022 05:00 - 07.01.2022 06:00","0","0","n/e","n/e","2494","2249"
"07.01.2022 06:00 - 07.01.2022 07:00","0","0","n/e","n/e","2409","2168"
"07.01.2022 07:00 - 07.01.2022 08:00","0","0","n/e","n/e","2303","2183"
"07.01.2022 08:00 - 07.01.2022 09:00","0","0","n/e","n/e","2189","2095"
"07.01.2022 09:00 - 07.01.2022 10:00","0","0","n/e","n/e","2119","2051"
"07.01.2022 10:00 - 07.01.2022 11:00","0","0","n/e","n/e","2071","2050"
"07.01.2022 11:00 - 07.01.2022 12:00","0","0","n/e","n/e","2033","2052"
"07.01.2022 12:00 - 07.01.2022 13:00","0","0","n/e","n/e","2007","1996"
"07.01.2022 13:00 - 07.01.2022 14:00","0","0","n/e","n/e","1971","1994"
"07.01.2022 14:00 - 07.01.2022 15:00","0","0","n/e","n/e","1938","1940"
"07.01.2022 15:00 - 07.01.2022 16:00","0","0","n/e","n/e","1925","1884"
"07.01.2022 16:00 - 07.01.2022 17:00","0","0","n/e","n/e","1919","1898"
"07.01.2022 17:00 - 07.01.2022 18:00","0","0","n/e","n/e","1929","1904"
"07.01.2022 18:00 - 07.01.2022 19:00","0","0","n/e","n/e","1909","1913"
"07.01.2022 19:00 - 07.01.2022 20:00","0","0","n/e","n/e","1837","1923"
