"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Poland (PL)","Generation - Solar  [MW] Current / Poland (PL)","Generation - Wind Offshore  [MW] Day Ahead/ Poland (PL)","Generation - Wind Offshore  [MW] Current / Poland (PL)","Generation - Wind Onshore  [MW] Day Ahead/ Poland (PL)","Generation - Wind Onshore  [MW] Current / Poland (PL)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","n/e","n/e","4006","3889"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","n/e","n/e","3905","3890"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","n/e","n/e","3870","3955"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","n/e","n/e","3864","3920"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","n/e","n/e","3814","3938"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","n/e","n/e","3719","3910"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","n/e","n/e","3637","3715"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","n/e","n/e","3577","3581"
"01.01.2022 08:00 - 01.01.2022 09:00","42","42","n/e","n/e","3509","3575"
"01.01.2022 09:00 - 01.01.2022 10:00","163","160","n/e","n/e","3375","3804"
"01.01.2022 10:00 - 01.01.2022 11:00","290","264","n/e","n/e","3192","3674"
"01.01.2022 11:00 - 01.01.2022 12:00","349","305","n/e","n/e","3014","3332"
"01.01.2022 12:00 - 01.01.2022 13:00","327","285","n/e","n/e","2769","3008"
"01.01.2022 13:00 - 01.01.2022 14:00","241","218","n/e","n/e","2401","2640"
"01.01.2022 14:00 - 01.01.2022 15:00","114","105","n/e","n/e","1973","2233"
"01.01.2022 15:00 - 01.01.2022 16:00","18","20","n/e","n/e","1574","1920"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","n/e","n/e","1236","1585"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","n/e","n/e","957","1078"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","n/e","n/e","757","820"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","n/e","n/e","662","705"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","n/e","n/e","646","660"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","n/e","n/e","684","731"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","n/e","n/e","807","826"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","n/e","n/e","1001","958"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","n/e","n/e","1325","1278"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","n/e","n/e","1680","1715"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","n/e","n/e","2073","2078"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","n/e","n/e","2423","2364"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","n/e","n/e","2745","2690"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","n/e","n/e","3021","3001"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","n/e","n/e","3250","3175"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","n/e","n/e","3445","3295"
"02.01.2022 08:00 - 02.01.2022 09:00","105","113","n/e","n/e","3561","3381"
"02.01.2022 09:00 - 02.01.2022 10:00","416","464","n/e","n/e","3596","3460"
"02.01.2022 10:00 - 02.01.2022 11:00","714","799","n/e","n/e","3547","3524"
"02.01.2022 11:00 - 02.01.2022 12:00","834","881","n/e","n/e","3443","3563"
"02.01.2022 12:00 - 02.01.2022 13:00","767","608","n/e","n/e","3313","3646"
"02.01.2022 13:00 - 02.01.2022 14:00","542","422","n/e","n/e","3206","3637"
"02.01.2022 14:00 - 02.01.2022 15:00","241","188","n/e","n/e","3222","3739"
"02.01.2022 15:00 - 02.01.2022 16:00","36","43","n/e","n/e","3393","4151"
"02.01.2022 16:00 - 02.01.2022 17:00","0","0","n/e","n/e","3702","4503"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","n/e","n/e","4112","4889"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","n/e","n/e","4552","5492"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","n/e","n/e","4956","5777"
"02.01.2022 20:00 - 02.01.2022 21:00","0","0","n/e","n/e","5244","5860"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0","n/e","n/e","5412","5752"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0","n/e","n/e","5493","5948"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0","n/e","n/e","5474","6006"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0","n/e","n/e","5918","5940"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0","n/e","n/e","5708","5738"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0","n/e","n/e","5368","5246"
"03.01.2022 03:00 - 03.01.2022 04:00","0","0","n/e","n/e","4879","4808"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0","n/e","n/e","4365","4268"
"03.01.2022 05:00 - 03.01.2022 06:00","0","0","n/e","n/e","3930","3998"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0","n/e","n/e","3631","3463"
"03.01.2022 07:00 - 03.01.2022 08:00","0","0","n/e","n/e","3550","3405"
"03.01.2022 08:00 - 03.01.2022 09:00","76","85","n/e","n/e","3617","3395"
"03.01.2022 09:00 - 03.01.2022 10:00","303","322","n/e","n/e","3718","3606"
"03.01.2022 10:00 - 03.01.2022 11:00","556","597","n/e","n/e","3920","3841"
"03.01.2022 11:00 - 03.01.2022 12:00","696","749","n/e","n/e","4220","4158"
"03.01.2022 12:00 - 03.01.2022 13:00","693","632","n/e","n/e","4475","4396"
"03.01.2022 13:00 - 03.01.2022 14:00","562","420","n/e","n/e","4620","4625"
"03.01.2022 14:00 - 03.01.2022 15:00","296","215","n/e","n/e","4664","4661"
"03.01.2022 15:00 - 03.01.2022 16:00","59","50","n/e","n/e","4593","4586"
"03.01.2022 16:00 - 03.01.2022 17:00","0","0","n/e","n/e","4457","4529"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","n/e","n/e","4349","4394"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","n/e","n/e","4304","4175"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","n/e","n/e","4283","3968"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","n/e","n/e","4272","4033"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","n/e","n/e","4272","4260"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","n/e","n/e","4253","4124"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","n/e","n/e","4219","3869"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","n/e","n/e","3741","3897"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","n/e","n/e","3535","3781"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","n/e","n/e","3317","3583"
