"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Portugal (PT)","Generation - Solar  [MW] Current / Portugal (PT)","Generation - Wind Offshore  [MW] Day Ahead/ Portugal (PT)","Generation - Wind Offshore  [MW] Current / Portugal (PT)","Generation - Wind Onshore  [MW] Day Ahead/ Portugal (PT)","Generation - Wind Onshore  [MW] Current / Portugal (PT)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","22","25","2621","2174"
"01.01.2022 01:00 - 01.01.2022 02:00","0","1","22","25","2601","2109"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","21","25","2578","2037"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","21","25","2566","2128"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","22","25","2584","2263"
"01.01.2022 05:00 - 01.01.2022 06:00","0","1","22","25","2600","2313"
"01.01.2022 06:00 - 01.01.2022 07:00","0","1","22","25","2608","2352"
"01.01.2022 07:00 - 01.01.2022 08:00","1","2","22","25","2644","2455"
"01.01.2022 08:00 - 01.01.2022 09:00","129","164","22","25","2662","2588"
"01.01.2022 09:00 - 01.01.2022 10:00","350","446","22","25","2602","2540"
"01.01.2022 10:00 - 01.01.2022 11:00","523","653","22","25","2421","2347"
"01.01.2022 11:00 - 01.01.2022 12:00","629","777","22","25","2147","2199"
"01.01.2022 12:00 - 01.01.2022 13:00","654","806","22","25","1888","2194"
"01.01.2022 13:00 - 01.01.2022 14:00","642","763","22","25","1810","2097"
"01.01.2022 14:00 - 01.01.2022 15:00","554","636","22","25","1815","1987"
"01.01.2022 15:00 - 01.01.2022 16:00","371","429","22","25","1888","1922"
"01.01.2022 16:00 - 01.01.2022 17:00","107","128","21","25","1994","2086"
"01.01.2022 17:00 - 01.01.2022 18:00","3","2","21","25","2109","2396"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","21","25","2234","2606"
"01.01.2022 19:00 - 01.01.2022 20:00","0","1","20","22","2246","2533"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","19","21","2211","2445"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","18","19","2146","2327"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","16","17","2045","2193"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","24","25","2632","2274"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","14","6","2024","2108"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","11","4","1859","1834"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","8","3","1675","1585"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","6","3","1472","1422"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","5","2","1253","1261"
"02.01.2022 05:00 - 02.01.2022 06:00","0","1","4","2","1043","1030"
"02.01.2022 06:00 - 02.01.2022 07:00","0","1","4","1","861","690"
"02.01.2022 07:00 - 02.01.2022 08:00","0","1","4","2","710","521"
"02.01.2022 08:00 - 02.01.2022 09:00","1","1","5","2","614","407"
"02.01.2022 09:00 - 02.01.2022 10:00","170","153","5","2","551","324"
"02.01.2022 10:00 - 02.01.2022 11:00","457","439","5","5","479","292"
"02.01.2022 11:00 - 02.01.2022 12:00","670","660","5","8","398","281"
"02.01.2022 12:00 - 02.01.2022 13:00","786","754","5","8","346","168"
"02.01.2022 13:00 - 02.01.2022 14:00","820","804","5","9","305","147"
"02.01.2022 14:00 - 02.01.2022 15:00","778","768","4","7","294","137"
"02.01.2022 15:00 - 02.01.2022 16:00","651","638","4","5","280","131"
"02.01.2022 16:00 - 02.01.2022 17:00","420","413","3","4","240","109"
"02.01.2022 17:00 - 02.01.2022 18:00","112","108","3","3","203","116"
"02.01.2022 18:00 - 02.01.2022 19:00","3","3","2","2","194","137"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","2","1","211","140"
"02.01.2022 20:00 - 02.01.2022 21:00","0","1","2","2","212","160"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0","2","2","214","168"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0","2","2","226","186"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0","3","3","249","216"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0","5","3","260","233"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0","6","3","302","272"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0","7","4","352","347"
"03.01.2022 03:00 - 03.01.2022 04:00","0","1","8","6","416","407"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0","10","9","485","555"
"03.01.2022 05:00 - 03.01.2022 06:00","0","1","11","11","558","723"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0","12","15","641","818"
"03.01.2022 07:00 - 03.01.2022 08:00","0","1","14","22","734","868"
"03.01.2022 08:00 - 03.01.2022 09:00","1","1","16","22","835","1026"
"03.01.2022 09:00 - 03.01.2022 10:00","162","139","17","24","926","1193"
"03.01.2022 10:00 - 03.01.2022 11:00","430","380","18","22","985","1221"
"03.01.2022 11:00 - 03.01.2022 12:00","638","584","19","25","1000","1263"
"03.01.2022 12:00 - 03.01.2022 13:00","749","684","19","25","1016","1311"
"03.01.2022 13:00 - 03.01.2022 14:00","775","710","20","24","1128","1413"
"03.01.2022 14:00 - 03.01.2022 15:00","733","701","20","14","1347","1472"
"03.01.2022 15:00 - 03.01.2022 16:00","616","593","21","17","1574","1576"
"03.01.2022 16:00 - 03.01.2022 17:00","410","408","21","16","1728","1713"
"03.01.2022 17:00 - 03.01.2022 18:00","115","132","21","18","1897","1891"
"03.01.2022 18:00 - 03.01.2022 19:00","3","3","22","23","2165","2230"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","22","22","2449","2426"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","22","23","2653","2641"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","22","23","2843","2786"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","21","23","3033","2955"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","21","22","3205","3127"
"04.01.2022 00:00 - 04.01.2022 01:00","0","1","22","25","3293","2813"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","22","25","3464","3109"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","22","25","3599","3517"
