"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"01.01.2022 00:00 - 01.01.2022 01:00","14","12","n/e","n/e","6304","6302"
"01.01.2022 01:00 - 01.01.2022 02:00","10","10","n/e","n/e","6349","6427"
"01.01.2022 02:00 - 01.01.2022 03:00","9","6","n/e","n/e","6353","6463"
"01.01.2022 03:00 - 01.01.2022 04:00","8","7","n/e","n/e","6241","6282"
"01.01.2022 04:00 - 01.01.2022 05:00","8","8","n/e","n/e","6258","5860"
"01.01.2022 05:00 - 01.01.2022 06:00","7","7","n/e","n/e","6229","5889"
"01.01.2022 06:00 - 01.01.2022 07:00","6","8","n/e","n/e","6185","5710"
"01.01.2022 07:00 - 01.01.2022 08:00","8","8","n/e","n/e","6108","5640"
"01.01.2022 08:00 - 01.01.2022 09:00","86","106","n/e","n/e","6066","5540"
"01.01.2022 09:00 - 01.01.2022 10:00","1787","1910","n/e","n/e","5986","5704"
"01.01.2022 10:00 - 01.01.2022 11:00","4666","4942","n/e","n/e","5748","5270"
"01.01.2022 11:00 - 01.01.2022 12:00","6518","7001","n/e","n/e","5437","4920"
"01.01.2022 12:00 - 01.01.2022 13:00","7296","7837","n/e","n/e","5075","4504"
"01.01.2022 13:00 - 01.01.2022 14:00","7510","7915","n/e","n/e","4916","4330"
"01.01.2022 14:00 - 01.01.2022 15:00","7559","7628","n/e","n/e","4889","4124"
"01.01.2022 15:00 - 01.01.2022 16:00","7041","7185","n/e","n/e","4972","4749"
"01.01.2022 16:00 - 01.01.2022 17:00","4920","4857","n/e","n/e","5172","4878"
"01.01.2022 17:00 - 01.01.2022 18:00","1905","1920","n/e","n/e","5453","5339"
"01.01.2022 18:00 - 01.01.2022 19:00","191","227","n/e","n/e","5782","5650"
"01.01.2022 19:00 - 01.01.2022 20:00","41","52","n/e","n/e","5929","6112"
"01.01.2022 20:00 - 01.01.2022 21:00","15","36","n/e","n/e","6087","6509"
"01.01.2022 21:00 - 01.01.2022 22:00","15","36","n/e","n/e","6309","6869"
"01.01.2022 22:00 - 01.01.2022 23:00","13","24","n/e","n/e","6316","6945"
"01.01.2022 23:00 - 02.01.2022 00:00","13","19","n/e","n/e","6167","6700"
"02.01.2022 00:00 - 02.01.2022 01:00","14","22","n/e","n/e","6667","6395"
"02.01.2022 01:00 - 02.01.2022 02:00","15","18","n/e","n/e","6545","6440"
"02.01.2022 02:00 - 02.01.2022 03:00","14","12","n/e","n/e","6261","6135"
"02.01.2022 03:00 - 02.01.2022 04:00","11","6","n/e","n/e","5954","5942"
"02.01.2022 04:00 - 02.01.2022 05:00","5","4","n/e","n/e","5599","5768"
"02.01.2022 05:00 - 02.01.2022 06:00","9","2","n/e","n/e","5312","5721"
"02.01.2022 06:00 - 02.01.2022 07:00","9","2","n/e","n/e","5101","5612"
