"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Sweden (SE)","Generation - Solar  [MW] Current / Sweden (SE)","Generation - Wind Offshore  [MW] Day Ahead/ Sweden (SE)","Generation - Wind Offshore  [MW] Current / Sweden (SE)","Generation - Wind Onshore  [MW] Day Ahead/ Sweden (SE)","Generation - Wind Onshore  [MW] Current / Sweden (SE)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","n/e","n/e","4381","4021"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","n/e","n/e","4431","4053"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","n/e","n/e","4407","4026"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","n/e","n/e","4371","3946"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","n/e","n/e","4266","3755"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","n/e","n/e","4110","3606"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","n/e","n/e","3921","3359"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","n/e","n/e","3646","3124"
"01.01.2022 08:00 - 01.01.2022 09:00","0","0","n/e","n/e","3347","2929"
"01.01.2022 09:00 - 01.01.2022 10:00","1","1","n/e","n/e","3069","2714"
"01.01.2022 10:00 - 01.01.2022 11:00","8","7","n/e","n/e","2756","2446"
"01.01.2022 11:00 - 01.01.2022 12:00","15","13","n/e","n/e","2466","2145"
"01.01.2022 12:00 - 01.01.2022 13:00","15","12","n/e","n/e","2217","1896"
"01.01.2022 13:00 - 01.01.2022 14:00","10","8","n/e","n/e","2040","1771"
"01.01.2022 14:00 - 01.01.2022 15:00","3","2","n/e","n/e","1923","1724"
"01.01.2022 15:00 - 01.01.2022 16:00","0","0","n/e","n/e","1919","1801"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","n/e","n/e","2010","2034"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","n/e","n/e","2219","2452"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","n/e","n/e","2622","2990"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","n/e","n/e","3114","3461"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","n/e","n/e","3704","4120"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","n/e","n/e","4377","4838"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","n/e","n/e","4969","5359"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","n/e","n/e","5459","5736"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","n/e","n/e","6276","6191"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","n/e","n/e","6401","6254"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","n/e","n/e","6347","6309"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","n/e","n/e","6281","6242"
