"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Serbia (RS)","Actual Total Load [MW] - Serbia (RS)"
"01.01.2023 00:00 - 01.01.2023 01:00","4008","3861"
"01.01.2023 01:00 - 01.01.2023 02:00","3770","3867"
"01.01.2023 02:00 - 01.01.2023 03:00","3522","3699"
"01.01.2023 03:00 - 01.01.2023 04:00","3336","3447"
"01.01.2023 04:00 - 01.01.2023 05:00","3253","3253"
"01.01.2023 05:00 - 01.01.2023 06:00","3248","3147"
"01.01.2023 06:00 - 01.01.2023 07:00","3338","3117"
"01.01.2023 07:00 - 01.01.2023 08:00","3448","3108"
"01.01.2023 08:00 - 01.01.2023 09:00","3655","3270"
"01.01.2023 09:00 - 01.01.2023 10:00","3880","3455"
"01.01.2023 10:00 - 01.01.2023 11:00","4008","3583"
"01.01.2023 11:00 - 01.01.2023 12:00","3981","3618"
"01.01.2023 12:00 - 01.01.2023 13:00","4014","3606"
"01.01.2023 13:00 - 01.01.2023 14:00","3881","3534"
"01.01.2023 14:00 - 01.01.2023 15:00","3774","3460"
"01.01.2023 15:00 - 01.01.2023 16:00","3769","3464"
"01.01.2023 16:00 - 01.01.2023 17:00","3983","3740"
"01.01.2023 17:00 - 01.01.2023 18:00","4047","3914"
"01.01.2023 18:00 - 01.01.2023 19:00","4039","3896"
"01.01.2023 19:00 - 01.01.2023 20:00","4040","3899"
"01.01.2023 20:00 - 01.01.2023 21:00","4067","3883"
"01.01.2023 21:00 - 01.01.2023 22:00","4012","3806"
"01.01.2023 22:00 - 01.01.2023 23:00","4031","3805"
"01.01.2023 23:00 - 02.01.2023 00:00","4018","3858"
"02.01.2023 00:00 - 02.01.2023 01:00","3947","3874"
"02.01.2023 01:00 - 02.01.2023 02:00","3708","3654"
"02.01.2023 02:00 - 02.01.2023 03:00","3466","3423"
"02.01.2023 03:00 - 02.01.2023 04:00","3293","3205"
"02.01.2023 04:00 - 02.01.2023 05:00","3273","3118"
"02.01.2023 05:00 - 02.01.2023 06:00","3429","3140"
"02.01.2023 06:00 - 02.01.2023 07:00","3868","3238"
"02.01.2023 07:00 - 02.01.2023 08:00","4202","3370"
"02.01.2023 08:00 - 02.01.2023 09:00","4384","3625"
"02.01.2023 09:00 - 02.01.2023 10:00","4449","3835"
"02.01.2023 10:00 - 02.01.2023 11:00","4458","3901"
"02.01.2023 11:00 - 02.01.2023 12:00","4394","3872"
"02.01.2023 12:00 - 02.01.2023 13:00","4346","3818"
"02.01.2023 13:00 - 02.01.2023 14:00","4168","3762"
"02.01.2023 14:00 - 02.01.2023 15:00","4205","3663"
"02.01.2023 15:00 - 02.01.2023 16:00","4236","3684"
"02.01.2023 16:00 - 02.01.2023 17:00","4442","3936"
"02.01.2023 17:00 - 02.01.2023 18:00","4486","4098"
"02.01.2023 18:00 - 02.01.2023 19:00","4472","4086"
"02.01.2023 19:00 - 02.01.2023 20:00","4433","4064"
"02.01.2023 20:00 - 02.01.2023 21:00","4396","4027"
"02.01.2023 21:00 - 02.01.2023 22:00","4278","3917"
"02.01.2023 22:00 - 02.01.2023 23:00","4249","3949"
"02.01.2023 23:00 - 03.01.2023 00:00","4216","3985"
"03.01.2023 00:00 - 03.01.2023 01:00","4146","3977"
"03.01.2023 01:00 - 03.01.2023 02:00","3910","3737"
"03.01.2023 02:00 - 03.01.2023 03:00","3675","3431"
"03.01.2023 03:00 - 03.01.2023 04:00","3528","3249"
"03.01.2023 04:00 - 03.01.2023 05:00","3490","3173"
"03.01.2023 05:00 - 03.01.2023 06:00","3645","3222"
"03.01.2023 06:00 - 03.01.2023 07:00","4027","3345"
